1.4820 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
11.8646 	DATA 	version C
53.2142 	DATA 	Keypress: b
54.2644 	DATA 	Mouse: Left button down, pos=(354,677)
54.3424 	DATA 	Mouse:  Left button up, pos=(354,677)
56.0789 	DATA 	Keypress: space
56.0795 	DATA 	waiting for trigger
74.0143 	DATA 	Keypress: lshift
74.0148 	DATA 	Keypress: t
74.0160 	DATA 	TRIGGERED
74.0648 	DATA 	Begin trial
74.7781 	DATA 	Keypress: a
75.2781 	DATA 	Keypress: b
75.6282 	DATA 	Keypress: a
75.9116 	DATA 	Keypress: b
76.1143 	DATA 	Keypress: a
76.3828 	DATA 	Keypress: b
76.5143 	DATA 	Keypress: a
76.6641 	DATA 	Keypress: b
76.7640 	DATA 	Keypress: a
76.9474 	DATA 	Keypress: b
76.9815 	DATA 	Keypress: a
77.0139 	DATA 	Keypress: lshift
77.0145 	DATA 	Keypress: t
77.1643 	DATA 	Keypress: b
77.2142 	DATA 	Keypress: a
77.3806 	DATA 	Keypress: b
77.4322 	DATA 	Keypress: a
77.5994 	DATA 	Keypress: b
77.6807 	DATA 	Keypress: a
77.8143 	DATA 	Keypress: b
77.8809 	DATA 	Keypress: a
78.0474 	DATA 	Keypress: b
78.1140 	DATA 	Keypress: a
78.2476 	DATA 	Keypress: b
78.2977 	DATA 	Keypress: a
78.4476 	DATA 	Keypress: b
78.4975 	DATA 	Keypress: a
78.6142 	DATA 	Keypress: b
78.6975 	DATA 	Keypress: a
78.8473 	DATA 	Keypress: b
78.8973 	DATA 	Keypress: a
79.0475 	DATA 	Keypress: b
79.0976 	DATA 	Keypress: a
79.2641 	DATA 	Keypress: b
79.3141 	DATA 	Keypress: a
79.3152 	DATA 	Keypress: b
79.4644 	DATA 	Keypress: b
79.5163 	DATA 	Keypress: a
79.6811 	DATA 	Keypress: b
79.7474 	DATA 	Keypress: a
79.9141 	DATA 	Keypress: b
79.9645 	DATA 	Keypress: a
79.9809 	DATA 	Keypress: b
80.0142 	DATA 	Keypress: lshift
80.0147 	DATA 	Keypress: t
80.1307 	DATA 	Keypress: b
80.1977 	DATA 	Keypress: a
80.3660 	DATA 	Keypress: b
80.4326 	DATA 	Keypress: a
80.6141 	DATA 	Keypress: b
80.6809 	DATA 	Keypress: a
80.8478 	DATA 	Keypress: b
80.9144 	DATA 	Keypress: a
81.0645 	DATA 	Keypress: b
81.1476 	DATA 	Keypress: a
81.2973 	DATA 	Keypress: b
81.3808 	DATA 	Keypress: a
81.5476 	DATA 	Keypress: a
81.7309 	DATA 	Keypress: a
81.8978 	DATA 	Keypress: a
82.0643 	DATA 	Keypress: a
82.2148 	DATA 	Keypress: a
82.3977 	DATA 	Keypress: b
82.7644 	DATA 	Keypress: b
82.9307 	DATA 	Keypress: b
83.0143 	DATA 	Keypress: lshift
83.0149 	DATA 	Keypress: t
83.0990 	DATA 	Keypress: b
83.2806 	DATA 	Keypress: b
83.4307 	DATA 	Keypress: b
83.5975 	DATA 	Keypress: b
83.7640 	DATA 	Keypress: b
83.9146 	DATA 	Keypress: b
84.0975 	DATA 	Keypress: b
84.2808 	DATA 	Keypress: a
84.4309 	DATA 	Keypress: b
84.4974 	DATA 	Keypress: a
84.6479 	DATA 	Keypress: b
84.7140 	DATA 	Keypress: a
84.8809 	DATA 	Keypress: b
84.9806 	DATA 	Keypress: a
85.1308 	DATA 	Keypress: b
85.3308 	DATA 	Keypress: a
85.4981 	DATA 	Keypress: b
85.6639 	DATA 	Keypress: a
85.8473 	DATA 	Keypress: b
86.0139 	DATA 	Keypress: lshift
86.0144 	DATA 	Keypress: t
86.0160 	DATA 	Keypress: a
86.2482 	DATA 	Keypress: b
86.4642 	DATA 	Keypress: b
86.7141 	DATA 	Keypress: b
86.9308 	DATA 	Keypress: b
87.1306 	DATA 	Keypress: b
87.3645 	DATA 	Keypress: b
87.5808 	DATA 	Keypress: b
87.8141 	DATA 	Keypress: b
88.1149 	DATA 	End trial
88.1785 	DATA 	Keypress: b
88.3475 	DATA 	Keypress: a
89.0140 	DATA 	Keypress: lshift
89.0146 	DATA 	Keypress: t
92.0141 	DATA 	Keypress: lshift
92.0146 	DATA 	Keypress: t
95.0140 	DATA 	Keypress: lshift
95.0145 	DATA 	Keypress: t
98.0140 	DATA 	Keypress: lshift
98.0146 	DATA 	Keypress: t
101.0139 	DATA 	Keypress: lshift
101.0145 	DATA 	Keypress: t
104.0140 	DATA 	Keypress: lshift
104.0146 	DATA 	Keypress: t
104.1001 	DATA 	Begin trial
104.7308 	DATA 	Keypress: b
104.9973 	DATA 	Keypress: a
105.2642 	DATA 	Keypress: b
105.4307 	DATA 	Keypress: a
105.5979 	DATA 	Keypress: b
105.7145 	DATA 	Keypress: a
105.8975 	DATA 	Keypress: b
105.9642 	DATA 	Keypress: a
106.1642 	DATA 	Keypress: b
106.1810 	DATA 	Keypress: a
106.3642 	DATA 	Keypress: b
106.4307 	DATA 	Keypress: a
106.5974 	DATA 	Keypress: b
106.6474 	DATA 	Keypress: a
106.7976 	DATA 	Keypress: b
106.8642 	DATA 	Keypress: a
107.0141 	DATA 	Keypress: lshift
107.0146 	DATA 	Keypress: t
107.0309 	DATA 	Keypress: b
107.0975 	DATA 	Keypress: a
107.2641 	DATA 	Keypress: b
107.3142 	DATA 	Keypress: a
107.4829 	DATA 	Keypress: b
107.5828 	DATA 	Keypress: a
107.7474 	DATA 	Keypress: b
107.8476 	DATA 	Keypress: a
107.9973 	DATA 	Keypress: b
108.1139 	DATA 	Keypress: a
108.1398 	DATA 	End trial
108.2474 	DATA 	Keypress: b
108.3139 	DATA 	Keypress: a
110.0143 	DATA 	Keypress: lshift
110.0148 	DATA 	Keypress: t
113.0140 	DATA 	Keypress: lshift
113.0145 	DATA 	Keypress: t
116.0139 	DATA 	Keypress: lshift
116.0144 	DATA 	Keypress: t
119.0135 	DATA 	Keypress: lshift
119.0140 	DATA 	Keypress: t
122.0139 	DATA 	Keypress: lshift
122.0145 	DATA 	Keypress: t
125.0141 	DATA 	Keypress: lshift
125.0147 	DATA 	Keypress: t
128.0140 	DATA 	Keypress: lshift
128.0145 	DATA 	Keypress: t
131.0140 	DATA 	Keypress: lshift
131.0145 	DATA 	Keypress: t
134.0142 	DATA 	Keypress: lshift
134.0148 	DATA 	Keypress: t
134.1332 	DATA 	Begin trial
134.6476 	DATA 	Keypress: a
134.9142 	DATA 	Keypress: b
135.1641 	DATA 	Keypress: a
135.3640 	DATA 	Keypress: b
135.4647 	DATA 	Keypress: a
135.6478 	DATA 	Keypress: b
135.7475 	DATA 	Keypress: a
135.8976 	DATA 	Keypress: b
136.0142 	DATA 	Keypress: a
136.1640 	DATA 	Keypress: b
136.2476 	DATA 	Keypress: a
136.4142 	DATA 	Keypress: b
136.4973 	DATA 	Keypress: a
136.6475 	DATA 	Keypress: b
136.7307 	DATA 	Keypress: a
136.8973 	DATA 	Keypress: b
136.9648 	DATA 	Keypress: a
137.0140 	DATA 	Keypress: lshift
137.0145 	DATA 	Keypress: t
137.1146 	DATA 	Keypress: b
137.1808 	DATA 	Keypress: a
137.3474 	DATA 	Keypress: b
137.3975 	DATA 	Keypress: a
137.5641 	DATA 	Keypress: b
137.6141 	DATA 	Keypress: a
137.7640 	DATA 	Keypress: b
137.8143 	DATA 	Keypress: a
137.9972 	DATA 	Keypress: b
138.0657 	DATA 	Keypress: a
138.2306 	DATA 	Keypress: b
138.2807 	DATA 	Keypress: a
138.4807 	DATA 	Keypress: b
138.5471 	DATA 	Keypress: a
138.6975 	DATA 	Keypress: b
138.7806 	DATA 	Keypress: a
138.9475 	DATA 	Keypress: b
139.0474 	DATA 	Keypress: a
139.1974 	DATA 	Keypress: b
139.2641 	DATA 	Keypress: a
139.4141 	DATA 	Keypress: b
139.4639 	DATA 	Keypress: a
139.6307 	DATA 	Keypress: b
139.6640 	DATA 	Keypress: a
139.8311 	DATA 	Keypress: b
139.8975 	DATA 	Keypress: a
140.0139 	DATA 	Keypress: lshift
140.0144 	DATA 	Keypress: t
140.0640 	DATA 	Keypress: b
140.1306 	DATA 	Keypress: a
140.2808 	DATA 	Keypress: b
140.3641 	DATA 	Keypress: a
140.5309 	DATA 	Keypress: b
140.5808 	DATA 	Keypress: a
140.7639 	DATA 	Keypress: b
140.7973 	DATA 	Keypress: a
140.9641 	DATA 	Keypress: b
141.1482 	DATA 	Keypress: b
141.3313 	DATA 	Keypress: b
141.5143 	DATA 	Keypress: b
141.6639 	DATA 	Keypress: a
141.8306 	DATA 	Keypress: a
142.0141 	DATA 	Keypress: a
142.1474 	DATA 	Keypress: a
142.3306 	DATA 	Keypress: a
142.5325 	DATA 	Keypress: b
142.6642 	DATA 	Keypress: a
142.9490 	DATA 	Keypress: b
143.0141 	DATA 	Keypress: lshift
143.0147 	DATA 	Keypress: t
143.1141 	DATA 	Keypress: a
143.2973 	DATA 	Keypress: b
143.4306 	DATA 	Keypress: a
143.6807 	DATA 	Keypress: b
143.8142 	DATA 	Keypress: a
144.0307 	DATA 	Keypress: b
144.1146 	DATA 	Keypress: a
144.3473 	DATA 	Keypress: b
144.4475 	DATA 	Keypress: a
144.6975 	DATA 	Keypress: b
144.7995 	DATA 	Keypress: a
145.0140 	DATA 	Keypress: b
145.1307 	DATA 	Keypress: a
145.2975 	DATA 	Keypress: b
145.4309 	DATA 	Keypress: a
145.7645 	DATA 	Keypress: b
146.0141 	DATA 	Keypress: lshift
146.0147 	DATA 	Keypress: t
146.0160 	DATA 	Keypress: a
146.4164 	DATA 	Keypress: b
146.6993 	DATA 	Keypress: a
147.0307 	DATA 	Keypress: b
147.2139 	DATA 	Keypress: a
147.5140 	DATA 	Keypress: a
147.7310 	DATA 	Keypress: b
147.8641 	DATA 	Keypress: a
148.0475 	DATA 	Keypress: b
148.1745 	DATA 	End trial
148.1941 	DATA 	Keypress: a
148.4473 	DATA 	Keypress: b
149.0139 	DATA 	Keypress: lshift
149.0145 	DATA 	Keypress: t
152.0140 	DATA 	Keypress: lshift
152.0145 	DATA 	Keypress: t
155.0139 	DATA 	Keypress: lshift
155.0145 	DATA 	Keypress: t
158.0142 	DATA 	Keypress: lshift
158.0147 	DATA 	Keypress: t
161.0140 	DATA 	Keypress: lshift
161.0145 	DATA 	Keypress: t
164.0139 	DATA 	Keypress: lshift
164.0144 	DATA 	Keypress: t
164.1666 	DATA 	Begin trial
164.6161 	DATA 	Keypress: a
164.8806 	DATA 	Keypress: b
165.1140 	DATA 	Keypress: a
165.3139 	DATA 	Keypress: b
165.4645 	DATA 	Keypress: a
165.6162 	DATA 	Keypress: b
165.7473 	DATA 	Keypress: a
165.8975 	DATA 	Keypress: b
166.0142 	DATA 	Keypress: a
166.1640 	DATA 	Keypress: b
166.2474 	DATA 	Keypress: a
166.4307 	DATA 	Keypress: b
166.4973 	DATA 	Keypress: a
166.6662 	DATA 	Keypress: b
166.7807 	DATA 	Keypress: a
166.9309 	DATA 	Keypress: b
167.0140 	DATA 	Keypress: lshift
167.0145 	DATA 	Keypress: t
167.0307 	DATA 	Keypress: a
167.2140 	DATA 	Keypress: b
167.3141 	DATA 	Keypress: a
167.4808 	DATA 	Keypress: b
167.5664 	DATA 	Keypress: a
167.7639 	DATA 	Keypress: b
167.8647 	DATA 	Keypress: a
168.0308 	DATA 	Keypress: b
168.0975 	DATA 	Keypress: a
168.3639 	DATA 	Keypress: b
168.4975 	DATA 	Keypress: a
168.6640 	DATA 	Keypress: b
168.7473 	DATA 	Keypress: a
168.9308 	DATA 	Keypress: b
169.0473 	DATA 	Keypress: a
169.2305 	DATA 	Keypress: b
169.3473 	DATA 	Keypress: a
169.5312 	DATA 	Keypress: b
169.6476 	DATA 	Keypress: a
169.8475 	DATA 	Keypress: b
169.9640 	DATA 	Keypress: a
170.0140 	DATA 	Keypress: lshift
170.0146 	DATA 	Keypress: t
170.1472 	DATA 	Keypress: b
170.2474 	DATA 	Keypress: a
170.4473 	DATA 	Keypress: b
170.5477 	DATA 	Keypress: a
170.7640 	DATA 	Keypress: b
170.8973 	DATA 	Keypress: a
171.1140 	DATA 	Keypress: b
171.2472 	DATA 	Keypress: a
171.4325 	DATA 	Keypress: b
171.5658 	DATA 	Keypress: a
171.7642 	DATA 	Keypress: b
171.8976 	DATA 	Keypress: a
172.0808 	DATA 	Keypress: b
172.1974 	DATA 	Keypress: a
172.4158 	DATA 	Keypress: b
172.5499 	DATA 	Keypress: a
172.7476 	DATA 	Keypress: b
172.9140 	DATA 	Keypress: a
173.0140 	DATA 	Keypress: lshift
173.0145 	DATA 	Keypress: t
173.1141 	DATA 	Keypress: b
173.2307 	DATA 	Keypress: a
173.4473 	DATA 	Keypress: b
173.5639 	DATA 	Keypress: a
173.8139 	DATA 	Keypress: b
173.9306 	DATA 	Keypress: a
174.1309 	DATA 	Keypress: b
174.2328 	DATA 	Keypress: a
174.4639 	DATA 	Keypress: b
174.6161 	DATA 	Keypress: a
174.7992 	DATA 	Keypress: b
174.9139 	DATA 	Keypress: a
175.1640 	DATA 	Keypress: b
175.2975 	DATA 	Keypress: a
175.5142 	DATA 	Keypress: b
175.6323 	DATA 	Keypress: a
175.8641 	DATA 	Keypress: b
175.9973 	DATA 	Keypress: a
176.0139 	DATA 	Keypress: lshift
176.0144 	DATA 	Keypress: t
176.1980 	DATA 	Keypress: b
176.3141 	DATA 	Keypress: a
176.5141 	DATA 	Keypress: b
176.6308 	DATA 	Keypress: a
176.8472 	DATA 	Keypress: b
176.9641 	DATA 	Keypress: a
177.1474 	DATA 	Keypress: b
177.2324 	DATA 	Keypress: a
177.4308 	DATA 	Keypress: b
177.5141 	DATA 	Keypress: a
177.7141 	DATA 	Keypress: b
