1.4942 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
11.3170 	DATA 	version B
46.3455 	DATA 	Mouse: Left button down, pos=(98,651)
46.4253 	DATA 	Mouse:  Left button up, pos=(98,651)
48.1954 	DATA 	Keypress: space
48.1959 	DATA 	waiting for trigger
51.0122 	DATA 	Keypress: a
58.8288 	DATA 	Keypress: b
64.8788 	DATA 	Keypress: lshift
64.8793 	DATA 	Keypress: t
64.8804 	DATA 	TRIGGERED
64.9185 	DATA 	Begin trial
65.6594 	DATA 	Keypress: a
65.9273 	DATA 	Keypress: b
66.1930 	DATA 	Keypress: a
66.3786 	DATA 	Keypress: b
66.5290 	DATA 	Keypress: a
66.6954 	DATA 	Keypress: b
66.7955 	DATA 	Keypress: a
66.9287 	DATA 	Keypress: b
67.0289 	DATA 	Keypress: a
67.2288 	DATA 	Keypress: a
67.5953 	DATA 	Keypress: a
67.7955 	DATA 	Keypress: a
67.8789 	DATA 	Keypress: lshift
67.8795 	DATA 	Keypress: t
67.9787 	DATA 	Keypress: a
68.1454 	DATA 	Keypress: b
68.3788 	DATA 	Keypress: b
68.5456 	DATA 	Keypress: b
68.7459 	DATA 	Keypress: b
68.9636 	DATA 	Keypress: b
69.3288 	DATA 	Keypress: a
69.5289 	DATA 	Keypress: a
69.7122 	DATA 	Keypress: a
69.8788 	DATA 	Keypress: a
70.1290 	DATA 	Keypress: b
70.3794 	DATA 	Keypress: a
70.4956 	DATA 	Keypress: b
70.6126 	DATA 	Keypress: a
70.7787 	DATA 	Keypress: b
70.8788 	DATA 	Keypress: lshift
70.8793 	DATA 	Keypress: t
70.8955 	DATA 	Keypress: a
71.0455 	DATA 	Keypress: b
71.2456 	DATA 	Keypress: b
71.4289 	DATA 	Keypress: b
71.6121 	DATA 	Keypress: b
71.7955 	DATA 	Keypress: b
71.9621 	DATA 	Keypress: a
72.1288 	DATA 	Keypress: b
72.1786 	DATA 	Keypress: a
72.4306 	DATA 	Keypress: b
72.7788 	DATA 	Keypress: a
73.1792 	DATA 	Keypress: b
73.3953 	DATA 	Keypress: b
73.6454 	DATA 	Keypress: b
73.8788 	DATA 	Keypress: lshift
73.8797 	DATA 	Keypress: t
73.8816 	DATA 	Keypress: b
74.0289 	DATA 	Keypress: a
74.2308 	DATA 	Keypress: b
74.3787 	DATA 	Keypress: a
74.5290 	DATA 	Keypress: b
74.5788 	DATA 	Keypress: a
74.7454 	DATA 	Keypress: a
74.9121 	DATA 	Keypress: a
75.0621 	DATA 	Keypress: a
75.3121 	DATA 	Keypress: a
75.4622 	DATA 	Keypress: b
75.6956 	DATA 	Keypress: b
75.8955 	DATA 	Keypress: b
76.2124 	DATA 	Keypress: b
76.4121 	DATA 	Keypress: b
76.5953 	DATA 	Keypress: b
76.7457 	DATA 	Keypress: b
76.8786 	DATA 	Keypress: lshift
76.8791 	DATA 	Keypress: t
76.9303 	DATA 	Keypress: b
77.1122 	DATA 	Keypress: b
77.3787 	DATA 	Keypress: a
77.5620 	DATA 	Keypress: a
77.7122 	DATA 	Keypress: a
77.8788 	DATA 	Keypress: a
78.0124 	DATA 	Keypress: a
78.2286 	DATA 	Keypress: a
78.4287 	DATA 	Keypress: b
78.6121 	DATA 	Keypress: a
78.7456 	DATA 	Keypress: b
78.9621 	DATA 	Keypress: b
79.1289 	DATA 	Keypress: b
79.2956 	DATA 	Keypress: b
79.4624 	DATA 	Keypress: a
79.6789 	DATA 	Keypress: a
79.8457 	DATA 	Keypress: a
79.8787 	DATA 	Keypress: lshift
79.8792 	DATA 	Keypress: t
80.0125 	DATA 	Keypress: a
80.1637 	DATA 	Keypress: b
80.2975 	DATA 	Keypress: a
80.4622 	DATA 	Keypress: b
80.5289 	DATA 	Keypress: a
80.6788 	DATA 	Keypress: b
80.7455 	DATA 	Keypress: a
80.9643 	DATA 	End trial
81.0121 	DATA 	Keypress: b
81.1621 	DATA 	Keypress: a
81.6454 	DATA 	Keypress: a
82.8787 	DATA 	Keypress: lshift
82.8793 	DATA 	Keypress: t
84.0789 	DATA 	Keypress: a
84.3618 	DATA 	Keypress: b
85.8787 	DATA 	Keypress: lshift
85.8792 	DATA 	Keypress: t
88.8786 	DATA 	Keypress: lshift
88.8791 	DATA 	Keypress: t
88.8955 	DATA 	Keypress: a
89.1955 	DATA 	Keypress: b
91.8786 	DATA 	Keypress: lshift
91.8791 	DATA 	Keypress: t
94.8788 	DATA 	Keypress: lshift
94.8793 	DATA 	Keypress: t
94.9471 	DATA 	Begin trial
95.4952 	DATA 	Keypress: a
95.6456 	DATA 	Keypress: b
95.8620 	DATA 	Keypress: a
96.1120 	DATA 	Keypress: b
96.2622 	DATA 	Keypress: a
96.4460 	DATA 	Keypress: a
96.6288 	DATA 	Keypress: a
96.8289 	DATA 	Keypress: a
96.9788 	DATA 	Keypress: a
97.1622 	DATA 	Keypress: a
97.3622 	DATA 	Keypress: a
97.5787 	DATA 	Keypress: a
97.7957 	DATA 	Keypress: b
97.8787 	DATA 	Keypress: lshift
97.8792 	DATA 	Keypress: t
97.9953 	DATA 	Keypress: a
98.1642 	DATA 	Keypress: b
98.2453 	DATA 	Keypress: a
98.6125 	DATA 	Keypress: a
98.8121 	DATA 	Keypress: a
98.9786 	DATA 	Keypress: a
99.1620 	DATA 	Keypress: a
99.3453 	DATA 	Keypress: a
99.5454 	DATA 	Keypress: a
99.7291 	DATA 	Keypress: a
99.9120 	DATA 	Keypress: a
100.0292 	DATA 	Keypress: b
100.2288 	DATA 	Keypress: a
100.4293 	DATA 	Keypress: a
100.8121 	DATA 	Keypress: a
100.8787 	DATA 	Keypress: lshift
100.8792 	DATA 	Keypress: t
101.1787 	DATA 	Keypress: a
101.3455 	DATA 	Keypress: b
101.7953 	DATA 	Keypress: a
101.9874 	DATA 	End trial
102.0259 	DATA 	Keypress: a
103.8787 	DATA 	Keypress: lshift
103.8792 	DATA 	Keypress: t
106.8789 	DATA 	Keypress: lshift
106.8794 	DATA 	Keypress: t
109.8789 	DATA 	Keypress: lshift
109.8795 	DATA 	Keypress: t
112.8788 	DATA 	Keypress: lshift
112.8793 	DATA 	Keypress: t
115.8789 	DATA 	Keypress: lshift
115.8794 	DATA 	Keypress: t
118.8788 	DATA 	Keypress: lshift
118.8793 	DATA 	Keypress: t
121.8786 	DATA 	Keypress: lshift
121.8791 	DATA 	Keypress: t
124.8786 	DATA 	Keypress: lshift
124.8792 	DATA 	Keypress: t
124.9805 	DATA 	Begin trial
125.4456 	DATA 	Keypress: a
125.6456 	DATA 	Keypress: b
125.8622 	DATA 	Keypress: a
126.0121 	DATA 	Keypress: b
126.1287 	DATA 	Keypress: a
126.2953 	DATA 	Keypress: b
126.4120 	DATA 	Keypress: a
126.5622 	DATA 	Keypress: b
126.7287 	DATA 	Keypress: a
126.9954 	DATA 	Keypress: b
127.1955 	DATA 	Keypress: a
127.4456 	DATA 	Keypress: b
127.6452 	DATA 	Keypress: a
127.8122 	DATA 	Keypress: b
127.8787 	DATA 	Keypress: lshift
127.8792 	DATA 	Keypress: t
127.9620 	DATA 	Keypress: a
128.1123 	DATA 	Keypress: b
128.2619 	DATA 	Keypress: a
128.4287 	DATA 	Keypress: b
128.6287 	DATA 	Keypress: b
128.8619 	DATA 	Keypress: b
129.0453 	DATA 	Keypress: b
129.3290 	DATA 	Keypress: b
129.5289 	DATA 	Keypress: a
129.6955 	DATA 	Keypress: a
129.9120 	DATA 	Keypress: a
130.1125 	DATA 	Keypress: a
130.3285 	DATA 	Keypress: a
130.5790 	DATA 	Keypress: b
130.8120 	DATA 	Keypress: b
130.8786 	DATA 	Keypress: lshift
130.8791 	DATA 	Keypress: t
131.0287 	DATA 	Keypress: b
131.2289 	DATA 	Keypress: b
131.4125 	DATA 	Keypress: b
131.5955 	DATA 	Keypress: b
131.9956 	DATA 	Keypress: a
132.2287 	DATA 	Keypress: a
132.4785 	DATA 	Keypress: b
132.6121 	DATA 	Keypress: a
132.7622 	DATA 	Keypress: b
132.9456 	DATA 	Keypress: a
133.3795 	DATA 	Keypress: a
133.4787 	DATA 	Keypress: b
133.6789 	DATA 	Keypress: b
133.8456 	DATA 	Keypress: a
133.8787 	DATA 	Keypress: lshift
133.8792 	DATA 	Keypress: t
133.9959 	DATA 	Keypress: b
134.1458 	DATA 	Keypress: a
134.2955 	DATA 	Keypress: b
134.4470 	DATA 	Keypress: a
134.5955 	DATA 	Keypress: b
134.7287 	DATA 	Keypress: a
134.8787 	DATA 	Keypress: b
135.0171 	DATA 	End trial
135.0757 	DATA 	Keypress: a
136.8788 	DATA 	Keypress: lshift
136.8793 	DATA 	Keypress: t
139.8785 	DATA 	Keypress: lshift
139.8790 	DATA 	Keypress: t
142.8786 	DATA 	Keypress: lshift
142.8791 	DATA 	Keypress: t
145.8787 	DATA 	Keypress: lshift
145.8792 	DATA 	Keypress: t
148.8787 	DATA 	Keypress: lshift
148.8792 	DATA 	Keypress: t
151.8787 	DATA 	Keypress: lshift
151.8792 	DATA 	Keypress: t
154.8788 	DATA 	Keypress: lshift
154.8794 	DATA 	Keypress: t
155.0158 	DATA 	Begin trial
155.5292 	DATA 	Keypress: a
155.8289 	DATA 	Keypress: b
156.1746 	DATA 	Keypress: a
156.3621 	DATA 	Keypress: a
156.7287 	DATA 	Keypress: a
156.9956 	DATA 	Keypress: b
157.1288 	DATA 	Keypress: a
157.3119 	DATA 	Keypress: b
157.3955 	DATA 	Keypress: a
157.5620 	DATA 	Keypress: b
157.6639 	DATA 	Keypress: a
157.8288 	DATA 	Keypress: b
157.8788 	DATA 	Keypress: lshift
157.8793 	DATA 	Keypress: t
157.9287 	DATA 	Keypress: a
158.0808 	DATA 	Keypress: b
158.2123 	DATA 	Keypress: a
158.3620 	DATA 	Keypress: b
158.5127 	DATA 	Keypress: a
158.6789 	DATA 	Keypress: b
158.7957 	DATA 	Keypress: a
158.9476 	DATA 	Keypress: b
159.0788 	DATA 	Keypress: a
159.2288 	DATA 	Keypress: b
159.3455 	DATA 	Keypress: a
159.4792 	DATA 	Keypress: b
159.5787 	DATA 	Keypress: a
159.7288 	DATA 	Keypress: b
159.8623 	DATA 	Keypress: a
160.0955 	DATA 	Keypress: a
160.3119 	DATA 	Keypress: a
160.4621 	DATA 	Keypress: a
160.5621 	DATA 	Keypress: b
160.7454 	DATA 	Keypress: a
160.8139 	DATA 	Keypress: b
160.8787 	DATA 	Keypress: lshift
160.8792 	DATA 	Keypress: t
161.1120 	DATA 	Keypress: b
161.2473 	DATA 	Keypress: a
161.4119 	DATA 	Keypress: b
161.5286 	DATA 	Keypress: a
161.6784 	DATA 	Keypress: b
161.7622 	DATA 	Keypress: a
161.8955 	DATA 	Keypress: b
161.9955 	DATA 	Keypress: a
162.1460 	DATA 	Keypress: b
162.2624 	DATA 	Keypress: a
162.4125 	DATA 	Keypress: b
162.5122 	DATA 	Keypress: a
162.6622 	DATA 	Keypress: b
162.7620 	DATA 	Keypress: a
162.9121 	DATA 	Keypress: b
163.0288 	DATA 	Keypress: a
163.1791 	DATA 	Keypress: b
163.2792 	DATA 	Keypress: a
163.4289 	DATA 	Keypress: b
163.5288 	DATA 	Keypress: a
163.6952 	DATA 	Keypress: b
163.8288 	DATA 	Keypress: a
163.8785 	DATA 	Keypress: lshift
163.8790 	DATA 	Keypress: t
163.9790 	DATA 	Keypress: b
164.0955 	DATA 	Keypress: a
164.2121 	DATA 	Keypress: b
164.3955 	DATA 	Keypress: a
164.5620 	DATA 	Keypress: b
164.6806 	DATA 	Keypress: a
164.8956 	DATA 	Keypress: b
165.0455 	DATA 	Keypress: a
165.1626 	DATA 	Keypress: b
165.2642 	DATA 	Keypress: a
165.4121 	DATA 	Keypress: b
165.5287 	DATA 	Keypress: a
165.6790 	DATA 	Keypress: b
165.7788 	DATA 	Keypress: a
165.9306 	DATA 	Keypress: b
166.1122 	DATA 	Keypress: a
166.2620 	DATA 	Keypress: b
166.4456 	DATA 	Keypress: b
166.6304 	DATA 	Keypress: b
166.8455 	DATA 	Keypress: b
166.8788 	DATA 	Keypress: lshift
166.8794 	DATA 	Keypress: t
167.0126 	DATA 	Keypress: b
167.1955 	DATA 	Keypress: a
167.4309 	DATA 	Keypress: a
167.6288 	DATA 	Keypress: b
167.7785 	DATA 	Keypress: a
167.9459 	DATA 	Keypress: a
168.0953 	DATA 	Keypress: a
168.2953 	DATA 	Keypress: a
168.4788 	DATA 	Keypress: a
168.6621 	DATA 	Keypress: a
168.8788 	DATA 	Keypress: a
169.0472 	DATA 	Keypress: b
169.1623 	DATA 	Keypress: a
169.3288 	DATA 	Keypress: b
169.4289 	DATA 	Keypress: a
169.5956 	DATA 	Keypress: b
169.6935 	DATA 	Keypress: a
169.8621 	DATA 	Keypress: b
169.8788 	DATA 	Keypress: lshift
169.8793 	DATA 	Keypress: t
170.0288 	DATA 	Keypress: a
170.1639 	DATA 	Keypress: b
170.2622 	DATA 	Keypress: a
170.3956 	DATA 	Keypress: b
170.5142 	DATA 	Keypress: a
170.7122 	DATA 	Keypress: b
170.8953 	DATA 	Keypress: a
171.2456 	DATA 	Keypress: b
171.3953 	DATA 	Keypress: a
171.5954 	DATA 	Keypress: b
171.7310 	DATA 	Keypress: a
171.8621 	DATA 	Keypress: b
171.9792 	DATA 	Keypress: a
172.0562 	DATA 	End trial
172.1452 	DATA 	Keypress: b
172.2955 	DATA 	Keypress: a
172.8785 	DATA 	Keypress: lshift
172.8790 	DATA 	Keypress: t
175.8788 	DATA 	Keypress: lshift
175.8793 	DATA 	Keypress: t
178.8786 	DATA 	Keypress: lshift
178.8791 	DATA 	Keypress: t
181.8788 	DATA 	Keypress: lshift
181.8794 	DATA 	Keypress: t
