3.4106 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
31.2376 	DATA 	Keypress: a
31.9536 	DATA 	Keypress: b
55.1718 	DATA 	Keypress: a
55.6032 	DATA 	Keypress: b
71.6198 	DATA 	Keypress: b
71.8701 	DATA 	Keypress: a
74.5699 	DATA 	Keypress: a
74.8705 	DATA 	Keypress: b
112.3868 	DATA 	Mouse: Left button down, pos=(272,633)
112.4650 	DATA 	Mouse:  Left button up, pos=(272,633)
113.7036 	DATA 	Keypress: space
113.7042 	DATA 	waiting for trigger
130.9368 	DATA 	Keypress: lshift
130.9373 	DATA 	Keypress: t
130.9384 	DATA 	TRIGGERED
132.8698 	DATA 	Keypress: a
133.3530 	DATA 	Keypress: b
133.9370 	DATA 	Keypress: lshift
133.9375 	DATA 	Keypress: t
136.9364 	DATA 	Keypress: lshift
136.9369 	DATA 	Keypress: t
139.9369 	DATA 	Keypress: lshift
139.9374 	DATA 	Keypress: t
141.0635 	DATA 	red.png
141.8669 	DATA 	Keypress: a
142.1347 	DATA 	Keypress: a
142.3837 	DATA 	Keypress: a
142.5838 	DATA 	Keypress: a
142.9337 	DATA 	Keypress: lshift
142.9340 	DATA 	Keypress: t
143.1386 	DATA 	Keypress: a
143.5701 	DATA 	Keypress: a
143.7715 	DATA 	Keypress: a
143.9533 	DATA 	Keypress: a
144.2715 	DATA 	Keypress: b
144.6037 	DATA 	Keypress: b
144.7701 	DATA 	Keypress: b
144.9866 	DATA 	Keypress: a
145.2035 	DATA 	Keypress: a
145.5366 	DATA 	Keypress: a
145.7053 	DATA 	Keypress: a
145.9032 	DATA 	Keypress: a
145.9367 	DATA 	Keypress: lshift
145.9372 	DATA 	Keypress: t
146.0033 	DATA 	Keypress: a
146.2034 	DATA 	Keypress: a
146.5039 	DATA 	Keypress: a
146.6551 	DATA 	Keypress: a
146.8369 	DATA 	Keypress: a
146.9869 	DATA 	Keypress: a
147.1532 	DATA 	Keypress: a
147.2700 	DATA 	Keypress: a
147.4525 	DATA 	Keypress: a
147.6199 	DATA 	Keypress: a
147.7700 	DATA 	Keypress: a
147.9367 	DATA 	Keypress: a
148.0890 	DATA 	Keypress: a
148.2366 	DATA 	Keypress: a
148.4199 	DATA 	Keypress: a
148.5703 	DATA 	Keypress: a
148.7199 	DATA 	Keypress: a
148.8869 	DATA 	Keypress: a
148.9369 	DATA 	Keypress: lshift
148.9374 	DATA 	Keypress: t
148.9863 	DATA 	end CS
149.1018 	DATA 	vend.png
149.1022 	DATA 	Keypress: a
149.2006 	DATA 	Keypress: a
149.7337 	DATA 	Keypress: a
149.9672 	DATA 	Keypress: b
150.1836 	DATA 	Keypress: b
150.3172 	DATA 	Keypress: b
150.4669 	DATA 	Keypress: b
150.6336 	DATA 	Keypress: b
150.7846 	DATA 	Keypress: b
150.9670 	DATA 	Keypress: b
151.1366 	DATA 	Keypress: b
151.2715 	DATA 	Keypress: b
151.4534 	DATA 	Keypress: b
151.6202 	DATA 	Keypress: b
151.7700 	DATA 	Keypress: b
151.9365 	DATA 	Keypress: lshift
151.9370 	DATA 	Keypress: t
151.9534 	DATA 	Keypress: b
152.1038 	DATA 	Keypress: b
152.2700 	DATA 	Keypress: b
152.4534 	DATA 	Keypress: b
152.6033 	DATA 	Keypress: b
152.7703 	DATA 	Keypress: b
152.9369 	DATA 	Keypress: b
153.0702 	DATA 	Keypress: b
153.2536 	DATA 	Keypress: b
153.3998 	DATA 	Keypress: b
153.5346 	DATA 	Keypress: a
153.7180 	DATA 	Keypress: a
153.8847 	DATA 	Keypress: a
154.0678 	DATA 	Keypress: a
154.2180 	DATA 	Keypress: a
154.4014 	DATA 	Keypress: a
154.9343 	DATA 	Keypress: lshift
154.9347 	DATA 	Keypress: t
155.0010 	DATA 	end CS
155.1022 	DATA 	blue.png
155.3536 	DATA 	Keypress: a
155.5038 	DATA 	Keypress: a
155.7701 	DATA 	Keypress: b
155.9368 	DATA 	Keypress: b
156.1198 	DATA 	Keypress: b
156.2700 	DATA 	Keypress: b
156.4211 	DATA 	Keypress: b
156.5869 	DATA 	Keypress: b
156.7367 	DATA 	Keypress: b
156.9032 	DATA 	Keypress: b
157.0367 	DATA 	Keypress: b
157.2036 	DATA 	Keypress: b
157.3534 	DATA 	Keypress: b
157.5037 	DATA 	Keypress: b
157.6544 	DATA 	Keypress: b
157.8367 	DATA 	Keypress: b
157.9365 	DATA 	Keypress: lshift
157.9370 	DATA 	Keypress: t
157.9700 	DATA 	Keypress: b
158.1365 	DATA 	Keypress: b
158.2873 	DATA 	Keypress: b
158.4203 	DATA 	Keypress: b
158.5868 	DATA 	Keypress: b
158.7700 	DATA 	Keypress: b
158.9200 	DATA 	Keypress: b
159.0870 	DATA 	Keypress: b
159.2534 	DATA 	Keypress: b
159.4033 	DATA 	Keypress: b
159.5715 	DATA 	Keypress: b
159.7367 	DATA 	Keypress: b
159.9036 	DATA 	Keypress: b
160.0534 	DATA 	Keypress: b
160.2536 	DATA 	Keypress: b
160.4200 	DATA 	Keypress: a
160.5703 	DATA 	Keypress: a
160.7369 	DATA 	Keypress: a
160.8885 	DATA 	Keypress: a
160.9369 	DATA 	Keypress: lshift
160.9374 	DATA 	Keypress: t
161.0366 	DATA 	Keypress: a
161.1871 	DATA 	Keypress: a
161.3536 	DATA 	Keypress: a
161.5034 	DATA 	Keypress: a
161.6533 	DATA 	Keypress: a
161.8035 	DATA 	Keypress: a
162.1199 	DATA 	Keypress: a
162.2702 	DATA 	Keypress: a
162.4199 	DATA 	Keypress: a
162.5870 	DATA 	Keypress: a
162.7535 	DATA 	Keypress: a
162.9199 	DATA 	Keypress: a
163.0718 	DATA 	Keypress: a
163.2535 	DATA 	Keypress: a
163.4200 	DATA 	Keypress: a
163.5869 	DATA 	Keypress: a
163.7536 	DATA 	Keypress: a
163.9048 	DATA 	Keypress: a
163.9370 	DATA 	Keypress: lshift
163.9375 	DATA 	Keypress: t
164.0866 	DATA 	Keypress: a
164.2533 	DATA 	Keypress: a
164.4204 	DATA 	Keypress: a
164.5868 	DATA 	Keypress: a
164.7533 	DATA 	Keypress: a
164.9366 	DATA 	Keypress: a
165.1034 	DATA 	Keypress: a
165.2702 	DATA 	Keypress: a
165.4535 	DATA 	Keypress: a
165.6202 	DATA 	Keypress: a
165.8038 	DATA 	Keypress: a
165.9867 	DATA 	Keypress: a
166.1534 	DATA 	Keypress: a
166.3203 	DATA 	Keypress: a
166.5035 	DATA 	Keypress: a
166.6870 	DATA 	Keypress: a
166.8701 	DATA 	Keypress: a
166.9367 	DATA 	Keypress: lshift
166.9373 	DATA 	Keypress: t
167.0369 	DATA 	Keypress: a
167.2201 	DATA 	Keypress: a
167.4034 	DATA 	Keypress: a
167.5702 	DATA 	Keypress: a
167.7534 	DATA 	Keypress: a
167.9042 	DATA 	Keypress: a
168.0702 	DATA 	Keypress: a
168.2367 	DATA 	Keypress: a
168.4199 	DATA 	Keypress: a
168.6032 	DATA 	Keypress: a
168.7553 	DATA 	Keypress: a
168.9367 	DATA 	Keypress: a
169.1037 	DATA 	Keypress: a
169.2700 	DATA 	Keypress: a
169.4536 	DATA 	Keypress: a
169.6369 	DATA 	Keypress: a
169.8035 	DATA 	Keypress: a
169.9368 	DATA 	Keypress: lshift
169.9373 	DATA 	Keypress: t
169.9713 	DATA 	Keypress: a
170.0030 	DATA 	end CS
170.0959 	DATA 	vend.png
170.1676 	DATA 	Keypress: a
170.3177 	DATA 	Keypress: a
170.6177 	DATA 	Keypress: a
170.8507 	DATA 	Keypress: b
171.0009 	DATA 	Keypress: b
171.1843 	DATA 	Keypress: b
171.3677 	DATA 	Keypress: a
171.5014 	DATA 	Keypress: b
171.5841 	DATA 	Keypress: a
171.6844 	DATA 	Keypress: b
171.7674 	DATA 	Keypress: a
171.8676 	DATA 	Keypress: b
171.9344 	DATA 	Keypress: a
172.0510 	DATA 	Keypress: b
172.1176 	DATA 	Keypress: a
172.2343 	DATA 	Keypress: b
172.3009 	DATA 	Keypress: a
172.4178 	DATA 	Keypress: b
172.5008 	DATA 	Keypress: a
172.6010 	DATA 	Keypress: b
172.7009 	DATA 	Keypress: a
172.8008 	DATA 	Keypress: b
172.8843 	DATA 	Keypress: a
172.9341 	DATA 	Keypress: lshift
172.9345 	DATA 	Keypress: t
173.0010 	DATA 	Keypress: b
173.0843 	DATA 	Keypress: a
173.1687 	DATA 	Keypress: b
173.2677 	DATA 	Keypress: a
173.3676 	DATA 	Keypress: b
173.4342 	DATA 	Keypress: a
173.5509 	DATA 	Keypress: b
173.6176 	DATA 	Keypress: a
173.7175 	DATA 	Keypress: b
173.8035 	DATA 	Keypress: a
173.9204 	DATA 	Keypress: b
174.0865 	DATA 	Keypress: b
174.2537 	DATA 	Keypress: b
174.4200 	DATA 	Keypress: b
174.5368 	DATA 	Keypress: b
175.0699 	DATA 	Keypress: a
175.2033 	DATA 	Keypress: b
175.2700 	DATA 	Keypress: a
175.3868 	DATA 	Keypress: b
175.4868 	DATA 	Keypress: a
175.6036 	DATA 	Keypress: b
175.6700 	DATA 	Keypress: a
175.7700 	DATA 	Keypress: b
175.8533 	DATA 	Keypress: a
175.9366 	DATA 	Keypress: lshift
175.9371 	DATA 	Keypress: t
175.9539 	DATA 	Keypress: b
176.0029 	DATA 	end CS
176.1076 	DATA 	green.png
176.1080 	DATA 	Keypress: a
176.1486 	DATA 	Keypress: b
176.2170 	DATA 	Keypress: a
176.3504 	DATA 	Keypress: b
176.4338 	DATA 	Keypress: a
176.6335 	DATA 	Keypress: b
176.8720 	DATA 	Keypress: b
177.1866 	DATA 	Keypress: b
177.3368 	DATA 	Keypress: b
177.5034 	DATA 	Keypress: b
177.6536 	DATA 	Keypress: b
177.9540 	DATA 	Keypress: b
178.1032 	DATA 	Keypress: b
178.2865 	DATA 	Keypress: b
178.4200 	DATA 	Keypress: b
178.5704 	DATA 	Keypress: b
178.7535 	DATA 	Keypress: b
178.9031 	DATA 	Keypress: b
178.9371 	DATA 	Keypress: lshift
178.9376 	DATA 	Keypress: t
179.0367 	DATA 	Keypress: b
179.2033 	DATA 	Keypress: b
179.3367 	DATA 	Keypress: b
179.5200 	DATA 	Keypress: b
179.6866 	DATA 	Keypress: b
179.8366 	DATA 	Keypress: b
179.9866 	DATA 	Keypress: b
180.1385 	DATA 	Keypress: b
180.3034 	DATA 	Keypress: b
180.4701 	DATA 	Keypress: b
180.6199 	DATA 	Keypress: b
180.7866 	DATA 	Keypress: b
180.9537 	DATA 	Keypress: b
181.1201 	DATA 	Keypress: b
181.2865 	DATA 	Keypress: b
181.4534 	DATA 	Keypress: b
181.6214 	DATA 	Keypress: b
181.8200 	DATA 	Keypress: b
181.9368 	DATA 	Keypress: lshift
181.9373 	DATA 	Keypress: t
181.9868 	DATA 	Keypress: b
182.0030 	DATA 	end CS
182.0847 	DATA 	vend.png
182.1504 	DATA 	Keypress: b
182.2867 	DATA 	Keypress: b
182.6035 	DATA 	Keypress: a
182.7700 	DATA 	Keypress: b
182.8369 	DATA 	Keypress: a
182.9365 	DATA 	Keypress: b
183.0370 	DATA 	Keypress: a
183.1383 	DATA 	Keypress: b
183.2207 	DATA 	Keypress: a
183.2217 	DATA 	Keypress: b
183.3534 	DATA 	Keypress: b
183.4036 	DATA 	Keypress: a
183.5199 	DATA 	Keypress: b
183.5875 	DATA 	Keypress: a
183.7199 	DATA 	Keypress: b
183.7882 	DATA 	Keypress: a
183.9199 	DATA 	Keypress: b
183.9866 	DATA 	Keypress: a
184.1031 	DATA 	Keypress: b
184.1870 	DATA 	Keypress: a
184.3203 	DATA 	Keypress: b
184.3868 	DATA 	Keypress: a
184.5037 	DATA 	Keypress: b
184.5702 	DATA 	Keypress: a
184.7032 	DATA 	Keypress: b
184.7698 	DATA 	Keypress: a
184.9032 	DATA 	Keypress: b
184.9368 	DATA 	Keypress: lshift
184.9373 	DATA 	Keypress: t
184.9702 	DATA 	Keypress: a
185.1203 	DATA 	Keypress: b
185.1869 	DATA 	Keypress: a
185.3036 	DATA 	Keypress: b
185.3865 	DATA 	Keypress: a
185.5369 	DATA 	Keypress: a
185.7034 	DATA 	Keypress: b
185.8032 	DATA 	Keypress: a
185.9379 	DATA 	Keypress: b
186.0032 	DATA 	Keypress: a
186.1536 	DATA 	Keypress: a
186.3200 	DATA 	Keypress: a
186.4870 	DATA 	Keypress: a
186.6700 	DATA 	Keypress: a
186.8370 	DATA 	Keypress: a
187.0053 	DATA 	Keypress: a
187.1702 	DATA 	Keypress: a
187.3381 	DATA 	Keypress: a
187.4701 	DATA 	Keypress: b
187.5866 	DATA 	Keypress: a
187.7201 	DATA 	Keypress: b
187.8036 	DATA 	Keypress: a
187.9367 	DATA 	Keypress: lshift
187.9372 	DATA 	Keypress: t
188.0032 	DATA 	Keypress: a
188.0042 	DATA 	end CS
188.1010 	DATA 	yellow.png
188.1675 	DATA 	Keypress: a
188.3675 	DATA 	Keypress: a
188.7671 	DATA 	Keypress: a
189.0507 	DATA 	Keypress: b
189.1172 	DATA 	Keypress: a
189.2674 	DATA 	Keypress: b
189.3171 	DATA 	Keypress: a
189.4839 	DATA 	Keypress: b
189.5674 	DATA 	Keypress: a
189.7174 	DATA 	Keypress: b
189.7674 	DATA 	Keypress: a
189.9341 	DATA 	Keypress: b
190.0007 	DATA 	Keypress: a
190.1840 	DATA 	Keypress: b
190.2174 	DATA 	Keypress: a
190.3840 	DATA 	Keypress: b
190.4672 	DATA 	Keypress: a
190.6506 	DATA 	Keypress: b
190.7340 	DATA 	Keypress: a
190.8673 	DATA 	Keypress: b
190.9341 	DATA 	Keypress: lshift
190.9344 	DATA 	Keypress: t
190.9514 	DATA 	Keypress: a
