3.5821 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
47.0578 	DATA 	Keypress: a
50.6242 	DATA 	Keypress: b
52.4744 	DATA 	Keypress: a
71.3081 	DATA 	Mouse: Left button down, pos=(50,234)
71.4207 	DATA 	Mouse:  Left button up, pos=(50,234)
79.9576 	DATA 	Keypress: space
79.9581 	DATA 	waiting for trigger
95.6908 	DATA 	Keypress: a
96.4413 	DATA 	Keypress: lshift
96.4418 	DATA 	Keypress: t
96.4429 	DATA 	TRIGGERED
99.3246 	DATA 	Keypress: a
99.4411 	DATA 	Keypress: lshift
99.4417 	DATA 	Keypress: t
102.4410 	DATA 	Keypress: lshift
102.4414 	DATA 	Keypress: t
104.1739 	DATA 	Keypress: b
105.4405 	DATA 	Keypress: lshift
105.4410 	DATA 	Keypress: t
106.5705 	DATA 	red.png
107.2221 	DATA 	Keypress: a
107.6912 	DATA 	Keypress: a
107.9578 	DATA 	Keypress: a
108.2078 	DATA 	Keypress: a
108.4245 	DATA 	Keypress: a
108.4414 	DATA 	Keypress: lshift
108.4419 	DATA 	Keypress: t
108.8577 	DATA 	Keypress: a
109.2413 	DATA 	Keypress: a
109.5746 	DATA 	Keypress: a
109.8083 	DATA 	Keypress: a
110.2419 	DATA 	Keypress: b
111.2409 	DATA 	Keypress: a
111.4411 	DATA 	Keypress: lshift
111.4416 	DATA 	Keypress: t
111.7415 	DATA 	Keypress: a
112.2080 	DATA 	Keypress: a
112.9576 	DATA 	Keypress: a
113.1410 	DATA 	Keypress: a
113.3579 	DATA 	Keypress: a
113.5412 	DATA 	Keypress: a
113.7428 	DATA 	Keypress: a
113.9746 	DATA 	Keypress: a
114.1744 	DATA 	Keypress: a
114.3744 	DATA 	Keypress: a
114.4411 	DATA 	Keypress: lshift
114.4416 	DATA 	Keypress: t
114.4743 	DATA 	end CS
114.5838 	DATA 	vend.png
114.5845 	DATA 	Keypress: a
115.0049 	DATA 	Keypress: a
116.2082 	DATA 	Keypress: a
116.4584 	DATA 	Keypress: a
116.6911 	DATA 	Keypress: b
116.8746 	DATA 	Keypress: b
117.0932 	DATA 	Keypress: b
117.2579 	DATA 	Keypress: b
117.4418 	DATA 	Keypress: lshift
117.4424 	DATA 	Keypress: t
117.4762 	DATA 	Keypress: b
117.7077 	DATA 	Keypress: b
117.9410 	DATA 	Keypress: b
118.1577 	DATA 	Keypress: b
118.3743 	DATA 	Keypress: b
118.6078 	DATA 	Keypress: b
118.8577 	DATA 	Keypress: b
119.0579 	DATA 	Keypress: b
119.3082 	DATA 	Keypress: b
119.5410 	DATA 	Keypress: b
119.7245 	DATA 	Keypress: a
119.9246 	DATA 	Keypress: a
120.1410 	DATA 	Keypress: a
120.3411 	DATA 	Keypress: a
120.4414 	DATA 	Keypress: lshift
120.4419 	DATA 	Keypress: t
120.4908 	DATA 	end CS
120.5876 	DATA 	blue.png
120.5879 	DATA 	Keypress: a
120.7713 	DATA 	Keypress: a
121.7926 	DATA 	Keypress: b
121.9912 	DATA 	Keypress: b
122.4080 	DATA 	Keypress: b
122.6250 	DATA 	Keypress: b
122.8412 	DATA 	Keypress: b
123.0410 	DATA 	Keypress: b
123.2412 	DATA 	Keypress: b
123.4415 	DATA 	Keypress: lshift
123.4420 	DATA 	Keypress: t
123.6246 	DATA 	Keypress: b
123.8079 	DATA 	Keypress: b
124.0580 	DATA 	Keypress: b
124.2746 	DATA 	Keypress: b
124.4913 	DATA 	Keypress: b
124.7078 	DATA 	Keypress: b
124.9245 	DATA 	Keypress: b
125.1412 	DATA 	Keypress: b
125.3580 	DATA 	Keypress: b
125.5912 	DATA 	Keypress: b
125.8078 	DATA 	Keypress: b
126.0411 	DATA 	Keypress: b
126.2582 	DATA 	Keypress: b
126.4412 	DATA 	Keypress: lshift
126.4417 	DATA 	Keypress: t
126.4431 	DATA 	Keypress: a
126.6744 	DATA 	Keypress: a
126.8746 	DATA 	Keypress: a
127.0912 	DATA 	Keypress: a
127.3079 	DATA 	Keypress: a
127.5077 	DATA 	Keypress: a
127.7079 	DATA 	Keypress: a
127.9081 	DATA 	Keypress: a
128.1077 	DATA 	Keypress: a
128.2911 	DATA 	Keypress: a
128.4745 	DATA 	Keypress: a
128.6744 	DATA 	Keypress: b
128.8912 	DATA 	Keypress: b
129.1078 	DATA 	Keypress: b
129.3244 	DATA 	Keypress: b
129.4417 	DATA 	Keypress: lshift
129.4422 	DATA 	Keypress: t
129.5579 	DATA 	Keypress: b
129.7576 	DATA 	Keypress: b
129.9914 	DATA 	Keypress: b
130.2245 	DATA 	Keypress: b
130.4411 	DATA 	Keypress: b
130.5745 	DATA 	Keypress: a
130.7916 	DATA 	Keypress: a
131.0077 	DATA 	Keypress: a
131.2244 	DATA 	Keypress: a
131.4412 	DATA 	Keypress: a
131.6577 	DATA 	Keypress: a
131.8583 	DATA 	Keypress: a
131.9912 	DATA 	Keypress: b
132.1746 	DATA 	Keypress: a
132.3910 	DATA 	Keypress: b
132.4417 	DATA 	Keypress: lshift
132.4422 	DATA 	Keypress: t
132.5596 	DATA 	Keypress: a
132.7578 	DATA 	Keypress: b
132.9247 	DATA 	Keypress: a
133.1746 	DATA 	Keypress: a
133.3744 	DATA 	Keypress: a
133.5745 	DATA 	Keypress: a
133.7910 	DATA 	Keypress: a
134.0079 	DATA 	Keypress: a
134.2412 	DATA 	Keypress: a
134.4431 	DATA 	Keypress: a
134.6745 	DATA 	Keypress: a
134.8745 	DATA 	Keypress: a
135.1078 	DATA 	Keypress: a
135.3078 	DATA 	Keypress: a
135.4414 	DATA 	Keypress: lshift
135.4421 	DATA 	Keypress: t
135.4909 	DATA 	end CS
135.5908 	DATA 	vend.png
135.5912 	DATA 	Keypress: a
135.7555 	DATA 	Keypress: a
137.1055 	DATA 	Keypress: b
137.3220 	DATA 	Keypress: b
137.5230 	DATA 	Keypress: b
137.7222 	DATA 	Keypress: b
137.9220 	DATA 	Keypress: b
138.1052 	DATA 	Keypress: b
138.3054 	DATA 	Keypress: b
138.4388 	DATA 	Keypress: lshift
138.4392 	DATA 	Keypress: t
138.5054 	DATA 	Keypress: b
138.6912 	DATA 	Keypress: a
139.1079 	DATA 	Keypress: a
139.3082 	DATA 	Keypress: a
139.5410 	DATA 	Keypress: a
139.7414 	DATA 	Keypress: a
139.9246 	DATA 	Keypress: a
140.1243 	DATA 	Keypress: a
140.3414 	DATA 	Keypress: a
140.5412 	DATA 	Keypress: a
140.7410 	DATA 	Keypress: a
140.9079 	DATA 	Keypress: b
141.1092 	DATA 	Keypress: a
141.3246 	DATA 	Keypress: b
141.4413 	DATA 	Keypress: a
141.4424 	DATA 	Keypress: lshift
141.4429 	DATA 	Keypress: t
141.4907 	DATA 	end CS
141.5933 	DATA 	green.png
141.6713 	DATA 	Keypress: b
141.8411 	DATA 	Keypress: a
142.5412 	DATA 	Keypress: b
142.7579 	DATA 	Keypress: b
142.9579 	DATA 	Keypress: b
143.1412 	DATA 	Keypress: b
143.3410 	DATA 	Keypress: b
143.5258 	DATA 	Keypress: b
143.7411 	DATA 	Keypress: b
143.9244 	DATA 	Keypress: b
144.1245 	DATA 	Keypress: b
144.3411 	DATA 	Keypress: b
144.4409 	DATA 	Keypress: lshift
144.4414 	DATA 	Keypress: t
144.5258 	DATA 	Keypress: b
144.7412 	DATA 	Keypress: b
144.9411 	DATA 	Keypress: b
145.1243 	DATA 	Keypress: b
145.3417 	DATA 	Keypress: b
145.5578 	DATA 	Keypress: b
145.7412 	DATA 	Keypress: b
145.9412 	DATA 	Keypress: b
146.1250 	DATA 	Keypress: b
146.3410 	DATA 	Keypress: b
146.5243 	DATA 	Keypress: a
146.7414 	DATA 	Keypress: a
146.9245 	DATA 	Keypress: a
147.1081 	DATA 	Keypress: a
147.3081 	DATA 	Keypress: a
147.4413 	DATA 	Keypress: lshift
147.4418 	DATA 	Keypress: t
147.4909 	DATA 	end CS
147.5724 	DATA 	vend.png
147.5728 	DATA 	Keypress: a
147.7044 	DATA 	Keypress: a
147.9045 	DATA 	Keypress: a
148.6077 	DATA 	Keypress: b
148.8078 	DATA 	Keypress: b
149.0246 	DATA 	Keypress: a
149.1913 	DATA 	Keypress: b
149.3578 	DATA 	Keypress: a
149.6079 	DATA 	Keypress: a
149.7912 	DATA 	Keypress: a
149.9913 	DATA 	Keypress: a
150.1912 	DATA 	Keypress: a
150.3910 	DATA 	Keypress: a
150.4412 	DATA 	Keypress: lshift
150.4417 	DATA 	Keypress: t
150.5747 	DATA 	Keypress: b
150.7926 	DATA 	Keypress: b
150.9910 	DATA 	Keypress: b
151.1912 	DATA 	Keypress: b
151.3912 	DATA 	Keypress: b
151.5913 	DATA 	Keypress: b
151.7744 	DATA 	Keypress: b
151.9743 	DATA 	Keypress: b
152.1577 	DATA 	Keypress: b
152.3415 	DATA 	Keypress: a
152.5579 	DATA 	Keypress: a
152.7414 	DATA 	Keypress: a
152.9246 	DATA 	Keypress: b
153.1079 	DATA 	Keypress: a
153.3244 	DATA 	Keypress: a
153.4410 	DATA 	Keypress: lshift
153.4415 	DATA 	Keypress: t
153.4906 	DATA 	end CS
153.5923 	DATA 	yellow.png
153.5927 	DATA 	Keypress: a
153.7549 	DATA 	Keypress: a
154.2047 	DATA 	Keypress: a
154.3880 	DATA 	Keypress: a
154.5912 	DATA 	Keypress: a
154.7913 	DATA 	Keypress: a
154.9912 	DATA 	Keypress: a
155.3245 	DATA 	Keypress: a
155.5079 	DATA 	Keypress: b
155.7248 	DATA 	Keypress: b
155.9412 	DATA 	Keypress: b
156.1249 	DATA 	Keypress: b
156.3080 	DATA 	Keypress: b
156.4411 	DATA 	Keypress: lshift
156.4416 	DATA 	Keypress: t
156.5079 	DATA 	Keypress: b
156.6914 	DATA 	Keypress: b
156.8749 	DATA 	Keypress: b
157.0579 	DATA 	Keypress: b
157.2412 	DATA 	Keypress: b
157.4246 	DATA 	Keypress: b
157.6243 	DATA 	Keypress: b
157.8077 	DATA 	Keypress: b
157.9909 	DATA 	Keypress: b
158.1912 	DATA 	Keypress: b
158.3744 	DATA 	Keypress: b
158.5581 	DATA 	Keypress: b
158.7577 	DATA 	Keypress: b
158.9744 	DATA 	Keypress: b
159.1745 	DATA 	Keypress: b
159.4413 	DATA 	Keypress: lshift
159.4418 	DATA 	Keypress: t
159.5911 	DATA 	Keypress: b
159.7580 	DATA 	Keypress: b
159.9576 	DATA 	Keypress: b
160.1577 	DATA 	Keypress: b
160.3581 	DATA 	Keypress: b
160.4908 	DATA 	end CS
160.5776 	DATA 	vend.png
160.5779 	DATA 	Keypress: b
160.7558 	DATA 	Keypress: b
161.0725 	DATA 	Keypress: a
161.2725 	DATA 	Keypress: a
161.4891 	DATA 	Keypress: a
161.6724 	DATA 	Keypress: b
161.7723 	DATA 	Keypress: a
162.0078 	DATA 	Keypress: a
162.2080 	DATA 	Keypress: a
162.4244 	DATA 	Keypress: a
162.4417 	DATA 	Keypress: lshift
162.4422 	DATA 	Keypress: t
162.6244 	DATA 	Keypress: a
162.8079 	DATA 	Keypress: a
163.0243 	DATA 	Keypress: a
163.2076 	DATA 	Keypress: a
163.4079 	DATA 	Keypress: a
163.6080 	DATA 	Keypress: a
163.8079 	DATA 	Keypress: a
163.9914 	DATA 	Keypress: a
164.1910 	DATA 	Keypress: a
164.3743 	DATA 	Keypress: a
164.5576 	DATA 	Keypress: b
164.7578 	DATA 	Keypress: a
164.9759 	DATA 	Keypress: b
165.2081 	DATA 	Keypress: b
165.2246 	DATA 	Keypress: a
165.4411 	DATA 	Keypress: b
165.4422 	DATA 	Keypress: lshift
165.4426 	DATA 	Keypress: t
165.6745 	DATA 	Keypress: b
165.8579 	DATA 	Keypress: b
166.0581 	DATA 	Keypress: b
166.2579 	DATA 	Keypress: b
166.3579 	DATA 	Keypress: a
166.4909 	DATA 	end CS
166.5952 	DATA 	red.png
166.5956 	DATA 	Keypress: a
166.8051 	DATA 	Keypress: a
167.1246 	DATA 	Keypress: a
167.3249 	DATA 	Keypress: a
167.5243 	DATA 	Keypress: a
167.7411 	DATA 	Keypress: a
167.9430 	DATA 	Keypress: a
168.1746 	DATA 	Keypress: a
168.3745 	DATA 	Keypress: a
168.4414 	DATA 	Keypress: lshift
168.4419 	DATA 	Keypress: t
168.5762 	DATA 	Keypress: a
168.8076 	DATA 	Keypress: a
169.0079 	DATA 	Keypress: a
169.2078 	DATA 	Keypress: a
169.4243 	DATA 	Keypress: a
169.6414 	DATA 	Keypress: a
169.8578 	DATA 	Keypress: a
170.0746 	DATA 	Keypress: a
170.2911 	DATA 	Keypress: a
170.5096 	DATA 	Keypress: a
170.7415 	DATA 	Keypress: a
170.9577 	DATA 	Keypress: a
171.1746 	DATA 	Keypress: a
171.4077 	DATA 	Keypress: a
171.4412 	DATA 	Keypress: lshift
171.4417 	DATA 	Keypress: t
171.6242 	DATA 	Keypress: a
171.8251 	DATA 	Keypress: a
172.0430 	DATA 	Keypress: a
172.2746 	DATA 	Keypress: a
172.4914 	DATA 	Keypress: a
172.7078 	DATA 	Keypress: a
172.9412 	DATA 	Keypress: a
173.1415 	DATA 	Keypress: a
173.3748 	DATA 	Keypress: a
173.6078 	DATA 	Keypress: a
173.8079 	DATA 	Keypress: a
174.0245 	DATA 	Keypress: a
174.2412 	DATA 	Keypress: a
174.4409 	DATA 	Keypress: a
174.4420 	DATA 	Keypress: lshift
174.4424 	DATA 	Keypress: t
174.6743 	DATA 	Keypress: a
174.8745 	DATA 	Keypress: a
175.0745 	DATA 	Keypress: a
175.2745 	DATA 	Keypress: a
175.4759 	DATA 	Keypress: a
175.6913 	DATA 	Keypress: a
175.8750 	DATA 	Keypress: a
176.0910 	DATA 	Keypress: a
