1.5231 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
10.9901 	DATA 	version B
37.5759 	DATA 	Mouse: Left button down, pos=(22,198)
37.6692 	DATA 	Mouse:  Left button up, pos=(22,198)
40.0778 	DATA 	Keypress: space
40.0922 	DATA 	waiting for trigger
231.0755 	DATA 	Keypress: lshift
231.0761 	DATA 	Keypress: t
231.0772 	DATA 	TRIGGERED
231.1144 	DATA 	Begin trial
233.8923 	DATA 	Keypress: a
234.0757 	DATA 	Keypress: lshift
234.0762 	DATA 	Keypress: t
234.5259 	DATA 	Keypress: a
235.0584 	DATA 	Keypress: a
235.5939 	DATA 	Keypress: a
236.0753 	DATA 	Keypress: a
237.0756 	DATA 	Keypress: lshift
237.0761 	DATA 	Keypress: t
237.1425 	DATA 	Keypress: a
238.4259 	DATA 	Keypress: a
239.5435 	DATA 	Keypress: a
240.0753 	DATA 	Keypress: lshift
240.0760 	DATA 	Keypress: t
240.1772 	DATA 	Keypress: a
240.5584 	DATA 	Keypress: a
241.9420 	DATA 	Keypress: a
242.3589 	DATA 	Keypress: a
242.8590 	DATA 	Keypress: a
243.0751 	DATA 	Keypress: lshift
243.0758 	DATA 	Keypress: t
243.4096 	DATA 	Keypress: a
244.1756 	DATA 	Keypress: a
246.0757 	DATA 	Keypress: lshift
246.0764 	DATA 	Keypress: t
246.2260 	DATA 	Keypress: a
246.6927 	DATA 	Keypress: a
247.1927 	DATA 	Keypress: a
248.8589 	DATA 	Keypress: a
249.0757 	DATA 	Keypress: lshift
249.0762 	DATA 	Keypress: t
249.5760 	DATA 	Keypress: a
250.1520 	DATA 	End trial
250.1916 	DATA 	Keypress: a
252.0756 	DATA 	Keypress: lshift
252.0761 	DATA 	Keypress: t
255.0755 	DATA 	Keypress: lshift
255.0760 	DATA 	Keypress: t
258.0759 	DATA 	Keypress: lshift
258.0764 	DATA 	Keypress: t
261.0758 	DATA 	Keypress: lshift
261.0763 	DATA 	Keypress: t
261.1444 	DATA 	Begin trial
263.2589 	DATA 	Keypress: a
263.8275 	DATA 	Keypress: a
264.0757 	DATA 	Keypress: lshift
264.0762 	DATA 	Keypress: t
265.5422 	DATA 	Keypress: a
266.9759 	DATA 	Keypress: a
267.0757 	DATA 	Keypress: lshift
267.0762 	DATA 	Keypress: t
267.6420 	DATA 	Keypress: a
268.3092 	DATA 	Keypress: a
269.6755 	DATA 	Keypress: a
270.0758 	DATA 	Keypress: lshift
270.0763 	DATA 	Keypress: t
272.5916 	DATA 	Keypress: a
273.0746 	DATA 	Keypress: lshift
273.0751 	DATA 	Keypress: t
273.1252 	DATA 	Keypress: a
273.6251 	DATA 	Keypress: a
274.1807 	DATA 	End trial
274.1812 	DATA 	Keypress: a
276.0757 	DATA 	Keypress: lshift
276.0762 	DATA 	Keypress: t
279.0753 	DATA 	Keypress: lshift
279.0760 	DATA 	Keypress: t
282.0758 	DATA 	Keypress: lshift
282.0763 	DATA 	Keypress: t
285.0756 	DATA 	Keypress: lshift
285.0764 	DATA 	Keypress: t
288.0754 	DATA 	Keypress: lshift
288.0761 	DATA 	Keypress: t
291.0751 	DATA 	Keypress: lshift
291.0759 	DATA 	Keypress: t
291.1788 	DATA 	Begin trial
292.2756 	DATA 	Keypress: a
292.7756 	DATA 	Keypress: a
293.5262 	DATA 	Keypress: a
294.0424 	DATA 	Keypress: a
294.0754 	DATA 	Keypress: lshift
294.0762 	DATA 	Keypress: t
294.3923 	DATA 	Keypress: a
294.7923 	DATA 	Keypress: a
295.2148 	DATA 	End trial
297.0762 	DATA 	Keypress: lshift
297.0769 	DATA 	Keypress: t
300.0760 	DATA 	Keypress: lshift
300.0765 	DATA 	Keypress: t
303.0757 	DATA 	Keypress: lshift
303.0762 	DATA 	Keypress: t
306.0758 	DATA 	Keypress: lshift
306.0763 	DATA 	Keypress: t
309.0755 	DATA 	Keypress: lshift
309.0760 	DATA 	Keypress: t
312.0756 	DATA 	Keypress: lshift
312.0761 	DATA 	Keypress: t
315.0755 	DATA 	Keypress: lshift
315.0760 	DATA 	Keypress: t
318.0753 	DATA 	Keypress: lshift
318.0760 	DATA 	Keypress: t
321.0757 	DATA 	Keypress: lshift
321.0763 	DATA 	Keypress: t
321.2105 	DATA 	Begin trial
321.9254 	DATA 	Keypress: a
323.4424 	DATA 	Keypress: a
323.8421 	DATA 	Keypress: a
324.0750 	DATA 	Keypress: lshift
324.0757 	DATA 	Keypress: t
324.1424 	DATA 	Keypress: a
324.4594 	DATA 	Keypress: a
325.2094 	DATA 	Keypress: a
325.8091 	DATA 	Keypress: a
326.5091 	DATA 	Keypress: a
327.0753 	DATA 	Keypress: lshift
327.0759 	DATA 	Keypress: t
327.4924 	DATA 	Keypress: a
328.1086 	DATA 	Keypress: a
328.6258 	DATA 	Keypress: a
329.0251 	DATA 	Keypress: a
329.4442 	DATA 	Keypress: a
329.8259 	DATA 	Keypress: a
330.0753 	DATA 	Keypress: lshift
330.0760 	DATA 	Keypress: t
330.2425 	DATA 	Keypress: a
330.6420 	DATA 	Keypress: a
331.0754 	DATA 	Keypress: a
331.4427 	DATA 	Keypress: a
331.7440 	DATA 	Keypress: a
332.0084 	DATA 	Keypress: a
332.5589 	DATA 	Keypress: a
332.8423 	DATA 	Keypress: a
333.0758 	DATA 	Keypress: lshift
333.0763 	DATA 	Keypress: t
333.1917 	DATA 	Keypress: a
333.5585 	DATA 	Keypress: a
335.1756 	DATA 	Keypress: a
335.7756 	DATA 	Keypress: a
336.0754 	DATA 	Keypress: lshift
336.0761 	DATA 	Keypress: t
336.3752 	DATA 	Keypress: a
337.0918 	DATA 	Keypress: a
337.7582 	DATA 	Keypress: a
338.2511 	DATA 	End trial
339.0759 	DATA 	Keypress: lshift
339.0765 	DATA 	Keypress: t
342.0756 	DATA 	Keypress: lshift
342.0764 	DATA 	Keypress: t
345.0756 	DATA 	Keypress: lshift
345.0761 	DATA 	Keypress: t
348.0760 	DATA 	Keypress: lshift
348.0765 	DATA 	Keypress: t
351.0754 	DATA 	Keypress: lshift
351.0760 	DATA 	Keypress: t
351.2443 	DATA 	Begin trial
352.0920 	DATA 	Keypress: a
352.4752 	DATA 	Keypress: a
352.7587 	DATA 	Keypress: a
353.0593 	DATA 	Keypress: a
353.4418 	DATA 	Keypress: a
353.8757 	DATA 	Keypress: b
354.0758 	DATA 	Keypress: lshift
354.0763 	DATA 	Keypress: t
354.3424 	DATA 	Keypress: a
354.7088 	DATA 	Keypress: a
355.0106 	DATA 	Keypress: a
355.3586 	DATA 	Keypress: a
355.8591 	DATA 	Keypress: a
356.4092 	DATA 	Keypress: a
357.0422 	DATA 	Keypress: a
357.0756 	DATA 	Keypress: lshift
357.0761 	DATA 	Keypress: t
357.4771 	DATA 	Keypress: a
357.9757 	DATA 	Keypress: a
358.4257 	DATA 	Keypress: a
359.0089 	DATA 	Keypress: a
359.7090 	DATA 	Keypress: a
360.0755 	DATA 	Keypress: lshift
360.0761 	DATA 	Keypress: t
360.3924 	DATA 	Keypress: a
360.9272 	DATA 	Keypress: a
361.3595 	DATA 	Keypress: a
361.9251 	DATA 	Keypress: a
362.5420 	DATA 	Keypress: a
363.0757 	DATA 	Keypress: lshift
363.0764 	DATA 	Keypress: t
363.2089 	DATA 	Keypress: a
364.0085 	DATA 	Keypress: a
364.4920 	DATA 	Keypress: a
365.0091 	DATA 	Keypress: a
365.4589 	DATA 	Keypress: a
365.8925 	DATA 	Keypress: a
366.0752 	DATA 	Keypress: lshift
366.0760 	DATA 	Keypress: t
366.5258 	DATA 	Keypress: a
367.3757 	DATA 	Keypress: a
368.4771 	DATA 	Keypress: a
368.9756 	DATA 	Keypress: a
369.0753 	DATA 	Keypress: lshift
369.0758 	DATA 	Keypress: t
369.2832 	DATA 	End trial
372.0762 	DATA 	Keypress: lshift
372.0768 	DATA 	Keypress: t
375.0764 	DATA 	Keypress: lshift
375.0769 	DATA 	Keypress: t
378.0754 	DATA 	Keypress: lshift
378.0761 	DATA 	Keypress: t
381.0759 	DATA 	Keypress: lshift
381.0764 	DATA 	Keypress: t
381.2769 	DATA 	Begin trial
381.8259 	DATA 	Keypress: a
382.2091 	DATA 	Keypress: a
382.6255 	DATA 	Keypress: a
382.9088 	DATA 	Keypress: a
383.2108 	DATA 	Keypress: a
383.4930 	DATA 	Keypress: a
383.7922 	DATA 	Keypress: a
384.0758 	DATA 	Keypress: lshift
384.0764 	DATA 	Keypress: t
384.1586 	DATA 	Keypress: a
384.7091 	DATA 	Keypress: a
385.1759 	DATA 	Keypress: a
385.5422 	DATA 	Keypress: a
385.9755 	DATA 	Keypress: a
386.4418 	DATA 	Keypress: a
386.9424 	DATA 	Keypress: a
387.0752 	DATA 	Keypress: lshift
387.0757 	DATA 	Keypress: t
387.3424 	DATA 	Keypress: a
387.7257 	DATA 	Keypress: a
388.1111 	DATA 	Keypress: a
388.5418 	DATA 	Keypress: a
389.0420 	DATA 	Keypress: a
389.8420 	DATA 	Keypress: a
390.0755 	DATA 	Keypress: lshift
390.0760 	DATA 	Keypress: t
390.2420 	DATA 	Keypress: a
390.7263 	DATA 	Keypress: a
391.1750 	DATA 	Keypress: a
391.5781 	DATA 	Keypress: a
392.0251 	DATA 	Keypress: a
392.4089 	DATA 	Keypress: a
392.8611 	DATA 	Keypress: a
393.0757 	DATA 	Keypress: lshift
393.0764 	DATA 	Keypress: t
393.2921 	DATA 	Keypress: a
393.7253 	DATA 	Keypress: a
394.1755 	DATA 	Keypress: a
394.6267 	DATA 	Keypress: a
395.0594 	DATA 	Keypress: a
395.4764 	DATA 	Keypress: a
395.9421 	DATA 	Keypress: a
396.0764 	DATA 	Keypress: lshift
396.0770 	DATA 	Keypress: t
396.4922 	DATA 	Keypress: a
397.0258 	DATA 	Keypress: a
397.3178 	DATA 	End trial
397.4923 	DATA 	Keypress: a
399.0757 	DATA 	Keypress: lshift
399.0762 	DATA 	Keypress: t
402.0757 	DATA 	Keypress: lshift
402.0764 	DATA 	Keypress: t
405.0761 	DATA 	Keypress: lshift
405.0766 	DATA 	Keypress: t
408.0757 	DATA 	Keypress: lshift
408.0762 	DATA 	Keypress: t
411.0753 	DATA 	Keypress: lshift
411.0758 	DATA 	Keypress: t
411.3117 	DATA 	Begin trial
411.7589 	DATA 	Keypress: a
412.2921 	DATA 	Keypress: a
412.6423 	DATA 	Keypress: a
412.9925 	DATA 	Keypress: a
413.3092 	DATA 	Keypress: a
413.6424 	DATA 	Keypress: a
413.9751 	DATA 	Keypress: a
414.0755 	DATA 	Keypress: lshift
414.0762 	DATA 	Keypress: t
414.3089 	DATA 	Keypress: a
414.6422 	DATA 	Keypress: a
414.9423 	DATA 	Keypress: a
415.5257 	DATA 	Keypress: a
415.8591 	DATA 	Keypress: a
416.1925 	DATA 	Keypress: a
417.0586 	DATA 	Keypress: a
417.0758 	DATA 	Keypress: lshift
417.0765 	DATA 	Keypress: t
417.3496 	DATA 	End trial
417.3726 	DATA 	Keypress: a
420.0754 	DATA 	Keypress: lshift
420.0759 	DATA 	Keypress: t
423.0755 	DATA 	Keypress: lshift
423.0761 	DATA 	Keypress: t
426.0757 	DATA 	Keypress: lshift
426.0765 	DATA 	Keypress: t
429.0756 	DATA 	Keypress: lshift
429.0763 	DATA 	Keypress: t
432.0756 	DATA 	Keypress: lshift
432.0762 	DATA 	Keypress: t
435.0756 	DATA 	Keypress: lshift
435.0761 	DATA 	Keypress: t
438.0760 	DATA 	Keypress: lshift
438.0766 	DATA 	Keypress: t
441.0758 	DATA 	Keypress: lshift
441.0764 	DATA 	Keypress: t
441.3446 	DATA 	Begin trial
441.9250 	DATA 	Keypress: a
442.2760 	DATA 	Keypress: a
442.5588 	DATA 	Keypress: a
442.8420 	DATA 	Keypress: a
443.3921 	DATA 	Keypress: a
443.6922 	DATA 	Keypress: a
444.0086 	DATA 	Keypress: a
444.0755 	DATA 	Keypress: lshift
444.0761 	DATA 	Keypress: t
444.3421 	DATA 	Keypress: a
444.6921 	DATA 	Keypress: a
445.0103 	DATA 	Keypress: a
445.3420 	DATA 	Keypress: a
445.6589 	DATA 	Keypress: a
446.1256 	DATA 	Keypress: a
446.4759 	DATA 	Keypress: a
446.8758 	DATA 	Keypress: a
447.0757 	DATA 	Keypress: lshift
447.0763 	DATA 	Keypress: t
447.2753 	DATA 	Keypress: a
447.7420 	DATA 	Keypress: a
448.2086 	DATA 	Keypress: a
448.6090 	DATA 	Keypress: a
448.9589 	DATA 	Keypress: a
449.2758 	DATA 	Keypress: a
449.6090 	DATA 	Keypress: a
449.9256 	DATA 	Keypress: a
450.0762 	DATA 	Keypress: lshift
450.0767 	DATA 	Keypress: t
450.2252 	DATA 	Keypress: a
450.5418 	DATA 	Keypress: a
450.8755 	DATA 	Keypress: a
451.2257 	DATA 	Keypress: a
451.5922 	DATA 	Keypress: a
451.9922 	DATA 	Keypress: a
452.3597 	DATA 	Keypress: a
452.7418 	DATA 	Keypress: a
453.0761 	DATA 	Keypress: lshift
453.0766 	DATA 	Keypress: t
453.0924 	DATA 	Keypress: a
453.4433 	DATA 	Keypress: a
453.8091 	DATA 	Keypress: a
454.1932 	DATA 	Keypress: a
454.6440 	DATA 	Keypress: a
455.3088 	DATA 	Keypress: a
455.8588 	DATA 	Keypress: a
456.0757 	DATA 	Keypress: lshift
456.0763 	DATA 	Keypress: t
456.3839 	DATA 	End trial
459.0758 	DATA 	Keypress: lshift
459.0763 	DATA 	Keypress: t
462.0762 	DATA 	Keypress: lshift
462.0767 	DATA 	Keypress: t
465.0758 	DATA 	Keypress: lshift
465.0764 	DATA 	Keypress: t
468.0756 	DATA 	Keypress: lshift
468.0761 	DATA 	Keypress: t
471.0757 	DATA 	Keypress: lshift
