1.4724 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
9.8180 	DATA 	version C
53.0552 	DATA 	Mouse: Left button down, pos=(85,123)
53.1338 	DATA 	Mouse:  Left button up, pos=(85,123)
64.5217 	DATA 	Keypress: space
64.5381 	DATA 	waiting for trigger
74.5717 	DATA 	Keypress: lshift
74.5723 	DATA 	Keypress: t
74.5734 	DATA 	TRIGGERED
74.6123 	DATA 	Begin trial
77.5716 	DATA 	Keypress: lshift
77.5721 	DATA 	Keypress: t
80.5716 	DATA 	Keypress: lshift
80.5722 	DATA 	Keypress: t
81.9550 	DATA 	Keypress: b
83.5717 	DATA 	Keypress: lshift
83.5722 	DATA 	Keypress: t
85.7219 	DATA 	Keypress: b
86.3217 	DATA 	Keypress: b
86.5716 	DATA 	Keypress: lshift
86.5721 	DATA 	Keypress: t
89.2400 	DATA 	Keypress: b
89.5718 	DATA 	Keypress: lshift
89.5723 	DATA 	Keypress: t
92.5719 	DATA 	Keypress: lshift
92.5724 	DATA 	Keypress: t
92.6475 	DATA 	End trial
92.8720 	DATA 	Keypress: b
95.5716 	DATA 	Keypress: lshift
95.5722 	DATA 	Keypress: t
98.5719 	DATA 	Keypress: lshift
98.5725 	DATA 	Keypress: t
101.5717 	DATA 	Keypress: lshift
101.5722 	DATA 	Keypress: t
104.5719 	DATA 	Keypress: lshift
104.5724 	DATA 	Keypress: t
104.6402 	DATA 	Begin trial
107.5715 	DATA 	Keypress: lshift
107.5721 	DATA 	Keypress: t
109.9216 	DATA 	Keypress: b
110.5716 	DATA 	Keypress: lshift
110.5721 	DATA 	Keypress: t
112.0050 	DATA 	Keypress: b
113.5716 	DATA 	Keypress: lshift
113.5721 	DATA 	Keypress: t
116.5716 	DATA 	Keypress: lshift
116.5721 	DATA 	Keypress: t
116.6731 	DATA 	End trial
119.5717 	DATA 	Keypress: lshift
119.5722 	DATA 	Keypress: t
122.5717 	DATA 	Keypress: lshift
122.5722 	DATA 	Keypress: t
125.5717 	DATA 	Keypress: lshift
125.5722 	DATA 	Keypress: t
128.5697 	DATA 	Keypress: lshift
128.5700 	DATA 	Keypress: t
131.5716 	DATA 	Keypress: lshift
131.5721 	DATA 	Keypress: t
134.5717 	DATA 	Keypress: lshift
134.5722 	DATA 	Keypress: t
134.6734 	DATA 	Begin trial
137.1384 	DATA 	Keypress: b
137.5716 	DATA 	Keypress: lshift
137.5721 	DATA 	Keypress: t
139.6549 	DATA 	Keypress: b
140.5718 	DATA 	Keypress: lshift
140.5723 	DATA 	Keypress: t
140.7093 	DATA 	End trial
143.5716 	DATA 	Keypress: lshift
143.5722 	DATA 	Keypress: t
146.5716 	DATA 	Keypress: lshift
146.5721 	DATA 	Keypress: t
149.5714 	DATA 	Keypress: lshift
149.5723 	DATA 	Keypress: t
152.5716 	DATA 	Keypress: lshift
152.5721 	DATA 	Keypress: t
155.5716 	DATA 	Keypress: lshift
155.5721 	DATA 	Keypress: t
158.5716 	DATA 	Keypress: lshift
158.5721 	DATA 	Keypress: t
161.5717 	DATA 	Keypress: lshift
161.5722 	DATA 	Keypress: t
164.5715 	DATA 	Keypress: lshift
164.5720 	DATA 	Keypress: t
164.7069 	DATA 	Begin trial
165.1519 	DATA 	Keypress: b
165.6851 	DATA 	Keypress: b
166.0854 	DATA 	Keypress: b
166.4850 	DATA 	Keypress: b
166.8518 	DATA 	Keypress: b
167.3215 	DATA 	Keypress: b
167.5715 	DATA 	Keypress: lshift
167.5720 	DATA 	Keypress: t
168.1049 	DATA 	Keypress: b
168.4569 	DATA 	Keypress: b
168.8216 	DATA 	Keypress: b
169.1716 	DATA 	Keypress: b
169.6048 	DATA 	Keypress: b
170.0882 	DATA 	Keypress: b
170.5714 	DATA 	Keypress: lshift
170.5720 	DATA 	Keypress: t
170.7051 	DATA 	Keypress: b
171.1232 	DATA 	Keypress: b
171.5217 	DATA 	Keypress: b
171.9048 	DATA 	Keypress: b
172.3400 	DATA 	Keypress: b
173.5716 	DATA 	Keypress: lshift
173.5721 	DATA 	Keypress: t
173.8717 	DATA 	Keypress: b
174.3216 	DATA 	Keypress: b
175.0385 	DATA 	Keypress: b
175.7717 	DATA 	Keypress: b
176.5714 	DATA 	Keypress: lshift
176.5720 	DATA 	Keypress: t
176.6715 	DATA 	Keypress: b
177.3715 	DATA 	Keypress: b
177.7455 	DATA 	End trial
177.8864 	DATA 	Keypress: b
179.5716 	DATA 	Keypress: lshift
179.5721 	DATA 	Keypress: t
182.5715 	DATA 	Keypress: lshift
182.5720 	DATA 	Keypress: t
185.5716 	DATA 	Keypress: lshift
185.5721 	DATA 	Keypress: t
188.5718 	DATA 	Keypress: lshift
188.5723 	DATA 	Keypress: t
191.5716 	DATA 	Keypress: lshift
191.5721 	DATA 	Keypress: t
194.5716 	DATA 	Keypress: lshift
194.5721 	DATA 	Keypress: t
194.7399 	DATA 	Begin trial
195.1051 	DATA 	Keypress: b
196.1216 	DATA 	Keypress: b
196.4381 	DATA 	Keypress: b
196.8215 	DATA 	Keypress: b
197.3047 	DATA 	Keypress: b
197.5716 	DATA 	Keypress: lshift
197.5721 	DATA 	Keypress: t
197.7882 	DATA 	Keypress: b
198.2382 	DATA 	Keypress: b
198.6385 	DATA 	Keypress: b
199.3382 	DATA 	Keypress: b
199.7568 	DATA 	Keypress: b
200.1382 	DATA 	Keypress: b
200.5048 	DATA 	Keypress: b
200.5718 	DATA 	Keypress: lshift
200.5723 	DATA 	Keypress: t
200.9551 	DATA 	Keypress: b
201.3548 	DATA 	Keypress: b
201.7383 	DATA 	Keypress: b
202.1549 	DATA 	Keypress: b
202.7048 	DATA 	Keypress: b
203.2550 	DATA 	Keypress: b
203.5719 	DATA 	Keypress: lshift
203.5724 	DATA 	Keypress: t
203.8549 	DATA 	Keypress: b
204.3881 	DATA 	Keypress: b
204.7779 	DATA 	End trial
204.9529 	DATA 	Keypress: b
206.5704 	DATA 	Keypress: lshift
206.5707 	DATA 	Keypress: t
208.5194 	DATA 	Keypress: b
209.5716 	DATA 	Keypress: lshift
209.5721 	DATA 	Keypress: t
212.5717 	DATA 	Keypress: lshift
212.5722 	DATA 	Keypress: t
215.5716 	DATA 	Keypress: lshift
215.5721 	DATA 	Keypress: t
218.5715 	DATA 	Keypress: lshift
218.5721 	DATA 	Keypress: t
221.5715 	DATA 	Keypress: lshift
221.5721 	DATA 	Keypress: t
224.5715 	DATA 	Keypress: lshift
224.5720 	DATA 	Keypress: t
224.7733 	DATA 	Begin trial
225.3214 	DATA 	Keypress: b
225.7716 	DATA 	Keypress: b
226.1548 	DATA 	Keypress: b
226.5713 	DATA 	Keypress: b
226.9716 	DATA 	Keypress: b
227.3382 	DATA 	Keypress: b
227.5714 	DATA 	Keypress: lshift
227.5719 	DATA 	Keypress: t
227.7881 	DATA 	Keypress: b
228.1714 	DATA 	Keypress: b
228.6383 	DATA 	Keypress: b
229.0381 	DATA 	Keypress: b
229.3551 	DATA 	Keypress: b
229.7217 	DATA 	Keypress: b
230.0883 	DATA 	Keypress: b
230.4385 	DATA 	Keypress: b
230.5715 	DATA 	Keypress: lshift
230.5720 	DATA 	Keypress: t
230.7549 	DATA 	Keypress: b
231.1548 	DATA 	Keypress: b
231.5548 	DATA 	Keypress: b
231.9882 	DATA 	Keypress: b
232.4048 	DATA 	Keypress: b
232.8714 	DATA 	Keypress: b
233.3048 	DATA 	Keypress: b
233.5715 	DATA 	Keypress: lshift
233.5721 	DATA 	Keypress: t
233.7715 	DATA 	Keypress: b
234.2214 	DATA 	Keypress: b
234.8082 	DATA 	End trial
234.8851 	DATA 	Keypress: b
236.5715 	DATA 	Keypress: lshift
236.5720 	DATA 	Keypress: t
239.5717 	DATA 	Keypress: lshift
239.5722 	DATA 	Keypress: t
242.5714 	DATA 	Keypress: lshift
242.5720 	DATA 	Keypress: t
245.5715 	DATA 	Keypress: lshift
245.5720 	DATA 	Keypress: t
248.5716 	DATA 	Keypress: lshift
248.5721 	DATA 	Keypress: t
251.5714 	DATA 	Keypress: lshift
251.5720 	DATA 	Keypress: t
254.5715 	DATA 	Keypress: lshift
254.5720 	DATA 	Keypress: t
254.8013 	DATA 	Begin trial
255.8887 	DATA 	Keypress: b
256.4213 	DATA 	Keypress: b
256.8882 	DATA 	Keypress: b
257.2714 	DATA 	Keypress: b
257.5713 	DATA 	Keypress: lshift
257.5718 	DATA 	Keypress: t
257.7385 	DATA 	Keypress: b
258.2380 	DATA 	Keypress: b
258.5550 	DATA 	Keypress: b
258.9214 	DATA 	Keypress: b
259.3215 	DATA 	Keypress: b
259.8384 	DATA 	Keypress: b
260.3548 	DATA 	Keypress: b
260.5715 	DATA 	Keypress: lshift
260.5720 	DATA 	Keypress: t
260.7887 	DATA 	Keypress: b
261.2047 	DATA 	Keypress: b
261.6048 	DATA 	Keypress: b
262.0386 	DATA 	Keypress: b
262.4047 	DATA 	Keypress: b
262.8265 	DATA 	End trial
262.8270 	DATA 	Keypress: b
263.5714 	DATA 	Keypress: lshift
263.5719 	DATA 	Keypress: t
266.5714 	DATA 	Keypress: lshift
266.5719 	DATA 	Keypress: t
269.5714 	DATA 	Keypress: lshift
269.5719 	DATA 	Keypress: t
272.5713 	DATA 	Keypress: lshift
272.5719 	DATA 	Keypress: t
275.5714 	DATA 	Keypress: lshift
275.5719 	DATA 	Keypress: t
278.5715 	DATA 	Keypress: lshift
278.5720 	DATA 	Keypress: t
281.5714 	DATA 	Keypress: lshift
281.5719 	DATA 	Keypress: t
284.5714 	DATA 	Keypress: lshift
284.5720 	DATA 	Keypress: t
284.8232 	DATA 	Begin trial
285.8551 	DATA 	Keypress: b
286.2547 	DATA 	Keypress: b
286.6047 	DATA 	Keypress: b
286.9714 	DATA 	Keypress: b
287.5714 	DATA 	Keypress: lshift
287.5719 	DATA 	Keypress: t
287.7047 	DATA 	Keypress: b
288.1882 	DATA 	Keypress: b
288.6881 	DATA 	Keypress: b
289.0879 	DATA 	Keypress: b
289.4713 	DATA 	Keypress: b
289.8881 	DATA 	Keypress: b
290.2380 	DATA 	Keypress: b
290.5714 	DATA 	Keypress: lshift
290.5720 	DATA 	Keypress: t
290.6384 	DATA 	Keypress: b
291.0379 	DATA 	Keypress: b
291.4381 	DATA 	Keypress: b
292.2214 	DATA 	Keypress: b
292.6213 	DATA 	Keypress: b
293.0546 	DATA 	Keypress: b
293.4735 	DATA 	Keypress: b
293.5715 	DATA 	Keypress: lshift
293.5720 	DATA 	Keypress: t
293.8882 	DATA 	Keypress: b
294.1881 	DATA 	Keypress: b
294.5714 	DATA 	Keypress: b
294.9380 	DATA 	Keypress: b
295.3381 	DATA 	Keypress: b
295.7546 	DATA 	Keypress: b
296.1712 	DATA 	Keypress: b
296.5716 	DATA 	Keypress: lshift
296.5721 	DATA 	Keypress: t
296.5758 	DATA 	Keypress: b
297.0047 	DATA 	Keypress: b
297.3880 	DATA 	Keypress: b
297.7546 	DATA 	Keypress: b
298.1548 	DATA 	Keypress: b
298.5381 	DATA 	Keypress: b
298.9234 	DATA 	Keypress: b
299.2878 	DATA 	Keypress: b
299.5715 	DATA 	Keypress: lshift
299.5720 	DATA 	Keypress: t
299.5879 	DATA 	Keypress: b
299.8599 	DATA 	End trial
299.9850 	DATA 	Keypress: b
302.5715 	DATA 	Keypress: lshift
302.5720 	DATA 	Keypress: t
305.5714 	DATA 	Keypress: lshift
305.5719 	DATA 	Keypress: t
308.5715 	DATA 	Keypress: lshift
308.5720 	DATA 	Keypress: t
311.5714 	DATA 	Keypress: lshift
311.5719 	DATA 	Keypress: t
314.5715 	DATA 	Keypress: lshift
314.5721 	DATA 	Keypress: t
314.8578 	DATA 	Begin trial
315.5213 	DATA 	Keypress: b
315.9547 	DATA 	Keypress: b
316.3049 	DATA 	Keypress: b
316.6549 	DATA 	Keypress: b
317.0382 	DATA 	Keypress: b
317.3548 	DATA 	Keypress: b
317.5714 	DATA 	Keypress: lshift
317.5719 	DATA 	Keypress: t
317.7214 	DATA 	Keypress: b
318.0882 	DATA 	Keypress: b
318.4213 	DATA 	Keypress: b
318.7713 	DATA 	Keypress: b
319.1546 	DATA 	Keypress: b
319.5381 	DATA 	Keypress: b
319.9379 	DATA 	Keypress: b
320.3067 	DATA 	Keypress: b
320.5713 	DATA 	Keypress: lshift
320.5718 	DATA 	Keypress: t
320.6883 	DATA 	Keypress: b
321.0214 	DATA 	Keypress: b
321.3879 	DATA 	Keypress: b
321.7213 	DATA 	Keypress: b
322.0547 	DATA 	Keypress: b
322.7214 	DATA 	Keypress: b
323.1046 	DATA 	Keypress: b
323.4712 	DATA 	Keypress: b
323.5714 	DATA 	Keypress: lshift
323.5719 	DATA 	Keypress: t
323.8565 	DATA 	Keypress: b
324.2402 	DATA 	Keypress: b
324.6215 	DATA 	Keypress: b
324.9713 	DATA 	Keypress: b
325.3213 	DATA 	Keypress: b
325.6856 	DATA 	Keypress: b
326.0690 	DATA 	Keypress: b
326.4711 	DATA 	Keypress: b
326.5715 	DATA 	Keypress: lshift
326.5720 	DATA 	Keypress: t
326.8046 	DATA 	Keypress: b
326.8921 	DATA 	End trial
329.5713 	DATA 	Keypress: lshift
329.5719 	DATA 	Keypress: t
332.5714 	DATA 	Keypress: lshift
332.5719 	DATA 	Keypress: t
335.5713 	DATA 	Keypress: lshift
335.5718 	DATA 	Keypress: t
338.5713 	DATA 	Keypress: lshift
338.5718 	DATA 	Keypress: t
341.5713 	DATA 	Keypress: lshift
341.5718 	DATA 	Keypress: t
344.5713 	DATA 	Keypress: lshift
344.5718 	DATA 	Keypress: t
344.8918 	DATA 	Begin trial
345.5379 	DATA 	Keypress: b
345.8545 	DATA 	Keypress: b
346.1549 	DATA 	Keypress: b
