1.7464 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
11.7120 	DATA 	version C
16.4803 	DATA 	Keypress: a
47.7462 	DATA 	Mouse: Left button down, pos=(87,124)
47.8289 	DATA 	Mouse:  Left button up, pos=(87,124)
50.3627 	DATA 	Keypress: space
50.3631 	DATA 	waiting for trigger
66.2304 	DATA 	Keypress: lshift
66.2310 	DATA 	Keypress: t
66.2322 	DATA 	TRIGGERED
66.2684 	DATA 	Begin trial
67.0636 	DATA 	Keypress: b
67.4467 	DATA 	Keypress: b
67.6627 	DATA 	Keypress: b
67.8966 	DATA 	Keypress: b
68.0962 	DATA 	Keypress: b
68.3132 	DATA 	Keypress: b
68.5460 	DATA 	Keypress: b
68.7640 	DATA 	Keypress: b
68.9649 	DATA 	Keypress: b
69.1629 	DATA 	Keypress: b
69.2299 	DATA 	Keypress: lshift
69.2304 	DATA 	Keypress: t
69.3627 	DATA 	Keypress: b
69.5629 	DATA 	Keypress: b
69.8127 	DATA 	Keypress: b
70.0297 	DATA 	Keypress: b
70.2639 	DATA 	Keypress: b
70.4635 	DATA 	Keypress: b
70.6795 	DATA 	Keypress: b
70.9135 	DATA 	Keypress: b
71.1967 	DATA 	Keypress: b
71.4133 	DATA 	Keypress: b
71.6638 	DATA 	Keypress: b
71.9137 	DATA 	Keypress: b
72.1129 	DATA 	Keypress: b
72.2297 	DATA 	Keypress: lshift
72.2302 	DATA 	Keypress: t
72.3462 	DATA 	Keypress: b
72.5798 	DATA 	Keypress: b
72.7796 	DATA 	Keypress: b
73.0128 	DATA 	Keypress: b
73.2464 	DATA 	Keypress: b
73.4801 	DATA 	Keypress: b
73.6803 	DATA 	Keypress: b
73.9133 	DATA 	Keypress: b
74.1463 	DATA 	Keypress: b
74.3632 	DATA 	Keypress: b
74.5966 	DATA 	Keypress: b
74.8294 	DATA 	Keypress: b
75.0460 	DATA 	Keypress: b
75.2293 	DATA 	Keypress: lshift
75.2299 	DATA 	Keypress: t
75.2628 	DATA 	Keypress: b
75.4793 	DATA 	Keypress: b
75.7130 	DATA 	Keypress: b
75.9319 	DATA 	Keypress: b
76.1630 	DATA 	Keypress: b
76.3817 	DATA 	Keypress: b
76.6299 	DATA 	Keypress: b
76.8794 	DATA 	Keypress: b
77.1133 	DATA 	Keypress: b
77.3973 	DATA 	Keypress: b
77.6301 	DATA 	Keypress: b
77.8473 	DATA 	Keypress: b
78.0632 	DATA 	Keypress: b
78.2294 	DATA 	Keypress: lshift
78.2299 	DATA 	Keypress: t
78.2968 	DATA 	Keypress: b
78.5461 	DATA 	Keypress: b
78.7800 	DATA 	Keypress: b
79.0468 	DATA 	Keypress: b
79.2799 	DATA 	Keypress: b
79.4967 	DATA 	Keypress: b
79.7464 	DATA 	Keypress: b
79.9804 	DATA 	Keypress: b
80.2131 	DATA 	Keypress: b
80.4467 	DATA 	Keypress: b
80.6795 	DATA 	Keypress: b
80.9305 	DATA 	Keypress: b
81.1312 	DATA 	Keypress: b
81.2302 	DATA 	Keypress: lshift
81.2307 	DATA 	Keypress: t
81.3635 	DATA 	Keypress: b
81.6137 	DATA 	Keypress: b
81.8469 	DATA 	Keypress: b
82.0811 	DATA 	Keypress: b
82.3127 	DATA 	Keypress: b
82.5468 	DATA 	Keypress: b
82.7968 	DATA 	Keypress: b
83.0633 	DATA 	Keypress: b
83.2971 	DATA 	Keypress: b
83.5302 	DATA 	Keypress: b
83.7465 	DATA 	Keypress: b
83.9640 	DATA 	Keypress: b
84.1962 	DATA 	Keypress: b
84.2293 	DATA 	Keypress: lshift
84.2299 	DATA 	Keypress: t
84.3172 	DATA 	End trial
84.3961 	DATA 	Keypress: b
84.6127 	DATA 	Keypress: b
87.2295 	DATA 	Keypress: lshift
87.2301 	DATA 	Keypress: t
90.2295 	DATA 	Keypress: lshift
90.2301 	DATA 	Keypress: t
93.2298 	DATA 	Keypress: lshift
93.2303 	DATA 	Keypress: t
96.2295 	DATA 	Keypress: lshift
96.2301 	DATA 	Keypress: t
96.2984 	DATA 	Begin trial
96.8802 	DATA 	Keypress: b
97.1463 	DATA 	Keypress: b
97.3797 	DATA 	Keypress: b
97.5978 	DATA 	Keypress: b
97.8471 	DATA 	Keypress: b
98.0634 	DATA 	Keypress: b
98.2967 	DATA 	Keypress: b
98.5295 	DATA 	Keypress: b
98.7464 	DATA 	Keypress: b
98.9460 	DATA 	Keypress: b
99.1961 	DATA 	Keypress: b
99.2296 	DATA 	Keypress: lshift
99.2302 	DATA 	Keypress: t
99.4136 	DATA 	Keypress: b
99.6295 	DATA 	Keypress: b
99.8626 	DATA 	Keypress: b
100.0802 	DATA 	Keypress: b
100.3132 	DATA 	Keypress: b
100.5301 	DATA 	Keypress: b
100.7636 	DATA 	Keypress: b
100.9971 	DATA 	Keypress: b
101.2472 	DATA 	Keypress: b
101.4969 	DATA 	Keypress: b
101.7302 	DATA 	Keypress: b
101.9798 	DATA 	Keypress: b
102.2130 	DATA 	Keypress: b
102.2299 	DATA 	Keypress: lshift
102.2304 	DATA 	Keypress: t
102.4295 	DATA 	Keypress: b
102.6792 	DATA 	Keypress: b
102.8970 	DATA 	Keypress: b
103.1132 	DATA 	Keypress: b
103.3316 	DATA 	Keypress: b
103.5960 	DATA 	Keypress: b
103.8136 	DATA 	Keypress: b
104.0470 	DATA 	Keypress: b
104.2802 	DATA 	Keypress: b
104.5131 	DATA 	Keypress: b
104.7631 	DATA 	Keypress: b
104.9969 	DATA 	Keypress: b
105.2306 	DATA 	Keypress: lshift
105.2312 	DATA 	Keypress: t
105.2326 	DATA 	Keypress: b
105.4802 	DATA 	Keypress: b
105.7298 	DATA 	Keypress: b
105.9467 	DATA 	Keypress: b
106.1963 	DATA 	Keypress: b
106.4469 	DATA 	Keypress: b
106.6797 	DATA 	Keypress: b
106.9300 	DATA 	Keypress: b
107.1964 	DATA 	Keypress: b
107.4297 	DATA 	Keypress: b
107.6801 	DATA 	Keypress: b
107.9137 	DATA 	Keypress: b
108.0976 	DATA 	Keypress: b
108.2296 	DATA 	Keypress: lshift
108.2302 	DATA 	Keypress: t
108.3131 	DATA 	Keypress: b
108.5148 	DATA 	Keypress: b
108.6984 	DATA 	Keypress: b
108.8963 	DATA 	Keypress: b
109.0972 	DATA 	Keypress: b
109.2981 	DATA 	Keypress: b
109.3352 	DATA 	End trial
109.5133 	DATA 	Keypress: b
111.2300 	DATA 	Keypress: lshift
111.2305 	DATA 	Keypress: t
114.2301 	DATA 	Keypress: lshift
114.2307 	DATA 	Keypress: t
117.2299 	DATA 	Keypress: lshift
117.2304 	DATA 	Keypress: t
120.2302 	DATA 	Keypress: lshift
120.2308 	DATA 	Keypress: t
123.2304 	DATA 	Keypress: lshift
123.2309 	DATA 	Keypress: t
126.2297 	DATA 	Keypress: lshift
126.2303 	DATA 	Keypress: t
126.3322 	DATA 	Begin trial
126.7966 	DATA 	Keypress: b
127.0461 	DATA 	Keypress: b
127.2464 	DATA 	Keypress: b
127.4296 	DATA 	Keypress: b
127.6136 	DATA 	Keypress: b
127.7965 	DATA 	Keypress: b
127.9627 	DATA 	Keypress: b
128.1467 	DATA 	Keypress: b
128.3469 	DATA 	Keypress: b
128.5635 	DATA 	Keypress: b
128.7802 	DATA 	Keypress: b
128.9967 	DATA 	Keypress: b
129.1798 	DATA 	Keypress: b
129.2306 	DATA 	Keypress: lshift
129.2311 	DATA 	Keypress: t
129.3655 	DATA 	Keypress: b
129.5796 	DATA 	Keypress: b
129.7630 	DATA 	Keypress: b
129.9633 	DATA 	Keypress: b
130.1467 	DATA 	Keypress: b
130.3134 	DATA 	Keypress: b
130.3684 	DATA 	End trial
130.4966 	DATA 	Keypress: b
132.2296 	DATA 	Keypress: lshift
132.2301 	DATA 	Keypress: t
135.2304 	DATA 	Keypress: lshift
135.2310 	DATA 	Keypress: t
138.2304 	DATA 	Keypress: lshift
138.2309 	DATA 	Keypress: t
141.2306 	DATA 	Keypress: lshift
141.2312 	DATA 	Keypress: t
144.2298 	DATA 	Keypress: lshift
144.2304 	DATA 	Keypress: t
147.2309 	DATA 	Keypress: lshift
147.2314 	DATA 	Keypress: t
150.2298 	DATA 	Keypress: lshift
150.2304 	DATA 	Keypress: t
153.2302 	DATA 	Keypress: lshift
153.2308 	DATA 	Keypress: t
156.2301 	DATA 	Keypress: lshift
156.2307 	DATA 	Keypress: t
156.3658 	DATA 	Begin trial
156.7134 	DATA 	Keypress: b
156.9463 	DATA 	Keypress: b
157.1296 	DATA 	Keypress: b
157.2965 	DATA 	Keypress: b
157.4795 	DATA 	Keypress: b
157.6463 	DATA 	Keypress: b
157.8638 	DATA 	Keypress: b
158.0634 	DATA 	Keypress: b
158.2797 	DATA 	Keypress: b
158.4638 	DATA 	Keypress: b
158.5792 	DATA 	Keypress: b
158.7968 	DATA 	Keypress: b
159.0128 	DATA 	Keypress: b
159.2132 	DATA 	Keypress: b
159.2300 	DATA 	Keypress: lshift
159.2306 	DATA 	Keypress: t
159.4136 	DATA 	Keypress: b
159.5629 	DATA 	Keypress: b
159.7467 	DATA 	Keypress: b
159.9304 	DATA 	Keypress: b
160.0807 	DATA 	Keypress: b
160.2631 	DATA 	Keypress: b
160.4465 	DATA 	Keypress: b
160.6300 	DATA 	Keypress: b
160.8132 	DATA 	Keypress: b
160.9964 	DATA 	Keypress: b
161.1961 	DATA 	Keypress: b
161.3473 	DATA 	Keypress: b
161.4987 	DATA 	Keypress: b
161.6802 	DATA 	Keypress: b
161.8635 	DATA 	Keypress: b
162.0472 	DATA 	Keypress: b
162.2299 	DATA 	Keypress: lshift
162.2304 	DATA 	Keypress: t
162.2462 	DATA 	Keypress: b
162.4796 	DATA 	Keypress: b
162.6800 	DATA 	Keypress: b
162.8965 	DATA 	Keypress: b
163.0802 	DATA 	Keypress: b
163.2637 	DATA 	Keypress: b
163.4627 	DATA 	Keypress: b
163.6805 	DATA 	Keypress: b
163.8635 	DATA 	Keypress: b
164.0472 	DATA 	Keypress: b
164.3635 	DATA 	Keypress: b
164.5150 	DATA 	Keypress: b
164.7136 	DATA 	Keypress: b
164.9136 	DATA 	Keypress: b
165.0966 	DATA 	Keypress: b
165.2301 	DATA 	Keypress: lshift
165.2307 	DATA 	Keypress: t
165.2978 	DATA 	Keypress: b
165.4031 	DATA 	End trial
165.4808 	DATA 	Keypress: b
165.6636 	DATA 	Keypress: b
168.2303 	DATA 	Keypress: lshift
168.2308 	DATA 	Keypress: t
171.2296 	DATA 	Keypress: lshift
171.2302 	DATA 	Keypress: t
174.2295 	DATA 	Keypress: lshift
174.2301 	DATA 	Keypress: t
177.2295 	DATA 	Keypress: lshift
177.2300 	DATA 	Keypress: t
180.2303 	DATA 	Keypress: lshift
180.2308 	DATA 	Keypress: t
181.8473 	DATA 	Keypress: b
183.2295 	DATA 	Keypress: lshift
183.2301 	DATA 	Keypress: t
186.2303 	DATA 	Keypress: lshift
186.2309 	DATA 	Keypress: t
186.3998 	DATA 	Begin trial
186.8988 	DATA 	Keypress: b
187.1463 	DATA 	Keypress: b
187.3469 	DATA 	Keypress: b
187.5630 	DATA 	Keypress: b
187.7641 	DATA 	Keypress: b
187.9464 	DATA 	Keypress: b
188.1296 	DATA 	Keypress: b
188.3304 	DATA 	Keypress: b
188.5296 	DATA 	Keypress: b
188.7135 	DATA 	Keypress: b
188.9151 	DATA 	Keypress: b
189.1139 	DATA 	Keypress: b
189.2303 	DATA 	Keypress: lshift
189.2308 	DATA 	Keypress: t
189.2988 	DATA 	Keypress: b
189.5308 	DATA 	Keypress: b
189.7466 	DATA 	Keypress: b
189.9464 	DATA 	Keypress: b
190.1305 	DATA 	Keypress: b
190.3296 	DATA 	Keypress: b
190.5471 	DATA 	Keypress: b
190.7473 	DATA 	Keypress: b
190.9630 	DATA 	Keypress: b
191.1798 	DATA 	Keypress: b
191.4145 	DATA 	Keypress: b
191.6299 	DATA 	Keypress: b
191.8300 	DATA 	Keypress: b
192.0303 	DATA 	Keypress: b
192.2306 	DATA 	Keypress: lshift
192.2311 	DATA 	Keypress: t
192.2336 	DATA 	Keypress: b
192.4470 	DATA 	Keypress: b
192.6469 	DATA 	Keypress: b
192.8472 	DATA 	Keypress: b
193.0640 	DATA 	Keypress: b
193.2636 	DATA 	Keypress: b
193.4804 	DATA 	Keypress: b
193.6806 	DATA 	Keypress: b
193.9137 	DATA 	Keypress: b
194.1324 	DATA 	Keypress: b
194.3636 	DATA 	Keypress: b
194.5796 	DATA 	Keypress: b
194.7963 	DATA 	Keypress: b
195.0137 	DATA 	Keypress: b
195.2157 	DATA 	Keypress: b
195.2301 	DATA 	Keypress: lshift
195.2307 	DATA 	Keypress: t
195.4296 	DATA 	Keypress: b
195.6300 	DATA 	Keypress: b
195.8631 	DATA 	Keypress: b
196.0796 	DATA 	Keypress: b
196.2819 	DATA 	Keypress: b
196.5128 	DATA 	Keypress: b
196.7301 	DATA 	Keypress: b
196.9299 	DATA 	Keypress: b
197.1296 	DATA 	Keypress: b
197.3473 	DATA 	Keypress: b
197.5628 	DATA 	Keypress: b
197.7631 	DATA 	Keypress: b
197.9798 	DATA 	Keypress: b
198.1800 	DATA 	Keypress: b
198.2303 	DATA 	Keypress: lshift
198.2309 	DATA 	Keypress: t
198.3966 	DATA 	Keypress: b
198.6127 	DATA 	Keypress: b
198.8298 	DATA 	Keypress: b
199.0296 	DATA 	Keypress: b
199.2487 	DATA 	Keypress: b
199.4810 	DATA 	Keypress: b
199.7470 	DATA 	Keypress: b
199.9806 	DATA 	Keypress: b
200.1462 	DATA 	Keypress: b
200.3136 	DATA 	Keypress: b
200.4967 	DATA 	Keypress: b
200.6797 	DATA 	Keypress: b
200.8637 	DATA 	Keypress: b
