1.4882 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
9.7386 	DATA 	version C
36.2147 	DATA 	Mouse: Left button down, pos=(218,43)
36.2963 	DATA 	Mouse:  Left button up, pos=(218,43)
38.0315 	DATA 	Keypress: space
38.0320 	DATA 	waiting for trigger
76.0483 	DATA 	Keypress: lshift
76.0488 	DATA 	Keypress: t
76.0500 	DATA 	TRIGGERED
76.0962 	DATA 	Begin trial
78.1980 	DATA 	Keypress: b
78.8818 	DATA 	Keypress: b
79.0480 	DATA 	Keypress: lshift
79.0485 	DATA 	Keypress: t
79.2648 	DATA 	Keypress: b
79.5980 	DATA 	Keypress: b
79.9148 	DATA 	Keypress: b
80.1980 	DATA 	Keypress: b
80.5147 	DATA 	Keypress: b
80.7814 	DATA 	Keypress: b
81.0479 	DATA 	Keypress: b
81.3315 	DATA 	Keypress: b
81.6146 	DATA 	Keypress: b
81.8814 	DATA 	Keypress: b
82.0480 	DATA 	Keypress: lshift
82.0485 	DATA 	Keypress: t
82.0981 	DATA 	Keypress: b
82.4168 	DATA 	Keypress: b
82.8981 	DATA 	Keypress: b
83.1313 	DATA 	Keypress: b
83.3313 	DATA 	Keypress: b
83.5157 	DATA 	Keypress: b
83.6979 	DATA 	Keypress: b
83.8814 	DATA 	Keypress: b
84.0647 	DATA 	Keypress: b
84.2647 	DATA 	Keypress: b
84.4645 	DATA 	Keypress: b
84.6647 	DATA 	Keypress: b
84.8311 	DATA 	Keypress: b
85.0482 	DATA 	Keypress: b
85.0492 	DATA 	Keypress: lshift
85.0497 	DATA 	Keypress: t
85.2646 	DATA 	Keypress: b
85.4815 	DATA 	Keypress: b
85.6982 	DATA 	Keypress: b
85.9312 	DATA 	Keypress: b
86.1481 	DATA 	Keypress: b
86.4151 	DATA 	Keypress: b
86.8147 	DATA 	Keypress: b
87.0147 	DATA 	Keypress: b
87.2147 	DATA 	Keypress: b
87.4147 	DATA 	Keypress: b
87.6148 	DATA 	Keypress: b
87.8147 	DATA 	Keypress: b
88.0314 	DATA 	Keypress: b
88.0487 	DATA 	Keypress: lshift
88.0492 	DATA 	Keypress: t
88.2484 	DATA 	Keypress: b
88.4813 	DATA 	Keypress: b
88.6815 	DATA 	Keypress: b
88.8813 	DATA 	Keypress: b
89.0982 	DATA 	Keypress: b
89.3312 	DATA 	Keypress: b
89.5320 	DATA 	Keypress: b
89.7479 	DATA 	Keypress: b
89.9647 	DATA 	Keypress: b
90.1999 	DATA 	Keypress: b
90.4314 	DATA 	Keypress: b
90.6645 	DATA 	Keypress: b
90.8819 	DATA 	Keypress: b
91.0481 	DATA 	Keypress: lshift
91.0487 	DATA 	Keypress: t
91.0979 	DATA 	Keypress: b
91.1300 	DATA 	End trial
91.2980 	DATA 	Keypress: b
94.0479 	DATA 	Keypress: lshift
94.0484 	DATA 	Keypress: t
97.0486 	DATA 	Keypress: lshift
97.0491 	DATA 	Keypress: t
100.0485 	DATA 	Keypress: lshift
100.0490 	DATA 	Keypress: t
103.0480 	DATA 	Keypress: lshift
103.0485 	DATA 	Keypress: t
106.0481 	DATA 	Keypress: lshift
106.0486 	DATA 	Keypress: t
106.1163 	DATA 	Begin trial
106.8812 	DATA 	Keypress: b
107.1648 	DATA 	Keypress: b
107.3815 	DATA 	Keypress: b
107.5832 	DATA 	Keypress: b
107.7814 	DATA 	Keypress: b
107.9604 	DATA 	Keypress: b
108.1458 	DATA 	Keypress: b
108.3479 	DATA 	Keypress: b
108.5149 	DATA 	Keypress: b
108.7314 	DATA 	Keypress: b
108.9481 	DATA 	Keypress: b
109.0485 	DATA 	Keypress: lshift
109.0490 	DATA 	Keypress: t
109.1979 	DATA 	Keypress: b
109.4148 	DATA 	Keypress: b
109.6485 	DATA 	Keypress: b
109.8485 	DATA 	Keypress: b
110.0485 	DATA 	Keypress: b
110.1530 	DATA 	End trial
110.2480 	DATA 	Keypress: b
112.0480 	DATA 	Keypress: lshift
112.0486 	DATA 	Keypress: t
115.0480 	DATA 	Keypress: lshift
115.0486 	DATA 	Keypress: t
118.0487 	DATA 	Keypress: lshift
118.0492 	DATA 	Keypress: t
121.0482 	DATA 	Keypress: lshift
121.0487 	DATA 	Keypress: t
124.0481 	DATA 	Keypress: lshift
124.0487 	DATA 	Keypress: t
127.0316 	DATA 	Keypress: b
127.0487 	DATA 	Keypress: lshift
127.0492 	DATA 	Keypress: t
130.0487 	DATA 	Keypress: lshift
130.0492 	DATA 	Keypress: t
133.0479 	DATA 	Keypress: lshift
133.0484 	DATA 	Keypress: t
136.0478 	DATA 	Keypress: lshift
136.0484 	DATA 	Keypress: t
136.1496 	DATA 	Begin trial
136.6314 	DATA 	Keypress: b
136.8813 	DATA 	Keypress: b
137.0978 	DATA 	Keypress: b
137.2813 	DATA 	Keypress: b
137.5313 	DATA 	Keypress: b
137.7147 	DATA 	Keypress: b
137.9147 	DATA 	Keypress: b
138.0981 	DATA 	Keypress: b
138.2813 	DATA 	Keypress: b
138.4481 	DATA 	Keypress: b
138.6314 	DATA 	Keypress: b
138.8146 	DATA 	Keypress: b
138.9983 	DATA 	Keypress: b
139.0485 	DATA 	Keypress: lshift
139.0490 	DATA 	Keypress: t
139.1980 	DATA 	Keypress: b
139.3649 	DATA 	Keypress: b
139.5648 	DATA 	Keypress: b
139.7312 	DATA 	Keypress: b
139.8980 	DATA 	Keypress: b
140.0812 	DATA 	Keypress: b
140.2814 	DATA 	Keypress: b
140.4815 	DATA 	Keypress: b
140.6980 	DATA 	Keypress: b
140.8983 	DATA 	Keypress: b
141.0981 	DATA 	Keypress: b
141.2978 	DATA 	Keypress: b
141.4816 	DATA 	Keypress: b
141.6813 	DATA 	Keypress: b
141.8980 	DATA 	Keypress: b
142.0481 	DATA 	Keypress: lshift
142.0487 	DATA 	Keypress: t
142.0977 	DATA 	Keypress: b
142.3147 	DATA 	Keypress: b
142.5144 	DATA 	Keypress: b
142.6978 	DATA 	Keypress: b
142.8815 	DATA 	Keypress: b
143.0648 	DATA 	Keypress: b
143.2480 	DATA 	Keypress: b
143.4149 	DATA 	Keypress: b
143.7646 	DATA 	Keypress: a
143.9479 	DATA 	Keypress: a
144.2150 	DATA 	Keypress: a
144.5312 	DATA 	Keypress: a
144.7480 	DATA 	Keypress: a
144.9645 	DATA 	Keypress: a
145.0479 	DATA 	Keypress: lshift
145.0484 	DATA 	Keypress: t
145.1648 	DATA 	Keypress: a
145.3979 	DATA 	Keypress: a
145.6312 	DATA 	Keypress: a
145.8646 	DATA 	Keypress: a
146.0645 	DATA 	Keypress: a
146.2814 	DATA 	Keypress: a
146.4814 	DATA 	Keypress: a
146.6812 	DATA 	Keypress: a
146.8812 	DATA 	Keypress: a
147.0650 	DATA 	Keypress: a
147.2669 	DATA 	Keypress: a
147.4151 	DATA 	Keypress: b
147.6148 	DATA 	Keypress: b
147.8147 	DATA 	Keypress: b
147.9813 	DATA 	Keypress: b
148.0483 	DATA 	Keypress: lshift
148.0488 	DATA 	Keypress: t
148.1482 	DATA 	Keypress: b
148.3311 	DATA 	Keypress: b
148.4814 	DATA 	Keypress: b
148.6978 	DATA 	Keypress: b
148.8979 	DATA 	Keypress: b
149.1144 	DATA 	Keypress: b
149.3150 	DATA 	Keypress: b
149.5150 	DATA 	Keypress: b
149.7312 	DATA 	Keypress: b
149.9144 	DATA 	Keypress: b
150.1146 	DATA 	Keypress: b
150.3162 	DATA 	Keypress: b
150.5310 	DATA 	Keypress: b
150.7145 	DATA 	Keypress: b
150.8841 	DATA 	Keypress: b
151.0485 	DATA 	Keypress: lshift
151.0490 	DATA 	Keypress: t
151.0981 	DATA 	Keypress: b
151.2813 	DATA 	Keypress: b
151.4815 	DATA 	Keypress: b
151.6811 	DATA 	Keypress: b
151.8980 	DATA 	Keypress: b
152.1146 	DATA 	Keypress: b
152.3146 	DATA 	Keypress: b
152.5312 	DATA 	Keypress: b
152.7146 	DATA 	Keypress: b
152.8979 	DATA 	Keypress: b
153.0813 	DATA 	Keypress: b
153.1914 	DATA 	End trial
153.2812 	DATA 	Keypress: b
154.0482 	DATA 	Keypress: lshift
154.0487 	DATA 	Keypress: t
157.0479 	DATA 	Keypress: lshift
157.0485 	DATA 	Keypress: t
160.0483 	DATA 	Keypress: lshift
160.0488 	DATA 	Keypress: t
163.0490 	DATA 	Keypress: lshift
163.0495 	DATA 	Keypress: t
164.7311 	DATA 	Keypress: b
166.0479 	DATA 	Keypress: lshift
166.0485 	DATA 	Keypress: t
166.1828 	DATA 	Begin trial
166.7314 	DATA 	Keypress: b
166.9980 	DATA 	Keypress: b
167.1980 	DATA 	Keypress: b
167.3978 	DATA 	Keypress: b
167.6147 	DATA 	Keypress: b
167.7813 	DATA 	Keypress: b
167.9829 	DATA 	Keypress: b
168.1813 	DATA 	Keypress: b
168.3811 	DATA 	Keypress: b
168.5980 	DATA 	Keypress: b
168.8145 	DATA 	Keypress: b
169.0149 	DATA 	Keypress: b
169.0483 	DATA 	Keypress: lshift
169.0488 	DATA 	Keypress: t
169.2310 	DATA 	Keypress: b
169.4479 	DATA 	Keypress: b
169.6148 	DATA 	Keypress: b
169.8147 	DATA 	Keypress: b
169.9983 	DATA 	Keypress: b
170.1980 	DATA 	Keypress: b
170.3978 	DATA 	Keypress: b
170.5982 	DATA 	Keypress: b
170.8144 	DATA 	Keypress: b
171.0146 	DATA 	Keypress: b
171.2313 	DATA 	Keypress: b
171.4483 	DATA 	Keypress: b
171.6810 	DATA 	Keypress: b
171.8982 	DATA 	Keypress: b
172.0480 	DATA 	Keypress: lshift
172.0486 	DATA 	Keypress: t
172.1312 	DATA 	Keypress: b
172.3483 	DATA 	Keypress: b
172.5649 	DATA 	Keypress: b
172.7980 	DATA 	Keypress: b
173.0144 	DATA 	Keypress: b
173.2313 	DATA 	Keypress: b
173.4646 	DATA 	Keypress: b
173.6646 	DATA 	Keypress: b
173.8982 	DATA 	Keypress: b
174.1314 	DATA 	Keypress: b
174.3644 	DATA 	Keypress: b
174.5813 	DATA 	Keypress: b
174.7977 	DATA 	Keypress: b
175.0146 	DATA 	Keypress: b
175.0483 	DATA 	Keypress: lshift
175.0488 	DATA 	Keypress: t
175.2313 	DATA 	Keypress: b
175.4331 	DATA 	Keypress: b
175.6648 	DATA 	Keypress: b
175.8812 	DATA 	Keypress: b
176.1149 	DATA 	Keypress: b
176.3479 	DATA 	Keypress: b
176.5644 	DATA 	Keypress: b
176.7814 	DATA 	Keypress: b
177.0151 	DATA 	Keypress: b
177.3479 	DATA 	Keypress: b
177.5644 	DATA 	Keypress: b
177.7646 	DATA 	Keypress: b
177.9480 	DATA 	Keypress: b
178.0480 	DATA 	Keypress: lshift
178.0485 	DATA 	Keypress: t
178.1645 	DATA 	Keypress: b
178.3311 	DATA 	Keypress: b
178.5145 	DATA 	Keypress: b
178.7145 	DATA 	Keypress: b
178.9147 	DATA 	Keypress: b
179.1146 	DATA 	Keypress: b
179.2979 	DATA 	Keypress: b
179.5312 	DATA 	Keypress: b
179.7313 	DATA 	Keypress: b
179.9312 	DATA 	Keypress: b
180.1317 	DATA 	Keypress: b
180.3478 	DATA 	Keypress: b
180.5312 	DATA 	Keypress: b
180.7646 	DATA 	Keypress: b
180.9480 	DATA 	Keypress: b
181.0487 	DATA 	Keypress: lshift
181.0492 	DATA 	Keypress: t
181.1149 	DATA 	Keypress: b
181.3311 	DATA 	Keypress: b
181.5144 	DATA 	Keypress: b
181.7146 	DATA 	Keypress: b
181.8646 	DATA 	Keypress: b
182.0644 	DATA 	Keypress: b
182.2478 	DATA 	Keypress: b
182.4310 	DATA 	Keypress: b
182.6482 	DATA 	Keypress: b
182.8481 	DATA 	Keypress: b
183.0481 	DATA 	Keypress: b
183.2310 	DATA 	Keypress: b
183.4481 	DATA 	Keypress: b
183.6334 	DATA 	Keypress: b
183.8479 	DATA 	Keypress: b
184.0486 	DATA 	Keypress: lshift
184.0493 	DATA 	Keypress: t
184.0507 	DATA 	Keypress: b
184.2238 	DATA 	End trial
184.2780 	DATA 	Keypress: b
184.4979 	DATA 	Keypress: b
187.0478 	DATA 	Keypress: lshift
187.0483 	DATA 	Keypress: t
190.0482 	DATA 	Keypress: lshift
190.0487 	DATA 	Keypress: t
191.1811 	DATA 	Keypress: b
193.0484 	DATA 	Keypress: lshift
193.0489 	DATA 	Keypress: t
193.5312 	DATA 	Keypress: b
196.0483 	DATA 	Keypress: lshift
196.0489 	DATA 	Keypress: t
196.2211 	DATA 	Begin trial
196.6645 	DATA 	Keypress: b
196.8979 	DATA 	Keypress: b
197.0981 	DATA 	Keypress: b
197.2812 	DATA 	Keypress: b
197.4478 	DATA 	Keypress: b
197.6498 	DATA 	Keypress: b
197.8479 	DATA 	Keypress: b
198.0812 	DATA 	Keypress: b
198.2812 	DATA 	Keypress: b
198.4811 	DATA 	Keypress: b
198.7144 	DATA 	Keypress: b
198.9312 	DATA 	Keypress: b
199.0478 	DATA 	Keypress: lshift
199.0483 	DATA 	Keypress: t
199.1314 	DATA 	Keypress: b
199.3311 	DATA 	Keypress: b
199.5313 	DATA 	Keypress: b
199.7479 	DATA 	Keypress: b
199.9313 	DATA 	Keypress: b
200.1145 	DATA 	Keypress: b
200.3146 	DATA 	Keypress: b
200.4976 	DATA 	Keypress: b
200.6979 	DATA 	Keypress: b
200.8811 	DATA 	Keypress: b
201.0820 	DATA 	Keypress: b
201.2811 	DATA 	Keypress: b
201.5978 	DATA 	Keypress: b
201.7479 	DATA 	Keypress: b
201.9812 	DATA 	Keypress: b
202.0487 	DATA 	Keypress: lshift
202.0492 	DATA 	Keypress: t
202.1977 	DATA 	Keypress: b
202.3998 	DATA 	Keypress: b
202.5979 	DATA 	Keypress: b
