2.9541 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
83.1055 	DATA 	Keypress: a
153.4725 	DATA 	Keypress: b
154.9556 	DATA 	Keypress: b
157.4059 	DATA 	Mouse: Left button down, pos=(62,589)
157.4854 	DATA 	Mouse:  Left button up, pos=(62,589)
160.5054 	DATA 	Keypress: space
160.5060 	DATA 	waiting for trigger
160.8556 	DATA 	Keypress: b
177.0221 	DATA 	Keypress: lshift
177.0226 	DATA 	Keypress: t
177.0237 	DATA 	TRIGGERED
180.0222 	DATA 	Keypress: lshift
180.0227 	DATA 	Keypress: t
183.0221 	DATA 	Keypress: lshift
183.0226 	DATA 	Keypress: t
186.0222 	DATA 	Keypress: lshift
186.0227 	DATA 	Keypress: t
187.1440 	DATA 	red.png
188.0389 	DATA 	Keypress: b
188.4892 	DATA 	Keypress: b
188.7223 	DATA 	Keypress: b
189.0223 	DATA 	Keypress: lshift
189.0229 	DATA 	Keypress: t
189.5226 	DATA 	Keypress: a
190.0224 	DATA 	Keypress: a
190.2389 	DATA 	Keypress: a
190.4889 	DATA 	Keypress: a
190.9890 	DATA 	Keypress: a
191.3061 	DATA 	Keypress: a
191.6058 	DATA 	Keypress: a
191.8407 	DATA 	Keypress: a
192.0223 	DATA 	Keypress: lshift
192.0230 	DATA 	Keypress: t
192.0392 	DATA 	Keypress: a
192.2393 	DATA 	Keypress: a
192.4390 	DATA 	Keypress: a
192.6060 	DATA 	Keypress: a
192.7891 	DATA 	Keypress: a
192.9742 	DATA 	Keypress: a
193.1558 	DATA 	Keypress: a
193.3556 	DATA 	Keypress: a
193.5390 	DATA 	Keypress: a
193.7389 	DATA 	Keypress: a
193.9224 	DATA 	Keypress: a
194.1224 	DATA 	Keypress: a
194.2907 	DATA 	Keypress: a
194.4891 	DATA 	Keypress: a
194.6724 	DATA 	Keypress: a
194.8727 	DATA 	Keypress: a
195.0226 	DATA 	Keypress: lshift
195.0231 	DATA 	Keypress: t
195.0718 	DATA 	end CS
195.1768 	DATA 	vend.png
195.1772 	DATA 	Keypress: a
195.2727 	DATA 	Keypress: a
195.4722 	DATA 	Keypress: a
195.6891 	DATA 	Keypress: a
195.8892 	DATA 	Keypress: b
196.0726 	DATA 	Keypress: b
196.4557 	DATA 	Keypress: b
196.6558 	DATA 	Keypress: b
196.8240 	DATA 	Keypress: b
197.0557 	DATA 	Keypress: b
197.2555 	DATA 	Keypress: b
197.4558 	DATA 	Keypress: b
197.6558 	DATA 	Keypress: b
197.8558 	DATA 	Keypress: b
198.0224 	DATA 	Keypress: lshift
198.0230 	DATA 	Keypress: t
198.0724 	DATA 	Keypress: b
198.2728 	DATA 	Keypress: b
198.5224 	DATA 	Keypress: b
198.7740 	DATA 	Keypress: b
199.1557 	DATA 	Keypress: b
199.4558 	DATA 	Keypress: b
199.7223 	DATA 	Keypress: b
199.9390 	DATA 	Keypress: b
200.1391 	DATA 	Keypress: b
200.4390 	DATA 	Keypress: b
200.7389 	DATA 	Keypress: b
200.9722 	DATA 	Keypress: b
201.0225 	DATA 	Keypress: lshift
201.0231 	DATA 	Keypress: t
201.0720 	DATA 	end CS
201.1882 	DATA 	blue.png
201.1885 	DATA 	Keypress: b
201.5393 	DATA 	Keypress: b
202.2892 	DATA 	Keypress: a
202.5225 	DATA 	Keypress: a
202.7892 	DATA 	Keypress: a
203.1057 	DATA 	Keypress: a
203.3392 	DATA 	Keypress: a
203.5392 	DATA 	Keypress: a
203.8389 	DATA 	Keypress: a
204.0223 	DATA 	Keypress: lshift
204.0228 	DATA 	Keypress: t
204.2895 	DATA 	Keypress: a
204.6226 	DATA 	Keypress: a
204.8223 	DATA 	Keypress: a
205.1074 	DATA 	Keypress: a
205.4389 	DATA 	Keypress: a
205.6223 	DATA 	Keypress: a
205.8391 	DATA 	Keypress: a
206.0561 	DATA 	Keypress: a
206.3892 	DATA 	Keypress: a
206.6225 	DATA 	Keypress: a
206.8559 	DATA 	Keypress: a
207.0222 	DATA 	Keypress: lshift
207.0228 	DATA 	Keypress: t
207.0889 	DATA 	Keypress: a
207.4058 	DATA 	Keypress: a
207.7224 	DATA 	Keypress: a
208.0057 	DATA 	Keypress: a
208.2225 	DATA 	Keypress: a
208.8225 	DATA 	Keypress: a
209.0725 	DATA 	Keypress: a
209.3558 	DATA 	Keypress: a
209.6225 	DATA 	Keypress: a
209.9392 	DATA 	Keypress: a
210.0224 	DATA 	Keypress: lshift
210.0230 	DATA 	Keypress: t
210.2555 	DATA 	Keypress: a
210.4389 	DATA 	Keypress: a
210.6557 	DATA 	Keypress: a
210.8564 	DATA 	Keypress: a
211.0727 	DATA 	Keypress: a
211.2892 	DATA 	Keypress: a
211.5225 	DATA 	Keypress: a
211.7725 	DATA 	Keypress: a
212.0891 	DATA 	Keypress: a
212.3390 	DATA 	Keypress: a
212.6243 	DATA 	Keypress: a
212.8071 	DATA 	Keypress: b
213.0225 	DATA 	Keypress: lshift
213.0230 	DATA 	Keypress: t
213.0245 	DATA 	Keypress: b
213.2224 	DATA 	Keypress: b
213.4059 	DATA 	Keypress: b
213.5892 	DATA 	Keypress: b
213.7893 	DATA 	Keypress: b
213.9889 	DATA 	Keypress: b
214.2058 	DATA 	Keypress: b
214.4223 	DATA 	Keypress: b
214.6061 	DATA 	Keypress: b
214.7890 	DATA 	Keypress: b
214.9891 	DATA 	Keypress: b
215.2058 	DATA 	Keypress: b
215.4412 	DATA 	Keypress: b
215.7395 	DATA 	Keypress: b
216.0223 	DATA 	Keypress: lshift
216.0229 	DATA 	Keypress: t
216.0395 	DATA 	Keypress: b
216.0719 	DATA 	end CS
216.1691 	DATA 	vend.png
216.4726 	DATA 	Keypress: b
216.9058 	DATA 	Keypress: a
217.2058 	DATA 	Keypress: a
217.5057 	DATA 	Keypress: a
217.7390 	DATA 	Keypress: a
218.0056 	DATA 	Keypress: a
218.2558 	DATA 	Keypress: a
218.5227 	DATA 	Keypress: a
218.7891 	DATA 	Keypress: a
219.0223 	DATA 	Keypress: lshift
219.0228 	DATA 	Keypress: t
219.0242 	DATA 	Keypress: a
219.2723 	DATA 	Keypress: a
219.5058 	DATA 	Keypress: a
219.7409 	DATA 	Keypress: a
220.0558 	DATA 	Keypress: a
220.3559 	DATA 	Keypress: a
220.6560 	DATA 	Keypress: a
220.9560 	DATA 	Keypress: a
221.2558 	DATA 	Keypress: a
221.5062 	DATA 	Keypress: a
221.7559 	DATA 	Keypress: a
221.9891 	DATA 	Keypress: a
222.0223 	DATA 	Keypress: lshift
222.0228 	DATA 	Keypress: t
222.0720 	DATA 	end CS
222.1878 	DATA 	green.png
222.2027 	DATA 	Keypress: a
222.7391 	DATA 	Keypress: b
223.0389 	DATA 	Keypress: b
223.3063 	DATA 	Keypress: b
223.5725 	DATA 	Keypress: b
223.8222 	DATA 	Keypress: b
224.1058 	DATA 	Keypress: b
224.3723 	DATA 	Keypress: b
224.6223 	DATA 	Keypress: b
224.8725 	DATA 	Keypress: b
225.0225 	DATA 	Keypress: lshift
225.0230 	DATA 	Keypress: t
225.1393 	DATA 	Keypress: b
225.3727 	DATA 	Keypress: b
225.6391 	DATA 	Keypress: b
226.0556 	DATA 	Keypress: b
226.3726 	DATA 	Keypress: b
226.6725 	DATA 	Keypress: b
226.9559 	DATA 	Keypress: b
227.2391 	DATA 	Keypress: b
227.4584 	DATA 	Keypress: a
227.9558 	DATA 	Keypress: a
228.0225 	DATA 	Keypress: lshift
228.0231 	DATA 	Keypress: t
228.0722 	DATA 	end CS
228.1653 	DATA 	vend.png
228.1726 	DATA 	Keypress: a
228.3890 	DATA 	Keypress: a
228.6223 	DATA 	Keypress: a
228.8578 	DATA 	Keypress: a
229.0892 	DATA 	Keypress: a
229.3406 	DATA 	Keypress: a
229.6559 	DATA 	Keypress: a
229.8891 	DATA 	Keypress: a
230.0890 	DATA 	Keypress: a
230.4556 	DATA 	Keypress: a
230.7225 	DATA 	Keypress: a
230.9745 	DATA 	Keypress: a
231.0222 	DATA 	Keypress: lshift
231.0228 	DATA 	Keypress: t
231.2724 	DATA 	Keypress: a
231.5229 	DATA 	Keypress: a
231.7726 	DATA 	Keypress: a
232.0226 	DATA 	Keypress: a
232.2891 	DATA 	Keypress: a
232.5562 	DATA 	Keypress: a
232.8390 	DATA 	Keypress: a
233.0893 	DATA 	Keypress: a
233.4057 	DATA 	Keypress: a
233.6889 	DATA 	Keypress: a
233.9889 	DATA 	Keypress: a
234.0225 	DATA 	Keypress: lshift
234.0230 	DATA 	Keypress: t
234.0721 	DATA 	end CS
234.1757 	DATA 	yellow.png
234.2711 	DATA 	Keypress: a
234.5387 	DATA 	Keypress: a
236.7393 	DATA 	Keypress: b
237.0223 	DATA 	Keypress: lshift
237.0229 	DATA 	Keypress: t
237.4225 	DATA 	Keypress: b
237.7075 	DATA 	Keypress: b
238.0242 	DATA 	Keypress: b
238.3058 	DATA 	Keypress: b
238.5723 	DATA 	Keypress: b
238.8074 	DATA 	Keypress: b
239.0407 	DATA 	Keypress: b
239.2890 	DATA 	Keypress: b
239.5230 	DATA 	Keypress: b
239.7559 	DATA 	Keypress: b
239.9891 	DATA 	Keypress: b
240.0224 	DATA 	Keypress: lshift
240.0230 	DATA 	Keypress: t
240.2057 	DATA 	Keypress: b
240.4392 	DATA 	Keypress: b
240.6558 	DATA 	Keypress: b
240.8725 	DATA 	Keypress: b
241.0721 	DATA 	end CS
241.1748 	DATA 	vend.png
241.1751 	DATA 	Keypress: b
241.3557 	DATA 	Keypress: b
241.6058 	DATA 	Keypress: b
241.8390 	DATA 	Keypress: b
242.0891 	DATA 	Keypress: b
242.3241 	DATA 	Keypress: b
242.5724 	DATA 	Keypress: b
242.7892 	DATA 	Keypress: b
243.0058 	DATA 	Keypress: b
243.0225 	DATA 	Keypress: lshift
243.0231 	DATA 	Keypress: t
243.2226 	DATA 	Keypress: b
243.4390 	DATA 	Keypress: b
243.6392 	DATA 	Keypress: a
243.9057 	DATA 	Keypress: a
244.1057 	DATA 	Keypress: a
244.3389 	DATA 	Keypress: a
244.5393 	DATA 	Keypress: a
244.7723 	DATA 	Keypress: a
244.9724 	DATA 	Keypress: a
245.1890 	DATA 	Keypress: b
245.4390 	DATA 	Keypress: b
245.6392 	DATA 	Keypress: b
245.8558 	DATA 	Keypress: b
246.0226 	DATA 	Keypress: lshift
246.0231 	DATA 	Keypress: t
246.0724 	DATA 	Keypress: b
246.3224 	DATA 	Keypress: b
246.5725 	DATA 	Keypress: b
246.8058 	DATA 	Keypress: b
247.0391 	DATA 	Keypress: b
247.0722 	DATA 	end CS
247.1534 	DATA 	red.png
247.2538 	DATA 	Keypress: b
247.5062 	DATA 	Keypress: b
247.7393 	DATA 	Keypress: a
247.9724 	DATA 	Keypress: a
248.1725 	DATA 	Keypress: a
248.3891 	DATA 	Keypress: a
248.5894 	DATA 	Keypress: a
248.8056 	DATA 	Keypress: a
249.0058 	DATA 	Keypress: a
249.0225 	DATA 	Keypress: lshift
249.0231 	DATA 	Keypress: t
249.2234 	DATA 	Keypress: a
249.4392 	DATA 	Keypress: a
249.6392 	DATA 	Keypress: a
249.8391 	DATA 	Keypress: a
250.0558 	DATA 	Keypress: a
250.2559 	DATA 	Keypress: a
250.4723 	DATA 	Keypress: a
250.6727 	DATA 	Keypress: a
250.8896 	DATA 	Keypress: a
251.1225 	DATA 	Keypress: a
251.3245 	DATA 	Keypress: a
251.5556 	DATA 	Keypress: a
251.7725 	DATA 	Keypress: a
252.0057 	DATA 	Keypress: a
252.0225 	DATA 	Keypress: lshift
252.0231 	DATA 	Keypress: t
252.2391 	DATA 	Keypress: a
252.4559 	DATA 	Keypress: a
252.6892 	DATA 	Keypress: a
252.8895 	DATA 	Keypress: a
253.1389 	DATA 	Keypress: a
253.3558 	DATA 	Keypress: a
253.5891 	DATA 	Keypress: a
253.8058 	DATA 	Keypress: a
254.0071 	DATA 	Keypress: a
254.2389 	DATA 	Keypress: a
254.4390 	DATA 	Keypress: a
254.6558 	DATA 	Keypress: a
254.8726 	DATA 	Keypress: a
255.0224 	DATA 	Keypress: lshift
255.0229 	DATA 	Keypress: t
255.1223 	DATA 	Keypress: a
255.3225 	DATA 	Keypress: a
255.5724 	DATA 	Keypress: a
255.8058 	DATA 	Keypress: a
256.0076 	DATA 	Keypress: a
256.2391 	DATA 	Keypress: a
256.4892 	DATA 	Keypress: a
256.7056 	DATA 	Keypress: a
256.9225 	DATA 	Keypress: a
257.0721 	DATA 	end CS
257.1651 	DATA 	vend.png
257.1655 	DATA 	Keypress: a
257.3226 	DATA 	Keypress: a
257.5559 	DATA 	Keypress: a
257.7396 	DATA 	Keypress: a
257.9557 	DATA 	Keypress: a
258.0224 	DATA 	Keypress: lshift
258.0230 	DATA 	Keypress: t
258.1890 	DATA 	Keypress: a
258.3908 	DATA 	Keypress: b
258.5893 	DATA 	Keypress: b
258.7892 	DATA 	Keypress: b
259.0058 	DATA 	Keypress: b
259.2058 	DATA 	Keypress: b
259.4225 	DATA 	Keypress: b
259.6558 	DATA 	Keypress: b
259.9056 	DATA 	Keypress: b
260.1226 	DATA 	Keypress: b
260.3560 	DATA 	Keypress: b
260.5558 	DATA 	Keypress: b
260.7725 	DATA 	Keypress: b
261.0224 	DATA 	Keypress: lshift
261.0230 	DATA 	Keypress: t
261.2226 	DATA 	Keypress: b
261.6057 	DATA 	Keypress: b
261.8392 	DATA 	Keypress: b
262.0559 	DATA 	Keypress: b
262.8891 	DATA 	Keypress: b
263.0722 	DATA 	end CS
263.1640 	DATA 	green.png
263.1643 	DATA 	Keypress: b
263.3708 	DATA 	Keypress: b
263.6059 	DATA 	Keypress: b
263.8726 	DATA 	Keypress: a
264.0223 	DATA 	Keypress: lshift
