1.4934 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
51.1819 	DATA 	Keypress: b
52.3336 	DATA 	Keypress: b
62.3640 	DATA 	Keypress: b
100.3498 	DATA 	Mouse: Left button down, pos=(81,140)
100.4438 	DATA 	Mouse:  Left button up, pos=(81,140)
102.4806 	DATA 	Keypress: space
102.4810 	DATA 	waiting for trigger
103.4817 	DATA 	Keypress: b
107.5148 	DATA 	Keypress: b
118.7150 	DATA 	Keypress: lshift
118.7155 	DATA 	Keypress: t
118.7166 	DATA 	TRIGGERED
119.7319 	DATA 	Keypress: b
121.7138 	DATA 	Keypress: lshift
121.7144 	DATA 	Keypress: t
124.7150 	DATA 	Keypress: lshift
124.7155 	DATA 	Keypress: t
127.7149 	DATA 	Keypress: lshift
127.7155 	DATA 	Keypress: t
128.8401 	DATA 	red.png
130.2651 	DATA 	Keypress: b
130.7152 	DATA 	Keypress: lshift
130.7157 	DATA 	Keypress: t
131.4983 	DATA 	Keypress: b
131.9151 	DATA 	Keypress: b
132.2151 	DATA 	Keypress: b
132.4987 	DATA 	Keypress: b
132.6985 	DATA 	Keypress: b
132.8819 	DATA 	Keypress: b
133.2321 	DATA 	Keypress: b
133.4818 	DATA 	Keypress: b
133.6819 	DATA 	Keypress: b
133.7151 	DATA 	Keypress: lshift
133.7156 	DATA 	Keypress: t
133.9651 	DATA 	Keypress: b
134.1987 	DATA 	Keypress: b
134.4484 	DATA 	Keypress: b
134.6485 	DATA 	Keypress: b
134.8321 	DATA 	Keypress: b
135.0318 	DATA 	Keypress: b
135.1986 	DATA 	Keypress: b
135.3821 	DATA 	Keypress: b
135.5822 	DATA 	Keypress: b
135.7816 	DATA 	Keypress: b
136.4152 	DATA 	Keypress: a
136.6484 	DATA 	Keypress: a
136.7151 	DATA 	Keypress: lshift
136.7156 	DATA 	Keypress: t
136.7648 	DATA 	end CS
136.8841 	DATA 	vend.png
136.8844 	DATA 	Keypress: a
137.0970 	DATA 	Keypress: a
137.4469 	DATA 	Keypress: a
138.4468 	DATA 	Keypress: a
138.6312 	DATA 	Keypress: a
138.8135 	DATA 	Keypress: a
139.0134 	DATA 	Keypress: a
139.2151 	DATA 	Keypress: a
139.4317 	DATA 	Keypress: a
139.6319 	DATA 	Keypress: a
139.7152 	DATA 	Keypress: lshift
139.7158 	DATA 	Keypress: t
139.8485 	DATA 	Keypress: a
140.0324 	DATA 	Keypress: a
140.2652 	DATA 	Keypress: a
140.5654 	DATA 	Keypress: a
141.0151 	DATA 	Keypress: a
141.3983 	DATA 	Keypress: a
141.6652 	DATA 	Keypress: a
141.8484 	DATA 	Keypress: a
142.0484 	DATA 	Keypress: a
142.2483 	DATA 	Keypress: a
142.4485 	DATA 	Keypress: a
142.6318 	DATA 	Keypress: a
142.7151 	DATA 	Keypress: lshift
142.7157 	DATA 	Keypress: t
142.7815 	DATA 	end CS
142.8776 	DATA 	blue.png
142.8779 	DATA 	Keypress: a
143.0468 	DATA 	Keypress: a
143.7999 	DATA 	Keypress: b
144.0984 	DATA 	Keypress: b
144.2984 	DATA 	Keypress: b
144.6651 	DATA 	Keypress: b
144.8152 	DATA 	Keypress: b
145.1338 	DATA 	Keypress: b
145.3158 	DATA 	Keypress: b
145.5485 	DATA 	Keypress: b
145.7151 	DATA 	Keypress: lshift
145.7156 	DATA 	Keypress: t
145.7484 	DATA 	Keypress: b
145.9652 	DATA 	Keypress: b
146.1817 	DATA 	Keypress: b
146.3650 	DATA 	Keypress: b
146.5818 	DATA 	Keypress: b
146.7654 	DATA 	Keypress: b
146.9821 	DATA 	Keypress: b
147.2318 	DATA 	Keypress: b
147.4986 	DATA 	Keypress: b
147.7317 	DATA 	Keypress: b
147.9818 	DATA 	Keypress: b
148.3485 	DATA 	Keypress: b
148.7000 	DATA 	Keypress: a
148.7151 	DATA 	Keypress: lshift
148.7156 	DATA 	Keypress: t
148.9151 	DATA 	Keypress: a
149.0985 	DATA 	Keypress: a
149.2485 	DATA 	Keypress: a
149.4318 	DATA 	Keypress: a
149.6319 	DATA 	Keypress: a
149.8318 	DATA 	Keypress: a
150.0156 	DATA 	Keypress: a
150.2317 	DATA 	Keypress: a
150.4164 	DATA 	Keypress: a
150.6155 	DATA 	Keypress: a
150.8315 	DATA 	Keypress: a
151.0154 	DATA 	Keypress: a
151.1984 	DATA 	Keypress: a
151.3985 	DATA 	Keypress: a
151.5987 	DATA 	Keypress: a
151.7152 	DATA 	Keypress: lshift
151.7157 	DATA 	Keypress: t
151.7984 	DATA 	Keypress: a
151.9989 	DATA 	Keypress: a
152.1985 	DATA 	Keypress: a
152.3986 	DATA 	Keypress: a
152.5651 	DATA 	Keypress: a
152.7485 	DATA 	Keypress: a
152.9318 	DATA 	Keypress: a
153.0984 	DATA 	Keypress: a
153.3316 	DATA 	Keypress: b
153.4669 	DATA 	Keypress: b
153.6652 	DATA 	Keypress: b
153.8318 	DATA 	Keypress: b
154.0817 	DATA 	Keypress: b
154.2818 	DATA 	Keypress: b
154.4484 	DATA 	Keypress: b
154.7153 	DATA 	Keypress: lshift
154.7158 	DATA 	Keypress: t
154.8667 	DATA 	Keypress: b
155.6651 	DATA 	Keypress: b
155.9318 	DATA 	Keypress: b
156.1483 	DATA 	Keypress: b
156.3651 	DATA 	Keypress: b
156.5484 	DATA 	Keypress: b
156.8317 	DATA 	Keypress: b
157.0983 	DATA 	Keypress: b
157.3486 	DATA 	Keypress: b
157.5986 	DATA 	Keypress: b
157.7151 	DATA 	Keypress: lshift
157.7156 	DATA 	Keypress: t
157.7813 	DATA 	end CS
157.8901 	DATA 	vend.png
157.8904 	DATA 	Keypress: b
158.1150 	DATA 	Keypress: b
159.1984 	DATA 	Keypress: a
159.4650 	DATA 	Keypress: a
159.6650 	DATA 	Keypress: a
159.8652 	DATA 	Keypress: a
160.0651 	DATA 	Keypress: a
160.2650 	DATA 	Keypress: a
160.4818 	DATA 	Keypress: a
160.6818 	DATA 	Keypress: a
160.7151 	DATA 	Keypress: lshift
160.7156 	DATA 	Keypress: t
160.9316 	DATA 	Keypress: a
161.1336 	DATA 	Keypress: a
161.3484 	DATA 	Keypress: a
161.5322 	DATA 	Keypress: a
161.9165 	DATA 	Keypress: a
162.2485 	DATA 	Keypress: a
162.4484 	DATA 	Keypress: a
162.6151 	DATA 	Keypress: a
162.8151 	DATA 	Keypress: a
162.9984 	DATA 	Keypress: a
163.1985 	DATA 	Keypress: a
163.4156 	DATA 	Keypress: a
163.6316 	DATA 	Keypress: a
163.7151 	DATA 	Keypress: lshift
163.7156 	DATA 	Keypress: t
163.7815 	DATA 	end CS
163.8828 	DATA 	green.png
163.8831 	DATA 	Keypress: a
164.0636 	DATA 	Keypress: a
165.4153 	DATA 	Keypress: b
165.4164 	DATA 	Keypress: a
165.6150 	DATA 	Keypress: b
165.8321 	DATA 	Keypress: b
165.9816 	DATA 	Keypress: b
166.2156 	DATA 	Keypress: b
166.3985 	DATA 	Keypress: b
166.6151 	DATA 	Keypress: b
166.7151 	DATA 	Keypress: lshift
166.7156 	DATA 	Keypress: t
166.8651 	DATA 	Keypress: b
167.0817 	DATA 	Keypress: b
167.2650 	DATA 	Keypress: b
167.4501 	DATA 	Keypress: b
167.6654 	DATA 	Keypress: b
167.8651 	DATA 	Keypress: b
168.0818 	DATA 	Keypress: b
168.2984 	DATA 	Keypress: b
168.5151 	DATA 	Keypress: b
168.7651 	DATA 	Keypress: b
168.9652 	DATA 	Keypress: b
169.1985 	DATA 	Keypress: b
169.4317 	DATA 	Keypress: b
169.6482 	DATA 	Keypress: b
169.7149 	DATA 	Keypress: lshift
169.7154 	DATA 	Keypress: t
169.7813 	DATA 	end CS
169.8861 	DATA 	vend.png
169.8864 	DATA 	Keypress: b
170.0986 	DATA 	Keypress: b
170.9487 	DATA 	Keypress: a
171.1485 	DATA 	Keypress: a
171.3484 	DATA 	Keypress: a
171.5654 	DATA 	Keypress: a
171.7818 	DATA 	Keypress: a
171.9818 	DATA 	Keypress: a
172.1818 	DATA 	Keypress: a
172.3816 	DATA 	Keypress: a
172.5818 	DATA 	Keypress: a
172.7151 	DATA 	Keypress: lshift
172.7156 	DATA 	Keypress: t
172.7819 	DATA 	Keypress: a
172.9656 	DATA 	Keypress: a
173.1831 	DATA 	Keypress: a
173.4317 	DATA 	Keypress: a
173.6318 	DATA 	Keypress: a
173.8318 	DATA 	Keypress: a
174.0329 	DATA 	Keypress: a
174.2484 	DATA 	Keypress: a
174.4487 	DATA 	Keypress: a
174.6818 	DATA 	Keypress: a
174.8815 	DATA 	Keypress: a
175.0818 	DATA 	Keypress: a
175.2819 	DATA 	Keypress: a
175.4817 	DATA 	Keypress: a
175.6652 	DATA 	Keypress: a
175.7151 	DATA 	Keypress: lshift
175.7158 	DATA 	Keypress: t
175.7816 	DATA 	end CS
175.9011 	DATA 	yellow.png
175.9014 	DATA 	Keypress: a
176.0132 	DATA 	Keypress: b
176.2984 	DATA 	Keypress: b
176.4984 	DATA 	Keypress: b
178.7151 	DATA 	Keypress: lshift
178.7156 	DATA 	Keypress: t
178.7170 	DATA 	Keypress: b
180.0150 	DATA 	Keypress: b
180.2488 	DATA 	Keypress: b
180.7653 	DATA 	Keypress: b
180.9817 	DATA 	Keypress: b
181.1817 	DATA 	Keypress: b
181.3650 	DATA 	Keypress: b
181.5982 	DATA 	Keypress: b
181.7151 	DATA 	Keypress: lshift
181.7156 	DATA 	Keypress: t
181.9818 	DATA 	Keypress: b
182.2984 	DATA 	Keypress: b
182.5651 	DATA 	Keypress: b
182.7649 	DATA 	Keypress: b
182.7814 	DATA 	end CS
182.8735 	DATA 	vend.png
182.9487 	DATA 	Keypress: b
183.8332 	DATA 	Keypress: b
184.0650 	DATA 	Keypress: b
184.2651 	DATA 	Keypress: b
184.4818 	DATA 	Keypress: b
184.6816 	DATA 	Keypress: b
184.7150 	DATA 	Keypress: lshift
184.7156 	DATA 	Keypress: t
184.8817 	DATA 	Keypress: b
185.1150 	DATA 	Keypress: b
185.3318 	DATA 	Keypress: b
185.5483 	DATA 	Keypress: b
185.7817 	DATA 	Keypress: b
185.9985 	DATA 	Keypress: b
186.2319 	DATA 	Keypress: b
186.4652 	DATA 	Keypress: b
186.6982 	DATA 	Keypress: b
186.9483 	DATA 	Keypress: b
187.1984 	DATA 	Keypress: b
187.4315 	DATA 	Keypress: b
187.6651 	DATA 	Keypress: b
187.7151 	DATA 	Keypress: lshift
187.7157 	DATA 	Keypress: t
187.8987 	DATA 	Keypress: b
188.1317 	DATA 	Keypress: b
188.3319 	DATA 	Keypress: b
188.5817 	DATA 	Keypress: b
188.7813 	DATA 	end CS
188.8717 	DATA 	red.png
188.8721 	DATA 	Keypress: b
189.0333 	DATA 	Keypress: b
190.7150 	DATA 	Keypress: lshift
190.7155 	DATA 	Keypress: t
190.8984 	DATA 	Keypress: a
191.3151 	DATA 	Keypress: a
191.5818 	DATA 	Keypress: a
191.8318 	DATA 	Keypress: a
192.0483 	DATA 	Keypress: a
192.2492 	DATA 	Keypress: a
192.4502 	DATA 	Keypress: a
192.6653 	DATA 	Keypress: a
192.8670 	DATA 	Keypress: a
193.0651 	DATA 	Keypress: a
193.2649 	DATA 	Keypress: a
193.4484 	DATA 	Keypress: a
193.6483 	DATA 	Keypress: a
193.7150 	DATA 	Keypress: lshift
193.7155 	DATA 	Keypress: t
193.8649 	DATA 	Keypress: a
194.0483 	DATA 	Keypress: a
194.2156 	DATA 	Keypress: a
194.3985 	DATA 	Keypress: a
194.5818 	DATA 	Keypress: a
194.7816 	DATA 	Keypress: a
194.9817 	DATA 	Keypress: a
195.1820 	DATA 	Keypress: a
195.3651 	DATA 	Keypress: a
195.5650 	DATA 	Keypress: a
195.7651 	DATA 	Keypress: a
195.9333 	DATA 	Keypress: a
196.1317 	DATA 	Keypress: a
196.3150 	DATA 	Keypress: a
196.5149 	DATA 	Keypress: a
196.7150 	DATA 	Keypress: lshift
196.7156 	DATA 	Keypress: t
196.7318 	DATA 	Keypress: a
196.9151 	DATA 	Keypress: a
197.0818 	DATA 	Keypress: a
197.2652 	DATA 	Keypress: a
197.4818 	DATA 	Keypress: b
197.8319 	DATA 	Keypress: b
197.9817 	DATA 	Keypress: b
198.2002 	DATA 	Keypress: b
198.4649 	DATA 	Keypress: b
198.6821 	DATA 	Keypress: b
198.7812 	DATA 	end CS
198.8845 	DATA 	vend.png
198.8848 	DATA 	Keypress: b
199.0642 	DATA 	Keypress: b
199.2996 	DATA 	Keypress: b
199.5650 	DATA 	Keypress: b
199.7151 	DATA 	Keypress: lshift
199.7156 	DATA 	Keypress: t
199.9317 	DATA 	Keypress: b
200.2485 	DATA 	Keypress: b
201.2984 	DATA 	Keypress: a
201.5484 	DATA 	Keypress: a
201.7983 	DATA 	Keypress: a
202.0483 	DATA 	Keypress: a
202.2316 	DATA 	Keypress: a
202.4650 	DATA 	Keypress: a
202.6650 	DATA 	Keypress: a
202.7150 	DATA 	Keypress: lshift
202.7155 	DATA 	Keypress: t
202.8985 	DATA 	Keypress: a
203.1150 	DATA 	Keypress: a
203.3151 	DATA 	Keypress: a
203.5317 	DATA 	Keypress: a
203.7484 	DATA 	Keypress: a
203.9485 	DATA 	Keypress: a
204.1817 	DATA 	Keypress: a
204.3984 	DATA 	Keypress: a
204.6149 	DATA 	Keypress: a
204.7814 	DATA 	end CS
204.8747 	DATA 	green.png
204.8750 	DATA 	Keypress: a
205.0317 	DATA 	Keypress: a
205.2650 	DATA 	Keypress: a
205.7151 	DATA 	Keypress: lshift
205.7156 	DATA 	Keypress: t
205.7482 	DATA 	Keypress: b
206.1148 	DATA 	Keypress: b
206.3482 	DATA 	Keypress: b
206.5483 	DATA 	Keypress: b
