1.8366 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
22.2991 	DATA 	version B
67.1053 	DATA 	Keypress: b
93.8558 	DATA 	Keypress: space
93.8704 	DATA 	waiting for trigger
120.8713 	DATA 	Keypress: lshift
120.8719 	DATA 	Keypress: t
120.8734 	DATA 	TRIGGERED
120.9121 	DATA 	Begin trial
126.8712 	DATA 	Keypress: lshift
126.8719 	DATA 	Keypress: t
132.8710 	DATA 	Keypress: lshift
132.8716 	DATA 	Keypress: t
133.9423 	DATA 	End trial
138.8711 	DATA 	Keypress: lshift
138.8716 	DATA 	Keypress: t
144.8710 	DATA 	Keypress: lshift
144.8716 	DATA 	Keypress: t
150.8711 	DATA 	Keypress: lshift
150.8716 	DATA 	Keypress: t
150.9396 	DATA 	Begin trial
156.8715 	DATA 	Keypress: lshift
156.8721 	DATA 	Keypress: t
157.2543 	DATA 	Keypress: b
158.2877 	DATA 	Keypress: a
159.5042 	DATA 	Keypress: b
159.8877 	DATA 	Keypress: a
160.7709 	DATA 	Keypress: b
161.8543 	DATA 	Keypress: a
162.8714 	DATA 	Keypress: lshift
162.8720 	DATA 	Keypress: t
163.9044 	DATA 	Keypress: b
164.1214 	DATA 	Keypress: b
165.0542 	DATA 	Keypress: b
165.9773 	DATA 	End trial
168.8717 	DATA 	Keypress: lshift
168.8723 	DATA 	Keypress: t
174.8711 	DATA 	Keypress: lshift
174.8716 	DATA 	Keypress: t
180.8713 	DATA 	Keypress: lshift
180.8718 	DATA 	Keypress: t
180.9730 	DATA 	Begin trial
182.1391 	DATA 	Keypress: b
183.1220 	DATA 	Keypress: b
184.2215 	DATA 	Keypress: b
185.0380 	DATA 	Keypress: b
185.4543 	DATA 	Keypress: b
185.9380 	DATA 	Keypress: b
186.1380 	DATA 	Keypress: b
186.8049 	DATA 	Keypress: b
186.8711 	DATA 	Keypress: lshift
186.8717 	DATA 	Keypress: t
187.2383 	DATA 	Keypress: b
190.6378 	DATA 	Keypress: b
190.9548 	DATA 	Keypress: b
191.4883 	DATA 	Keypress: b
192.0044 	DATA 	Keypress: b
192.5217 	DATA 	Keypress: a
192.8715 	DATA 	Keypress: lshift
192.8720 	DATA 	Keypress: t
192.9210 	DATA 	Keypress: b
193.4880 	DATA 	Keypress: b
193.9384 	DATA 	Keypress: b
194.2045 	DATA 	Keypress: b
198.8712 	DATA 	Keypress: lshift
198.8719 	DATA 	Keypress: t
200.0113 	DATA 	End trial
204.8714 	DATA 	Keypress: lshift
204.8720 	DATA 	Keypress: t
210.8712 	DATA 	Keypress: lshift
210.8717 	DATA 	Keypress: t
211.0042 	DATA 	Begin trial
216.8713 	DATA 	Keypress: lshift
216.8719 	DATA 	Keypress: t
222.8713 	DATA 	Keypress: lshift
222.8719 	DATA 	Keypress: t
226.0049 	DATA 	Keypress: b
226.4877 	DATA 	Keypress: b
227.0413 	DATA 	End trial
227.0420 	DATA 	Keypress: b
228.8714 	DATA 	Keypress: lshift
228.8721 	DATA 	Keypress: t
234.8709 	DATA 	Keypress: lshift
234.8715 	DATA 	Keypress: t
240.8709 	DATA 	Keypress: lshift
240.8714 	DATA 	Keypress: t
241.0401 	DATA 	Begin trial
241.9383 	DATA 	Keypress: b
242.5394 	DATA 	Keypress: b
242.9543 	DATA 	Keypress: b
246.8712 	DATA 	Keypress: lshift
246.8718 	DATA 	Keypress: t
249.4377 	DATA 	Keypress: b
249.8709 	DATA 	Keypress: b
250.4048 	DATA 	Keypress: b
250.7545 	DATA 	Keypress: b
251.2549 	DATA 	Keypress: b
251.6211 	DATA 	Keypress: b
252.1216 	DATA 	Keypress: b
252.6547 	DATA 	Keypress: b
252.8708 	DATA 	Keypress: lshift
252.8714 	DATA 	Keypress: t
253.2883 	DATA 	Keypress: b
253.5548 	DATA 	Keypress: b
254.0765 	DATA 	End trial
254.4877 	DATA 	Keypress: b
258.8710 	DATA 	Keypress: lshift
258.8716 	DATA 	Keypress: t
264.8709 	DATA 	Keypress: lshift
264.8715 	DATA 	Keypress: t
270.8711 	DATA 	Keypress: lshift
270.8716 	DATA 	Keypress: t
271.0728 	DATA 	Begin trial
271.7708 	DATA 	Keypress: b
272.2210 	DATA 	Keypress: b
276.8717 	DATA 	Keypress: lshift
276.8723 	DATA 	Keypress: t
277.2879 	DATA 	Keypress: b
277.9212 	DATA 	Keypress: a
278.3044 	DATA 	Keypress: b
278.9376 	DATA 	Keypress: b
279.5215 	DATA 	Keypress: b
280.1710 	DATA 	Keypress: b
280.4212 	DATA 	Keypress: b
280.7377 	DATA 	Keypress: b
281.4379 	DATA 	Keypress: b
281.9049 	DATA 	Keypress: b
282.1548 	DATA 	Keypress: b
282.8712 	DATA 	Keypress: lshift
282.8717 	DATA 	Keypress: t
284.1121 	DATA 	End trial
288.8704 	DATA 	Keypress: lshift
288.8709 	DATA 	Keypress: t
294.8717 	DATA 	Keypress: lshift
294.8723 	DATA 	Keypress: t
300.8710 	DATA 	Keypress: lshift
300.8716 	DATA 	Keypress: t
301.1075 	DATA 	Begin trial
301.8871 	DATA 	Keypress: b
302.2542 	DATA 	Keypress: b
302.5708 	DATA 	Keypress: b
302.9708 	DATA 	Keypress: b
303.4216 	DATA 	Keypress: b
306.1422 	DATA 	End trial
306.8720 	DATA 	Keypress: lshift
306.8726 	DATA 	Keypress: t
312.8710 	DATA 	Keypress: lshift
312.8716 	DATA 	Keypress: t
318.8710 	DATA 	Keypress: lshift
318.8716 	DATA 	Keypress: t
324.8711 	DATA 	Keypress: lshift
324.8717 	DATA 	Keypress: t
330.8717 	DATA 	Keypress: lshift
330.8723 	DATA 	Keypress: t
331.1398 	DATA 	Begin trial
332.0046 	DATA 	Keypress: b
332.2881 	DATA 	Keypress: b
332.6376 	DATA 	Keypress: b
333.2376 	DATA 	Keypress: b
333.9726 	DATA 	Keypress: b
334.9377 	DATA 	Keypress: b
335.1758 	DATA 	End trial
335.2043 	DATA 	Keypress: b
336.8711 	DATA 	Keypress: lshift
336.8718 	DATA 	Keypress: t
342.8714 	DATA 	Keypress: lshift
342.8720 	DATA 	Keypress: t
348.8709 	DATA 	Keypress: lshift
348.8715 	DATA 	Keypress: t
354.8711 	DATA 	Keypress: lshift
354.8717 	DATA 	Keypress: t
360.8714 	DATA 	Keypress: lshift
360.8720 	DATA 	Keypress: t
361.1730 	DATA 	Begin trial
366.8715 	DATA 	Keypress: lshift
366.8720 	DATA 	Keypress: t
372.8716 	DATA 	Keypress: lshift
372.8722 	DATA 	Keypress: t
376.2100 	DATA 	End trial
378.8709 	DATA 	Keypress: lshift
378.8715 	DATA 	Keypress: t
384.8708 	DATA 	Keypress: lshift
384.8714 	DATA 	Keypress: t
390.8712 	DATA 	Keypress: lshift
390.8718 	DATA 	Keypress: t
391.2068 	DATA 	Begin trial
392.2548 	DATA 	Keypress: b
392.5875 	DATA 	Keypress: b
393.2042 	DATA 	Keypress: b
396.2457 	DATA 	End trial
396.8713 	DATA 	Keypress: lshift
396.8718 	DATA 	Keypress: t
402.8708 	DATA 	Keypress: lshift
402.8714 	DATA 	Keypress: t
408.8717 	DATA 	Keypress: lshift
408.8722 	DATA 	Keypress: t
414.8714 	DATA 	Keypress: lshift
414.8720 	DATA 	Keypress: t
420.8714 	DATA 	Keypress: lshift
420.8720 	DATA 	Keypress: t
421.2401 	DATA 	Begin trial
426.8714 	DATA 	Keypress: lshift
426.8720 	DATA 	Keypress: t
430.2747 	DATA 	End trial
432.8711 	DATA 	Keypress: lshift
432.8717 	DATA 	Keypress: t
438.8710 	DATA 	Keypress: lshift
438.8716 	DATA 	Keypress: t
444.8709 	DATA 	Keypress: lshift
444.8715 	DATA 	Keypress: t
450.8715 	DATA 	Keypress: lshift
450.8721 	DATA 	Keypress: t
451.2730 	DATA 	Begin trial
456.8710 	DATA 	Keypress: lshift
456.8716 	DATA 	Keypress: t
462.8714 	DATA 	Keypress: lshift
462.8719 	DATA 	Keypress: t
468.8715 	DATA 	Keypress: lshift
468.8721 	DATA 	Keypress: t
469.3089 	DATA 	End trial
474.8708 	DATA 	Keypress: lshift
474.8714 	DATA 	Keypress: t
481.4002 	DATA 	start rating A
485.0683 	DATA 	Keypress: a
485.7681 	DATA 	Keypress: a
486.2509 	DATA 	Keypress: a
490.2708 	DATA 	Keypress: return
490.2709 	DATA 	RatingScale rateA_scale: (key response) rating=1
490.2710 	DATA 	RatingScale rateA_scale: rating RT=8.870
490.2710 	DATA 	RatingScale rateA_scale: history=[(4.0, 0.0), (3, 3.671), (2, 4.371), (1, 4.853), (1, 8.87)]
490.2828 	DATA 	1.0
490.2828 	DATA 	end rating A
490.3501 	DATA 	start rating B
492.8184 	DATA 	Keypress: a
493.7673 	DATA 	Keypress: b
499.2500 	DATA 	Keypress: return
499.2516 	DATA 	RatingScale rateB_scale: (key response) rating=4
499.2516 	DATA 	RatingScale rateB_scale: rating RT=8.901
499.2516 	DATA 	RatingScale rateB_scale: history=[(4.0, 0.0), (3, 2.471), (4, 3.42), (4, 8.901)]
499.2662 	DATA 	4.0
499.2662 	DATA 	end rating B
