1.6413 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
383.4121 	DATA 	Keypress: space
383.4127 	DATA 	waiting for trigger
386.1456 	DATA 	Keypress: a
406.7455 	DATA 	Keypress: lshift
406.7461 	DATA 	Keypress: t
406.7475 	DATA 	TRIGGERED
412.7460 	DATA 	Keypress: lshift
412.7466 	DATA 	Keypress: t
416.8755 	DATA 	red.png
418.0791 	DATA 	Keypress: a
418.7457 	DATA 	Keypress: lshift
418.7464 	DATA 	Keypress: t
419.4126 	DATA 	Keypress: a
419.6621 	DATA 	Keypress: a
419.9457 	DATA 	Keypress: a
420.2121 	DATA 	Keypress: a
420.7123 	DATA 	Keypress: a
420.9125 	DATA 	Keypress: a
421.0959 	DATA 	Keypress: a
421.2626 	DATA 	Keypress: a
421.8308 	DATA 	Keypress: a
422.0639 	DATA 	Keypress: a
422.2627 	DATA 	Keypress: a
422.7788 	DATA 	Keypress: a
422.9958 	DATA 	Keypress: a
423.2293 	DATA 	Keypress: a
423.4792 	DATA 	Keypress: a
423.6790 	DATA 	Keypress: a
423.8624 	DATA 	Keypress: a
424.3456 	DATA 	Keypress: a
424.5622 	DATA 	Keypress: a
424.7460 	DATA 	Keypress: lshift
424.7465 	DATA 	Keypress: t
424.7627 	DATA 	Keypress: a
424.7950 	DATA 	end CS
424.8826 	DATA 	vend.png
430.7459 	DATA 	Keypress: lshift
430.7465 	DATA 	Keypress: t
430.7951 	DATA 	end CS
430.8932 	DATA 	blue.png
431.9959 	DATA 	Keypress: b
432.5124 	DATA 	Keypress: b
432.9290 	DATA 	Keypress: b
433.1126 	DATA 	Keypress: b
433.3125 	DATA 	Keypress: b
433.5291 	DATA 	Keypress: b
433.7137 	DATA 	Keypress: b
434.1288 	DATA 	Keypress: b
434.8791 	DATA 	Keypress: b
435.4621 	DATA 	Keypress: b
436.0121 	DATA 	Keypress: b
436.2123 	DATA 	Keypress: b
436.4455 	DATA 	Keypress: b
436.6461 	DATA 	Keypress: b
436.7462 	DATA 	Keypress: lshift
436.7467 	DATA 	Keypress: t
437.0305 	DATA 	Keypress: b
437.6288 	DATA 	Keypress: b
438.2459 	DATA 	Keypress: b
438.4792 	DATA 	Keypress: b
438.6956 	DATA 	Keypress: b
438.9455 	DATA 	Keypress: b
439.4455 	DATA 	Keypress: b
440.0459 	DATA 	Keypress: b
440.2624 	DATA 	Keypress: b
440.4623 	DATA 	Keypress: b
440.6957 	DATA 	Keypress: b
440.9121 	DATA 	Keypress: b
441.5290 	DATA 	Keypress: b
442.0959 	DATA 	Keypress: b
442.7124 	DATA 	Keypress: b
442.7466 	DATA 	Keypress: lshift
442.7472 	DATA 	Keypress: t
442.9625 	DATA 	Keypress: b
443.1957 	DATA 	Keypress: b
443.4290 	DATA 	Keypress: b
444.1290 	DATA 	Keypress: b
444.6791 	DATA 	Keypress: b
445.2624 	DATA 	Keypress: b
445.4791 	DATA 	Keypress: b
445.7130 	DATA 	Keypress: b
445.7950 	DATA 	end CS
445.8938 	DATA 	vend.png
445.9791 	DATA 	Keypress: b
448.7457 	DATA 	Keypress: lshift
448.7465 	DATA 	Keypress: t
451.7953 	DATA 	end CS
451.9108 	DATA 	green.png
454.7466 	DATA 	Keypress: lshift
454.7472 	DATA 	Keypress: t
457.7952 	DATA 	end CS
457.8895 	DATA 	vend.png
460.7459 	DATA 	Keypress: lshift
460.7467 	DATA 	Keypress: t
463.7954 	DATA 	end CS
463.9127 	DATA 	yellow.png
466.7459 	DATA 	Keypress: lshift
466.7464 	DATA 	Keypress: t
470.7951 	DATA 	end CS
470.8897 	DATA 	vend.png
472.7459 	DATA 	Keypress: lshift
472.7464 	DATA 	Keypress: t
476.7950 	DATA 	end CS
476.8861 	DATA 	red.png
477.6957 	DATA 	Keypress: a
478.4806 	DATA 	Keypress: a
478.7462 	DATA 	Keypress: lshift
478.7468 	DATA 	Keypress: t
479.1308 	DATA 	Keypress: a
479.3788 	DATA 	Keypress: a
479.5958 	DATA 	Keypress: a
479.7957 	DATA 	Keypress: a
479.9791 	DATA 	Keypress: a
480.1960 	DATA 	Keypress: a
480.3958 	DATA 	Keypress: a
480.5956 	DATA 	Keypress: a
480.8122 	DATA 	Keypress: a
481.0288 	DATA 	Keypress: a
481.2290 	DATA 	Keypress: a
481.4457 	DATA 	Keypress: a
481.6624 	DATA 	Keypress: a
481.8788 	DATA 	Keypress: a
482.0788 	DATA 	Keypress: a
482.5123 	DATA 	Keypress: a
482.7290 	DATA 	Keypress: a
483.1458 	DATA 	Keypress: a
483.3624 	DATA 	Keypress: a
483.5625 	DATA 	Keypress: a
483.7642 	DATA 	Keypress: a
483.9792 	DATA 	Keypress: a
484.1792 	DATA 	Keypress: a
484.3956 	DATA 	Keypress: a
484.7459 	DATA 	Keypress: lshift
484.7466 	DATA 	Keypress: t
485.0958 	DATA 	Keypress: a
485.7957 	DATA 	Keypress: a
486.4788 	DATA 	Keypress: a
486.7290 	DATA 	Keypress: a
486.7953 	DATA 	end CS
486.8904 	DATA 	vend.png
486.9616 	DATA 	Keypress: a
490.7470 	DATA 	Keypress: lshift
490.7475 	DATA 	Keypress: t
492.7953 	DATA 	end CS
492.8873 	DATA 	green.png
496.7458 	DATA 	Keypress: lshift
496.7464 	DATA 	Keypress: t
502.7464 	DATA 	Keypress: lshift
502.7470 	DATA 	Keypress: t
506.7952 	DATA 	end CS
506.8872 	DATA 	vend.png
508.7460 	DATA 	Keypress: lshift
508.7466 	DATA 	Keypress: t
512.7954 	DATA 	end CS
512.8952 	DATA 	blue.png
513.9123 	DATA 	Keypress: b
514.4954 	DATA 	Keypress: b
514.7457 	DATA 	Keypress: lshift
514.7463 	DATA 	Keypress: t
514.7953 	DATA 	end CS
514.8848 	DATA 	vend.png
514.9958 	DATA 	Keypress: b
520.7462 	DATA 	Keypress: lshift
520.7468 	DATA 	Keypress: t
520.7953 	DATA 	end CS
520.8829 	DATA 	yellow.png
526.7461 	DATA 	Keypress: lshift
526.7466 	DATA 	Keypress: t
528.7954 	DATA 	end CS
528.8894 	DATA 	vend.png
532.7465 	DATA 	Keypress: lshift
532.7471 	DATA 	Keypress: t
534.7951 	DATA 	end CS
534.8895 	DATA 	red.png
535.6122 	DATA 	Keypress: a
536.0290 	DATA 	Keypress: a
536.2792 	DATA 	Keypress: a
536.4790 	DATA 	Keypress: a
536.9124 	DATA 	Keypress: a
537.1955 	DATA 	Keypress: a
537.4792 	DATA 	Keypress: a
537.7455 	DATA 	Keypress: a
538.1623 	DATA 	Keypress: a
538.3626 	DATA 	Keypress: a
538.7459 	DATA 	Keypress: lshift
538.7465 	DATA 	Keypress: t
538.7642 	DATA 	Keypress: a
538.9623 	DATA 	Keypress: a
539.2122 	DATA 	Keypress: a
539.4957 	DATA 	Keypress: a
539.7290 	DATA 	Keypress: a
539.8789 	DATA 	Keypress: a
540.2145 	DATA 	Keypress: a
540.5791 	DATA 	Keypress: a
540.7791 	DATA 	Keypress: a
541.0791 	DATA 	Keypress: a
541.3124 	DATA 	Keypress: a
541.6123 	DATA 	Keypress: a
542.0794 	DATA 	Keypress: a
542.2624 	DATA 	Keypress: a
542.5122 	DATA 	Keypress: a
542.7789 	DATA 	Keypress: a
543.0461 	DATA 	Keypress: a
543.3626 	DATA 	Keypress: a
543.7624 	DATA 	Keypress: a
543.7952 	DATA 	end CS
543.8956 	DATA 	vend.png
543.9419 	DATA 	Keypress: a
544.2122 	DATA 	Keypress: a
544.7466 	DATA 	Keypress: lshift
544.7471 	DATA 	Keypress: t
549.7954 	DATA 	end CS
549.8902 	DATA 	green.png
550.7460 	DATA 	Keypress: lshift
550.7465 	DATA 	Keypress: t
556.7467 	DATA 	Keypress: lshift
556.7472 	DATA 	Keypress: t
562.7464 	DATA 	Keypress: lshift
562.7469 	DATA 	Keypress: t
563.7951 	DATA 	end CS
563.8965 	DATA 	vend.png
568.7465 	DATA 	Keypress: lshift
568.7471 	DATA 	Keypress: t
569.7954 	DATA 	end CS
569.8949 	DATA 	blue.png
570.7125 	DATA 	Keypress: b
570.9455 	DATA 	Keypress: b
571.3122 	DATA 	Keypress: b
571.7457 	DATA 	Keypress: b
572.0455 	DATA 	Keypress: b
572.2789 	DATA 	Keypress: b
572.7959 	DATA 	Keypress: b
572.9809 	DATA 	Keypress: b
573.3455 	DATA 	Keypress: b
573.7457 	DATA 	Keypress: b
573.9289 	DATA 	Keypress: b
574.1460 	DATA 	Keypress: b
574.3789 	DATA 	Keypress: b
574.6291 	DATA 	Keypress: b
574.7464 	DATA 	Keypress: lshift
574.7471 	DATA 	Keypress: t
574.8790 	DATA 	Keypress: b
575.1122 	DATA 	Keypress: b
575.3293 	DATA 	Keypress: b
575.5791 	DATA 	Keypress: b
576.0458 	DATA 	Keypress: b
576.3288 	DATA 	Keypress: b
576.7621 	DATA 	Keypress: b
577.0291 	DATA 	Keypress: b
577.2624 	DATA 	Keypress: b
577.4789 	DATA 	Keypress: b
577.7289 	DATA 	Keypress: b
578.0624 	DATA 	Keypress: b
578.3293 	DATA 	Keypress: b
578.6625 	DATA 	Keypress: b
578.7954 	DATA 	end CS
578.8860 	DATA 	vend.png
578.9416 	DATA 	Keypress: b
579.1792 	DATA 	Keypress: b
580.7462 	DATA 	Keypress: lshift
580.7469 	DATA 	Keypress: t
584.7951 	DATA 	end CS
584.8857 	DATA 	yellow.png
586.7466 	DATA 	Keypress: lshift
586.7472 	DATA 	Keypress: t
592.7461 	DATA 	Keypress: lshift
592.7468 	DATA 	Keypress: t
598.7464 	DATA 	Keypress: lshift
598.7470 	DATA 	Keypress: t
598.7951 	DATA 	end CS
598.8981 	DATA 	vend.png
604.7470 	DATA 	Keypress: lshift
604.7475 	DATA 	Keypress: t
604.7951 	DATA 	end CS
604.9003 	DATA 	red.png
605.5459 	DATA 	Keypress: a
605.8122 	DATA 	Keypress: a
606.2291 	DATA 	Keypress: a
606.4123 	DATA 	Keypress: a
606.6458 	DATA 	Keypress: a
606.8958 	DATA 	Keypress: a
607.1123 	DATA 	Keypress: a
607.3793 	DATA 	Keypress: a
607.8457 	DATA 	Keypress: a
607.9958 	DATA 	Keypress: a
608.1624 	DATA 	Keypress: a
608.3960 	DATA 	Keypress: a
608.6291 	DATA 	Keypress: a
608.9125 	DATA 	Keypress: a
609.1121 	DATA 	Keypress: a
609.2625 	DATA 	Keypress: a
609.5641 	DATA 	Keypress: a
609.8121 	DATA 	Keypress: a
610.0955 	DATA 	Keypress: a
610.3292 	DATA 	Keypress: a
610.5124 	DATA 	Keypress: a
610.7467 	DATA 	Keypress: lshift
610.7473 	DATA 	Keypress: t
610.9790 	DATA 	Keypress: a
611.2458 	DATA 	Keypress: a
611.7122 	DATA 	Keypress: a
611.8789 	DATA 	Keypress: a
612.1622 	DATA 	Keypress: a
612.4460 	DATA 	Keypress: a
612.6958 	DATA 	Keypress: a
612.9459 	DATA 	Keypress: a
613.1791 	DATA 	Keypress: a
613.4125 	DATA 	Keypress: a
613.8126 	DATA 	Keypress: a
614.1141 	DATA 	Keypress: a
614.6125 	DATA 	Keypress: a
614.7954 	DATA 	Keypress: a
614.9307 	DATA 	Keypress: a
615.1624 	DATA 	Keypress: a
615.3958 	DATA 	Keypress: a
615.6791 	DATA 	Keypress: a
615.9458 	DATA 	Keypress: a
616.2122 	DATA 	Keypress: a
616.6124 	DATA 	Keypress: a
616.7470 	DATA 	Keypress: lshift
616.7476 	DATA 	Keypress: t
616.8627 	DATA 	Keypress: a
617.0456 	DATA 	Keypress: a
617.1958 	DATA 	Keypress: a
617.5957 	DATA 	Keypress: a
618.0792 	DATA 	Keypress: a
618.3456 	DATA 	Keypress: a
618.6791 	DATA 	Keypress: a
618.7954 	DATA 	end CS
618.8931 	DATA 	vend.png
618.8934 	DATA 	Keypress: a
619.2124 	DATA 	Keypress: a
622.7465 	DATA 	Keypress: lshift
622.7471 	DATA 	Keypress: t
624.7955 	DATA 	end CS
624.8899 	DATA 	green.png
628.7459 	DATA 	Keypress: lshift
628.7473 	DATA 	Keypress: t
633.7951 	DATA 	end CS
633.8907 	DATA 	vend.png
634.7467 	DATA 	Keypress: lshift
634.7473 	DATA 	Keypress: t
639.7956 	DATA 	end CS
639.8948 	DATA 	blue.png
640.6459 	DATA 	Keypress: b
640.7460 	DATA 	Keypress: lshift
640.7472 	DATA 	Keypress: t
640.9624 	DATA 	Keypress: b
641.2124 	DATA 	Keypress: b
641.4124 	DATA 	Keypress: b
641.6812 	DATA 	Keypress: b
641.9288 	DATA 	Keypress: b
642.1622 	DATA 	Keypress: b
642.3455 	DATA 	Keypress: b
642.6625 	DATA 	Keypress: b
642.9122 	DATA 	Keypress: b
643.0957 	DATA 	Keypress: b
643.2462 	DATA 	Keypress: b
643.5957 	DATA 	Keypress: b
643.9624 	DATA 	Keypress: b
644.1957 	DATA 	Keypress: b
644.4289 	DATA 	Keypress: b
644.5962 	DATA 	Keypress: b
644.7625 	DATA 	Keypress: b
645.0457 	DATA 	Keypress: b
645.2790 	DATA 	Keypress: b
645.4958 	DATA 	Keypress: b
645.8625 	DATA 	Keypress: b
646.0291 	DATA 	Keypress: b
646.4289 	DATA 	Keypress: b
646.6957 	DATA 	Keypress: b
646.7457 	DATA 	Keypress: lshift
646.7468 	DATA 	Keypress: t
647.1624 	DATA 	Keypress: b
647.4128 	DATA 	Keypress: b
647.7122 	DATA 	Keypress: b
647.9636 	DATA 	Keypress: b
648.1791 	DATA 	Keypress: b
648.4128 	DATA 	Keypress: b
648.6625 	DATA 	Keypress: b
648.7954 	DATA 	end CS
648.8887 	DATA 	vend.png
648.9250 	DATA 	Keypress: b
649.1769 	DATA 	Keypress: b
652.7462 	DATA 	Keypress: lshift
