0.3263 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
13.1642 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

14.9977 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

15.5685 	DATA 	version A
17.0975 	WARNING 	t of last frame was 2100.07ms (=1/0)
18.6461 	DATA 	start
18.6509 	DATA 	Keypress: space
18.7257 	WARNING 	t of last frame was 80.61ms (=1/12)
19.8474 	DATA 	Keypress: t
20.2179 	DATA 	Keypress: t
21.0307 	DATA 	Keypress: t
21.2809 	DATA 	Keypress: t
21.4978 	DATA 	Keypress: t
24.0491 	DATA 	Keypress: t
24.3156 	DATA 	Keypress: t
24.5989 	DATA 	Keypress: t
24.6457 	DATA 	end
24.9331 	DATA 	Keypress: t
33.6470 	DATA 	start
34.3145 	DATA 	Keypress: t
34.7983 	DATA 	Keypress: t
35.1474 	DATA 	Keypress: t
35.8490 	DATA 	Keypress: t
36.2811 	DATA 	Keypress: t
36.8995 	DATA 	Keypress: t
37.6658 	DATA 	Keypress: t
38.4648 	DATA 	Keypress: t
38.6336 	WARNING 	t of last frame was 22.42ms (=1/44)
39.6482 	DATA 	end
39.8652 	DATA 	Keypress: t
45.6466 	DATA 	start
47.3826 	DATA 	Keypress: t
47.8328 	DATA 	Keypress: t
48.4489 	DATA 	Keypress: t
49.0974 	DATA 	Keypress: t
49.7139 	DATA 	Keypress: t
50.5659 	DATA 	Keypress: t
51.6467 	DATA 	end
51.6649 	DATA 	Keypress: t
57.6468 	DATA 	start
58.5670 	WARNING 	t of last frame was 21.23ms (=1/47)
58.5831 	DATA 	Keypress: t
60.0145 	DATA 	Keypress: t
60.3807 	DATA 	Keypress: t
60.6645 	DATA 	Keypress: t
60.9307 	DATA 	Keypress: t
61.0817 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
61.3796 	DATA 	Keypress: t
61.9823 	DATA 	Keypress: t
62.6328 	DATA 	Keypress: t
63.6467 	DATA 	end
63.8985 	DATA 	Keypress: t
74.6696 	DATA 	Keypress: 1
76.8866 	DATA 	Keypress: return
76.8869 	DATA 	RatingScale teddy_rating: (key response) rating=1
76.8870 	DATA 	RatingScale teddy_rating: rating RT=6.239
76.8871 	DATA 	RatingScale teddy_rating: history=[(None, 0.0), (1, 4.022), (1, 6.239)]
78.9698 	DATA 	Keypress: 7
79.9194 	DATA 	Keypress: return
79.9196 	DATA 	RatingScale MM_rating: (key response) rating=7
79.9197 	DATA 	RatingScale MM_rating: rating RT=3.023
79.9198 	DATA 	RatingScale MM_rating: history=[(None, 0.0), (7, 2.074), (7, 3.023)]
83.3367 	DATA 	Keypress: 1
84.4527 	DATA 	Keypress: return
84.4529 	DATA 	RatingScale BBQ_rating: (key response) rating=1
84.4531 	DATA 	RatingScale BBQ_rating: rating RT=4.524
84.4531 	DATA 	RatingScale BBQ_rating: history=[(None, 0.0), (1, 3.408), (1, 4.523)]
86.5192 	DATA 	Keypress: 7
87.3849 	DATA 	Keypress: return
87.3852 	DATA 	RatingScale Hunger_rating: (key response) rating=7
87.3853 	DATA 	RatingScale Hunger_rating: rating RT=2.922
87.3853 	DATA 	RatingScale Hunger_rating: history=[(None, 0.0), (7, 2.057), (7, 2.922)]
101.7310 	DATA 	Keypress: escape
