0.2206 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
11.8723 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

12.4076 	WARNING 	t of last frame was 21.01ms (=1/47)
13.7035 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

15.6948 	DATA 	version A
17.0546 	WARNING 	t of last frame was 3351.27ms (=1/0)
21.0068 	WARNING 	t of last frame was 20.20ms (=1/49)
21.4463 	DATA 	Keypress: 7
22.4259 	DATA 	Keypress: return
22.4261 	DATA 	RatingScale teddy_rating: (key response) rating=7
22.4263 	DATA 	RatingScale teddy_rating: rating RT=5.414
22.4263 	DATA 	RatingScale teddy_rating: history=[(None, 0.0), (7, 4.435), (7, 5.414)]
23.4427 	DATA 	Keypress: 7
24.0436 	DATA 	Keypress: return
24.0439 	DATA 	RatingScale MM_rating: (key response) rating=7
24.0440 	DATA 	RatingScale MM_rating: rating RT=1.606
24.0440 	DATA 	RatingScale MM_rating: history=[(None, 0.0), (7, 1.006), (7, 1.606)]
24.9947 	DATA 	Keypress: 7
25.6760 	DATA 	Keypress: return
25.6763 	DATA 	RatingScale BBQ_rating: (key response) rating=7
25.6764 	DATA 	RatingScale BBQ_rating: rating RT=1.622
25.6764 	DATA 	RatingScale BBQ_rating: history=[(None, 0.0), (7, 0.941), (7, 1.622)]
28.3437 	DATA 	Keypress: 7
28.7948 	DATA 	Keypress: return
28.8086 	DATA 	RatingScale Hunger_rating: (key response) rating=7
28.8087 	DATA 	RatingScale Hunger_rating: rating RT=3.122
28.8087 	DATA 	RatingScale Hunger_rating: history=[(None, 0.0), (7, 2.657), (7, 3.122)]
31.2237 	DATA 	Keypress: space
32.1237 	WARNING 	t of last frame was 20.31ms (=1/49)
32.2398 	DATA 	Keypress: t
32.7904 	DATA 	Keypress: t
32.9726 	DATA 	Keypress: t
33.1735 	DATA 	Keypress: t
33.3887 	DATA 	Keypress: t
33.5738 	DATA 	Keypress: t
33.7874 	DATA 	Keypress: t
34.0067 	DATA 	Keypress: t
34.0071 	DATA 	win A
34.2051 	DATA 	Keypress: t
35.5220 	DATA 	Keypress: v
35.9730 	DATA 	Keypress: v
36.1402 	DATA 	Keypress: v
36.3217 	DATA 	Keypress: v
36.5063 	DATA 	Keypress: v
36.6900 	DATA 	Keypress: v
36.6906 	DATA 	win B
36.8731 	DATA 	Keypress: v
48.7221 	DATA 	Keypress: v
48.8389 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
49.7717 	DATA 	Keypress: v
49.9552 	DATA 	Keypress: v
50.1234 	DATA 	Keypress: v
50.3062 	DATA 	Keypress: v
50.4894 	DATA 	Keypress: v
50.4900 	DATA 	win B
54.7893 	DATA 	correct
54.7975 	DATA 	Keypress: v
54.9732 	DATA 	Keypress: v
58.1712 	DATA 	Keypress: t
58.9900 	DATA 	Keypress: t
59.2568 	DATA 	Keypress: t
60.1068 	DATA 	Keypress: t
60.8232 	DATA 	Keypress: t
61.0634 	DATA 	Keypress: t
62.1721 	DATA 	Keypress: t
62.8221 	DATA 	Keypress: t
62.8224 	DATA 	win A
64.7062 	DATA 	Keypress: t
65.4401 	DATA 	Keypress: t
66.1233 	DATA 	Keypress: t
66.7733 	DATA 	Keypress: t
67.3880 	DATA 	Keypress: t
68.0564 	DATA 	Keypress: t
68.6912 	DATA 	Keypress: t
69.5236 	DATA 	Keypress: v
70.1407 	DATA 	Keypress: v
70.8383 	DATA 	Keypress: v
71.4886 	DATA 	Keypress: v
72.1566 	DATA 	Keypress: v
72.7556 	DATA 	Keypress: v
73.4405 	DATA 	Keypress: v
73.8064 	DATA 	Keypress: v
75.3050 	DATA 	Keypress: v
76.1401 	DATA 	Keypress: v
76.1407 	DATA 	win B
78.4718 	DATA 	Keypress: v
79.1219 	DATA 	Keypress: v
79.7049 	DATA 	Keypress: v
80.3734 	DATA 	Keypress: v
81.0398 	DATA 	Keypress: v
81.7223 	DATA 	Keypress: v
81.7228 	DATA 	win B
84.1093 	DATA 	Keypress: v
85.4077 	DATA 	Keypress: v
86.7547 	DATA 	correct
86.7581 	DATA 	Keypress: v
88.6553 	DATA 	Keypress: t
89.3565 	DATA 	Keypress: t
89.9884 	DATA 	Keypress: t
90.5716 	DATA 	Keypress: t
91.1718 	DATA 	Keypress: t
91.7553 	DATA 	Keypress: t
92.3552 	DATA 	Keypress: t
92.9718 	DATA 	Keypress: t
93.5882 	DATA 	Keypress: t
94.1724 	DATA 	Keypress: t
94.1728 	DATA 	win A
95.6732 	DATA 	Keypress: t
96.2564 	DATA 	Keypress: t
96.8220 	DATA 	Keypress: t
97.3898 	DATA 	Keypress: t
98.0053 	DATA 	Keypress: t
98.5569 	DATA 	Keypress: t
98.5704 	DATA 	win A
100.0057 	DATA 	Keypress: t
100.5234 	DATA 	Keypress: t
101.0218 	DATA 	Keypress: t
101.6554 	DATA 	Keypress: t
102.1737 	DATA 	Keypress: t
102.8073 	DATA 	Keypress: t
103.4381 	DATA 	Keypress: t
104.0554 	DATA 	Keypress: v
105.0215 	DATA 	Keypress: t
105.4385 	DATA 	Keypress: v
106.8066 	DATA 	Keypress: v
108.1399 	DATA 	Keypress: t
108.8219 	DATA 	Keypress: t
109.6568 	DATA 	Keypress: t
110.6066 	DATA 	Keypress: t
111.5883 	DATA 	Keypress: t
111.7887 	DATA 	Keypress: t
111.9552 	DATA 	Keypress: t
112.1402 	DATA 	Keypress: t
113.6886 	DATA 	Keypress: v
114.6055 	DATA 	Keypress: v
115.2234 	DATA 	Keypress: v
115.8219 	DATA 	Keypress: v
116.4569 	DATA 	Keypress: v
117.1227 	DATA 	Keypress: v
117.8902 	DATA 	Keypress: v
118.5559 	DATA 	Keypress: v
119.1734 	DATA 	Keypress: v
119.7887 	DATA 	Keypress: v
119.7892 	DATA 	win B
121.6907 	DATA 	Keypress: v
122.5234 	DATA 	Keypress: v
123.4408 	DATA 	Keypress: v
124.3214 	DATA 	correct
124.3250 	DATA 	Keypress: v
126.1399 	DATA 	Keypress: t
126.6723 	DATA 	Keypress: t
127.4571 	DATA 	Keypress: t
127.8717 	DATA 	Keypress: t
128.3399 	DATA 	Keypress: t
129.0057 	DATA 	Keypress: t
129.7051 	DATA 	Keypress: t
130.1896 	DATA 	Keypress: t
130.1899 	DATA 	win A
132.7904 	DATA 	Keypress: t
133.6735 	DATA 	Keypress: t
134.0070 	DATA 	Keypress: t
134.6402 	DATA 	Keypress: t
